patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Jax,top,1,3,2,0,1,1
16.01,Nautilus,sup,3,1,3,0,0,0
16.01,Neeko,sup,1,3,2,1,1,2
16.01,Poppy,sup,0,4,2,0,1,1
16.01,Varus,bot,1,3,2,0,1,1
16.01,Azir,mid,1,2,3,0,0,0
16.01,Dr. Mundo,jng,3,0,3,0,0,0
16.01,Gnar,top,1,2,2,0,0,0
16.01,Gwen,top,0,3,1,0,1,1
16.01,Jayce,top,0,3,2,0,1,1
16.01,Malphite,jng,1,2,2,1,1,2
16.01,Ryze,mid,2,1,3,1,1,2
16.01,Xin Zhao,jng,2,1,3,1,1,2
16.01,Yunara,bot,3,0,3,2,0,2
16.01,Ambessa,top,2,0,2,1,0,1
16.01,Aurora,mid,1,1,2,1,0,1
16.01,Blitzcrank,sup,1,1,2,0,1,1
16.01,LeBlanc,mid,2,0,2,0,0,0
16.01,Lulu,sup,0,2,2,0,2,2
16.01,Rumble,top,1,1,2,1,1,2
16.01,Sion,top,2,0,2,0,0,0
16.01,Sylas,mid,0,2,2,0,0,0
16.01,Wukong,jng,2,0,2,1,0,1
16.01,Aatrox,top,1,0,1,0,0,0
16.01,Akali,mid,0,1,1,0,0,0
16.01,Alistar,sup,1,0,1,0,0,0
16.01,Aphelios,bot,0,1,1,0,0,0
16.01,Bard,sup,0,1,1,0,0,0
16.01,Braum,sup,1,0,1,0,0,0
16.01,Caitlyn,bot,1,0,1,0,0,0
16.01,Corki,bot,1,0,1,0,0,0
16.01,Galio,mid,0,1,1,0,0,0
16.01,K'Sante,top,1,0,1,1,0,1
16.01,Kai'Sa,bot,1,0,1,1,0,1
16.01,Kennen,top,0,1,1,0,0,0
16.01,Lucian,bot,1,0,1,0,0,0
16.01,Mel,mid,0,1,1,0,0,0
16.01,Miss Fortune,bot,1,0,1,0,0,0
16.01,Orianna,mid,0,1,1,0,0,0
16.01,Pantheon,jng,1,0,1,0,0,0
16.01,Rakan,sup,1,0,1,1,0,1
16.01,Sejuani,jng,0,1,1,0,1,1
16.01,Sivir,bot,0,1,1,0,0,0
16.01,Taliyah,mid,1,0,1,0,0,0
16.01,Vi,jng,0,1,1,0,1,1
16.01,Viktor,mid,1,0,1,0,0,0
16.01,Yone,mid,1,0,1,1,0,1
16.01,Zaahen,sup,1,0,1,1,0,1
16.02,Ambessa,top,1,6,3,0,2,2
16.02,Gnar,top,2,4,4,0,1,1
16.02,Aurora,mid,2,3,4,1,1,2
16.02,Jarvan IV,jng,0,5,3,0,3,3
16.02,Jayce,top,0,5,2,0,2,2
16.02,Dr. Mundo,jng,3,1,3,0,0,0
