patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.05,Rumble,top,1,7,4,0,3,3
16.05,Orianna,mid,0,6,4,0,2,2
16.05,Rakan,sup,2,3,4,1,2,3
16.05,Ambessa,top,4,0,4,3,0,3
16.05,Aurora,mid,2,2,3,0,2,2
16.05,Wukong,jng,3,1,4,1,0,1
16.05,Annie,mid,2,1,2,1,1,2
16.05,Gnar,top,1,2,2,0,2,2
16.05,Jarvan IV,jng,1,2,2,1,1,2
16.05,Karma,sup,0,3,1,0,1,1
16.05,Neeko,sup,1,2,3,1,1,2
16.05,Ahri,mid,2,0,2,2,0,2
16.05,Bard,sup,2,0,2,2,0,2
16.05,Dr. Mundo,jng,1,1,2,0,0,0
16.05,Mel,mid,2,0,2,1,0,1
16.05,Nautilus,sup,0,2,2,0,0,0
16.05,Pantheon,jng,0,2,2,0,0,0
16.05,Sivir,bot,1,1,2,1,1,2
16.05,Varus,bot,1,1,1,0,1,1
16.05,Vi,jng,0,2,1,0,1,1
16.05,Xin Zhao,jng,2,0,2,2,0,2
16.05,Yunara,bot,0,2,2,0,1,1
16.05,Zeri,bot,2,0,2,1,0,1
16.05,Ashe,bot,1,0,1,0,0,0
16.05,Aurora,top,1,0,1,0,0,0
16.05,Caitlyn,bot,1,0,1,1,0,1
16.05,Corki,bot,1,0,1,0,0,0
16.05,Draven,bot,0,1,1,0,0,0
16.05,Ezreal,bot,1,0,1,1,0,1
16.05,K'Sante,top,1,0,1,0,0,0
16.05,Kai'Sa,bot,1,0,1,0,0,0
16.05,Lucian,bot,0,1,1,0,0,0
16.05,Maokai,jng,1,0,1,0,0,0
16.05,Mel,sup,1,0,1,0,0,0
16.05,Nami,sup,1,0,1,0,0,0
16.05,Poppy,jng,1,0,1,0,0,0
16.05,Seraphine,sup,1,0,1,0,0,0
16.05,Sylas,mid,0,1,1,0,0,0
16.05,Trundle,jng,0,1,1,0,0,0
16.05,Xayah,bot,0,1,1,0,1,1
16.05,Yone,mid,1,0,1,0,0,0
16.05,Yuumi,sup,1,0,1,0,0,0
16.05,Zaahen,top,1,0,1,1,0,1
16.06,Karma,sup,2,5,4,0,3,3
16.06,Orianna,mid,1,6,5,0,2,2
16.06,Rumble,top,1,6,5,0,2,2
16.06,Jarvan IV,jng,2,4,3,0,2,2
16.06,Xin Zhao,jng,5,1,5,2,1,3
16.06,Ahri,mid,4,0,4,1,0,1
16.06,K'Sante,top,4,0,4,1,0,1
16.06,Renekton,top,3,1,3,2,1,3
16.06,Seraphine,sup,2,2,4,2,2,4
16.06,Annie,mid,0,3,3,0,0,0
16.06,Pantheon,jng,1,2,2,0,1,1
16.06,Akali,mid,2,0,2,1,0,1
16.06,Alistar,sup,0,2,2,0,1,1
16.06,Ambessa,top,0,2,2,0,2,2
16.06,Ashe,bot,2,0,2,2,0,2
16.06,Aurora,mid,0,2,2,0,1,1
16.06,Caitlyn,bot,1,1,2,0,0,0
16.06,Galio,mid,0,2,1,0,0,0
16.06,Kai'Sa,bot,1,1,2,1,0,1
16.06,Lulu,sup,1,1,2,1,1,2
16.06,Maokai,jng,2,0,2,2,0,2
16.06,Nami,sup,2,0,2,1,0,1
16.06,Nautilus,sup,1,1,2,1,0,1
16.06,Neeko,sup,1,1,2,0,1,1
16.06,Nocturne,jng,1,1,2,1,0,1
16.06,Ryze,mid,1,1,2,1,0,1
16.06,Varus,bot,1,1,2,0,1,1
16.06,Vi,jng,0,2,2,0,2,2
16.06,Yone,mid,2,0,2,2,0,2
16.06,Yunara,bot,2,0,2,1,0,1
16.06,Zaahen,top,1,1,2,0,1,1
16.06,Azir,mid,0,1,1,0,0,0
16.06,Blitzcrank,sup,0,1,1,0,0,0
16.06,Corki,bot,1,0,1,0,0,0
16.06,Ezreal,bot,1,0,1,1,0,1
16.06,Mel,mid,0,1,1,0,0,0
16.06,Senna,sup,1,0,1,0,0,0
16.06,Sion,top,1,0,1,1,0,1
16.06,Smolder,bot,1,0,1,0,0,0
16.06,Vayne,top,0,1,1,0,0,0
16.06,Viktor,mid,1,0,1,0,0,0
16.06,Volibear,top,1,0,1,1,0,1
16.06,Wukong,jng,0,1,1,0,0,0
16.06,Yorick,top,0,1,1,0,1,1
16.06,Yuumi,sup,1,0,1,0,0,0
16.06,Zeri,bot,1,0,1,0,0,0
16.07,Karma,sup,1,8,5,1,4,5
16.07,Rumble,top,0,9,6,0,4,4
16.07,Orianna,mid,1,6,5,1,2,3
16.07,Ambessa,top,3,2,4,0,2,2
16.07,Neeko,sup,2,2,4,1,1,2
16.07,Nocturne,jng,2,2,4,2,2,4
16.07,Pantheon,jng,2,2,3,1,1,2
16.07,Yunara,bot,2,2,3,1,1,2
16.07,Ashe,bot,0,3,2,0,1,1
16.07,Azir,mid,3,0,3,1,0,1
16.07,Caitlyn,bot,1,2,3,0,1,1
16.07,Galio,mid,1,2,3,0,0,0
16.07,Jarvan IV,jng,3,0,3,2,0,2
16.07,Nami,sup,2,1,3,0,0,0
16.07,Nautilus,sup,0,3,2,0,2,2
16.07,Ryze,mid,2,1,3,2,0,2
16.07,Sivir,bot,1,2,3,1,2,3
16.07,Varus,bot,2,1,3,2,1,3
16.07,Xin Zhao,jng,2,1,2,0,1,1
16.07,Yorick,top,3,0,3,1,0,1
16.07,Anivia,mid,0,2,2,0,1,1
16.07,Annie,mid,0,2,2,0,1,1
16.07,Bard,sup,1,1,2,1,1,2
16.07,Jayce,top,2,0,2,1,0,1
16.07,K'Sante,top,2,0,2,2,0,2
16.07,Lulu,sup,2,0,2,1,0,1
16.07,Renekton,top,1,1,2,1,0,1
16.07,Ahri,mid,0,1,1,0,0,0
16.07,Anivia,sup,1,0,1,1,0,1
16.07,Aurora,mid,1,0,1,1,0,1
16.07,Blitzcrank,sup,1,0,1,1,0,1
16.07,Ezreal,bot,1,0,1,1,0,1
16.07,Jhin,bot,1,0,1,1,0,1
16.07,Kai'Sa,bot,1,0,1,0,0,0
16.07,Leona,sup,0,1,1,0,0,0
16.07,Lucian,bot,1,0,1,0,0,0
16.07,Mel,mid,1,0,1,1,0,1
16.07,Milio,sup,1,0,1,0,0,0
16.07,Naafiri,jng,1,0,1,1,0,1
16.07,Rakan,sup,0,1,1,0,1,1
16.07,Sejuani,jng,1,0,1,0,0,0
16.07,Seraphine,sup,0,1,1,0,0,0
16.07,Sylas,mid,1,0,1,0,0,0
16.07,Tristana,bot,1,0,1,0,0,0
16.07,Vi,jng,1,0,1,0,0,0
16.07,Viktor,mid,1,0,1,0,0,0
16.07,Wukong,jng,0,1,1,0,1,1
16.07,Yone,mid,1,0,1,0,0,0
16.07,Yuumi,sup,1,0,1,0,0,0
16.07,Zaahen,top,1,0,1,1,0,1
16.07,Zeri,bot,1,0,1,0,0,0
16.08,Rumble,top,0,10,6,0,1,1
16.08,Jarvan IV,jng,5,2,5,2,2,4
16.08,Neeko,sup,4,3,5,3,1,4
16.08,Nocturne,jng,4,3,5,3,2,5
16.08,Orianna,mid,1,6,6,1,0,1
16.08,Aurora,mid,4,2,5,3,1,4
16.08,Nautilus,sup,1,5,6,1,4,5
16.08,Varus,bot,0,6,4,0,4,4
16.08,Galio,mid,2,3,3,0,0,0
16.08,Renekton,top,3,2,5,0,0,0
16.08,Seraphine,sup,2,3,4,0,0,0
16.08,Ashe,bot,1,3,3,0,1,1
16.08,Caitlyn,bot,4,0,4,2,0,2
16.08,Ezreal,bot,3,1,3,2,1,3
16.08,K'Sante,top,4,0,4,1,0,1
16.08,Karma,sup,1,3,3,0,2,2
16.08,Pantheon,jng,1,3,3,1,0,1
16.08,Ambessa,top,2,1,3,2,1,3
16.08,Anivia,mid,0,3,3,0,2,2
16.08,Kai'Sa,bot,2,1,3,2,1,3
16.08,Viktor,mid,2,1,3,0,0,0
16.08,Yorick,top,1,2,3,0,1,1
16.08,Ahri,mid,1,1,2,0,0,0
16.08,Anivia,sup,2,0,2,1,0,1
16.08,Bard,sup,0,2,1,0,1,1
16.08,Gwen,top,2,0,2,1,0,1
16.08,Lulu,sup,1,1,2,0,1,1
16.08,Nami,sup,0,2,2,0,1,1
16.08,Pyke,sup,1,1,2,0,0,0
16.08,Rakan,sup,2,0,2,1,0,1
16.08,Sivir,bot,0,2,2,0,0,0
16.08,Taliyah,mid,1,1,2,0,0,0
16.08,Wukong,jng,1,1,2,0,0,0
16.08,Xin Zhao,jng,2,0,2,0,0,0
16.08,Yone,mid,2,0,2,2,0,2
16.08,Zaahen,top,2,0,2,0,0,0
16.08,Akali,mid,0,1,1,0,0,0
16.08,Ambessa,jng,1,0,1,0,0,0
16.08,Annie,mid,1,0,1,0,0,0
16.08,Aphelios,bot,1,0,1,0,0,0
16.08,Aurora,top,1,0,1,1,0,1
16.08,Cassiopeia,mid,0,1,1,0,1,1
16.08,Gnar,top,0,1,1,0,1,1
16.08,Lee Sin,jng,1,0,1,0,0,0
16.08,Lucian,bot,1,0,1,0,0,0
16.08,Mel,mid,1,0,1,0,0,0
16.08,Milio,sup,1,0,1,0,0,0
16.08,Miss Fortune,bot,0,1,1,0,0,0
16.08,Naafiri,top,1,0,1,1,0,1
16.08,Samira,bot,1,0,1,0,0,0
16.08,Sion,top,0,1,1,0,1,1
16.08,Sylas,mid,1,0,1,0,0,0
16.08,Tristana,bot,1,0,1,0,0,0
