patch,champ,role,picks_by,bans_vs
16.01,Ambessa,top,1,4
16.01,Bard,sup,2,2
16.01,Neeko,sup,1,3
16.01,Rumble,top,3,1
16.01,Taliyah,mid,2,2
16.01,Azir,mid,1,2
16.01,Corki,bot,1,2
16.01,Jarvan IV,jng,3,0
16.01,K'Sante,top,2,1
16.01,Yunara,bot,1,2
16.01,Alistar,sup,0,2
16.01,Kai'Sa,bot,1,1
16.01,Orianna,mid,1,1
16.01,Ornn,top,0,2
16.01,Renekton,top,1,1
16.01,Sion,top,0,2
16.01,Zaahen,top,0,2
16.01,Aatrox,jng,0,1
16.01,Akali,mid,1,0
16.01,Ambessa,jng,1,0
16.01,Braum,sup,1,0
16.01,Caitlyn,bot,0,1
16.01,Ezreal,bot,1,0
16.01,Galio,mid,1,0
16.01,Jayce,jng,1,0
16.01,Jayce,top,0,1
16.01,Lucian,bot,1,0
16.01,Lulu,sup,1,0
16.01,Nautilus,sup,0,1
16.01,Poppy,sup,1,0
16.01,Qiyana,jng,1,0
16.01,Rakan,sup,1,0
16.01,Rell,sup,0,1
16.01,Ryze,mid,1,0
16.01,Sivir,bot,1,0
16.01,Tristana,bot,1,0
16.01,Xin Zhao,jng,1,0
16.02,Ambessa,top,0,4
16.02,Neeko,sup,1,3
16.02,Rumble,top,1,3
16.02,Azir,mid,1,2
16.02,Jarvan IV,jng,0,3
16.02,Taliyah,mid,0,3
16.02,Varus,bot,2,1
16.02,Bard,sup,1,1
16.02,Nautilus,sup,2,0
16.02,Pantheon,jng,2,0
16.02,Viktor,mid,1,1
16.02,Yunara,bot,2,0
16.02,Aatrox,top,1,0
16.02,Ahri,mid,1,0
16.02,Akali,mid,0,1
16.02,Anivia,mid,0,1
16.02,Braum,sup,0,1
16.02,Corki,bot,1,0
16.02,Diana,jng,1,0
16.02,Dr. Mundo,jng,1,0
16.02,Ezreal,bot,1,0
16.02,Galio,mid,1,0
16.02,Gnar,top,1,0
16.02,Gwen,top,0,1
16.02,Hwei,mid,0,1
16.02,Kai'Sa,bot,0,1
16.02,Malphite,jng,1,0
16.02,Ornn,top,0,1
16.02,Poppy,sup,0,1
16.02,Qiyana,jng,0,1
16.02,Rakan,sup,1,0
16.02,Rek'Sai,top,1,0
16.02,Rell,sup,1,0
16.02,Renekton,top,1,0
16.02,Ryze,mid,1,0
16.02,Sion,top,1,0
16.02,Vi,jng,1,0
16.02,Yasuo,mid,1,0
16.04,Ambessa,top,0,3
16.04,Zaahen,top,0,3
16.04,Aurora,mid,1,1
16.04,Orianna,mid,0,2
16.04,Aatrox,jng,0,1
16.04,Aatrox,top,1,0
16.04,Ahri,mid,1,0
16.04,Akali,mid,0,1
16.04,Ashe,bot,0,1
16.04,Cassiopeia,mid,1,0
16.04,Corki,bot,1,0
16.04,Gwen,top,1,0
16.04,Jarvan IV,jng,1,0
16.04,Lucian,bot,0,1
16.04,Miss Fortune,bot,1,0
16.04,Neeko,sup,1,0
16.04,Nocturne,jng,1,0
16.04,Rakan,sup,1,0
16.04,Rell,sup,1,0
16.04,Rumble,top,1,0
16.04,Taliyah,mid,0,1
16.04,Varus,bot,1,0
16.04,Vi,jng,1,0
16.04,Wukong,jng,0,1
16.05,Ambessa,top,1,6
16.05,Vi,jng,2,5
16.05,Yasuo,mid,0,6
16.05,Bard,sup,3,2
16.05,Jarvan IV,jng,0,5
16.05,Gnar,top,1,3
16.05,Azir,mid,3,0
16.05,Pantheon,jng,2,1
16.05,Rumble,top,2,1
16.05,Varus,bot,3,0
16.05,Aatrox,top,2,0
16.05,Corki,bot,2,0
16.05,Ezreal,bot,2,0
16.05,Galio,mid,1,1
16.05,Gwen,top,0,2
16.05,Neeko,sup,0,2
16.05,Rakan,sup,1,1
16.05,Renekton,top,1,1
16.05,Ryze,mid,2,0
16.05,Yunara,bot,1,1
16.05,Zaahen,top,1,1
16.05,Ahri,mid,1,0
16.05,Alistar,sup,0,1
16.05,Ashe,bot,1,0
16.05,Hwei,mid,1,0
16.05,Jayce,top,0,1
16.05,Jhin,bot,0,1
16.05,K'Sante,top,0,1
16.05,Kai'Sa,bot,0,1
16.05,Kha'Zix,jng,1,0
16.05,Leona,sup,1,0
16.05,Lulu,sup,1,0
16.05,Maokai,jng,1,0
16.05,Nami,sup,1,0
16.05,Nautilus,sup,1,0
16.05,Nocturne,jng,0,1
16.05,Seraphine,sup,1,0
16.05,Sion,top,1,0
16.05,Sylas,mid,1,0
16.05,Taliyah,mid,0,1
16.05,Trundle,jng,1,0
16.05,Wukong,jng,1,0
16.05,Xin Zhao,jng,1,0
16.06,Karma,sup,1,2
16.06,Rumble,top,1,2
16.06,Xin Zhao,jng,2,1
16.06,Ambessa,top,0,2
16.06,Ezreal,bot,2,0
16.06,Gwen,top,1,1
16.06,Aatrox,top,1,0
16.06,Anivia,mid,1,0
16.06,Aurora,mid,1,0
16.06,Azir,mid,0,1
16.06,Jarvan IV,jng,0,1
16.06,Jax,top,0,1
16.06,Lulu,sup,1,0
16.06,Poppy,jng,1,0
16.06,Rell,sup,1,0
16.06,Renekton,top,0,1
16.06,Ryze,mid,0,1
16.06,Seraphine,sup,0,1
16.06,Sivir,bot,1,0
16.06,Vi,jng,0,1
16.06,Viktor,mid,1,0
16.07,Azir,mid,1,3
16.07,Ambessa,top,1,2
16.07,Akali,mid,1,1
16.07,Jarvan IV,jng,1,1
16.07,Pantheon,jng,2,0
16.07,Renekton,top,1,1
16.07,Sivir,bot,1,1
16.07,Xin Zhao,jng,1,1
16.07,Aatrox,jng,0,1
16.07,Ahri,mid,0,1
16.07,Alistar,sup,1,0
16.07,Aphelios,bot,0,1
16.07,Ashe,bot,1,0
16.07,Bard,sup,1,0
16.07,Corki,bot,0,1
16.07,Ezreal,bot,0,1
16.07,Gwen,top,0,1
16.07,K'Sante,top,1,0
16.07,Kai'Sa,bot,1,0
16.07,Lulu,sup,0,1
16.07,Nautilus,sup,1,0
16.07,Neeko,sup,0,1
16.07,Orianna,mid,0,1
16.07,Seraphine,sup,1,0
16.07,Syndra,mid,1,0
16.07,Varus,top,1,0
16.07,Viktor,mid,1,0
16.07,Xayah,bot,1,0
16.07,Yunara,bot,0,1
16.08,Karma,sup,0,3
16.08,Varus,bot,0,3
16.08,Ryze,mid,1,1
16.08,Seraphine,sup,0,2
16.08,Aatrox,jng,1,0
16.08,Ahri,mid,1,0
16.08,Ashe,bot,1,0
16.08,Azir,mid,1,0
16.08,Ezreal,bot,1,0
16.08,Gnar,top,1,0
16.08,Jarvan IV,jng,0,1
16.08,K'Sante,top,1,0
16.08,Lee Sin,jng,1,0
16.08,Lucian,bot,1,0
16.08,Lulu,sup,1,0
16.08,Milio,sup,1,0
16.08,Nautilus,sup,1,0
16.08,Poppy,sup,0,1
16.08,Renekton,top,0,1
16.08,Rumble,top,1,0
16.08,Skarner,jng,0,1
16.08,Trundle,jng,0,1
16.08,Vi,jng,0,1
16.08,Xin Zhao,jng,1,0
16.09,Pantheon,jng,0,3
16.09,Jayce,top,1,1
16.09,Rumble,top,0,2
16.09,Xin Zhao,jng,0,2
16.09,Aatrox,jng,0,1
16.09,Ashe,bot,0,1
16.09,Cassiopeia,mid,1,0
16.09,Ezreal,bot,1,0
16.09,Galio,mid,0,1
16.09,Gnar,top,0,1
16.09,Gwen,top,1,0
16.09,Kalista,bot,1,0
16.09,Lee Sin,jng,1,0
16.09,Lucian,bot,1,0
16.09,Lulu,sup,0,1
16.09,Mel,mid,0,1
16.09,Milio,sup,1,0
16.09,Neeko,sup,1,0
16.09,Nocturne,jng,1,0
16.09,Poppy,jng,1,0
16.09,Renata Glasc,sup,1,0
16.09,Ryze,mid,1,0
16.09,Taliyah,mid,0,1
16.09,Twisted Fate,mid,1,0
16.09,Vayne,top,1,0
