patch,champ,role,picks_by,bans_vs
16.01,Ambessa,top,0,1
16.01,Azir,mid,1,0
16.01,Bard,sup,0,1
16.01,Corki,bot,1,0
16.01,Nami,sup,0,1
16.01,Orianna,mid,0,1
16.01,Pantheon,jng,0,1
16.01,Rakan,sup,1,0
16.01,Rumble,top,1,0
16.01,Wukong,jng,1,0
16.02,Ambessa,top,0,2
16.02,K'Sante,top,2,0
16.02,Nautilus,sup,0,2
16.02,Syndra,mid,2,0
16.02,Yunara,bot,1,1
16.02,Alistar,sup,0,1
16.02,Corki,bot,0,1
16.02,Jarvan IV,jng,1,0
16.02,Lulu,sup,1,0
16.02,Malphite,jng,0,1
16.02,Orianna,mid,0,1
16.02,Pantheon,jng,1,0
16.02,Rell,sup,1,0
16.02,Rumble,top,0,1
16.02,Varus,bot,1,0
16.07,Pantheon,jng,2,4
16.07,Jarvan IV,jng,1,4
16.07,Orianna,mid,0,5
16.07,Ryze,mid,3,1
16.07,Ambessa,top,1,2
16.07,K'Sante,top,2,1
16.07,Lulu,sup,3,0
16.07,Yunara,bot,3,0
16.07,Ashe,bot,1,1
16.07,Caitlyn,bot,2,0
16.07,Mel,mid,0,2
16.07,Nocturne,jng,0,2
16.07,Sion,top,2,0
16.07,Viktor,mid,1,1
16.07,Wukong,jng,1,1
16.07,Xin Zhao,jng,1,1
16.07,Ahri,mid,1,0
16.07,Ambessa,jng,1,0
16.07,Annie,mid,0,1
16.07,Azir,mid,0,1
16.07,Bard,sup,1,0
16.07,Dr. Mundo,jng,0,1
16.07,Kennen,top,0,1
16.07,LeBlanc,mid,0,1
16.07,Rell,sup,1,0
16.07,Renekton,top,1,0
16.07,Seraphine,sup,1,0
16.07,Twisted Fate,mid,1,0
16.08,Orianna,mid,0,3
16.08,Xin Zhao,jng,3,0
16.08,Ahri,mid,2,0
16.08,Mel,mid,1,1
16.08,Pantheon,jng,0,2
16.08,Rumble,top,2,0
16.08,Viktor,mid,0,2
16.08,Yunara,bot,1,1
16.08,Ambessa,top,1,0
16.08,Ashe,bot,1,0
16.08,Bard,sup,1,0
16.08,Caitlyn,bot,1,0
16.08,K'Sante,top,0,1
16.08,Karma,sup,0,1
16.08,Lulu,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Renekton,top,0,1
16.08,Ryze,mid,0,1
16.08,Seraphine,sup,1,0
16.08,Sion,top,0,1
16.09,Caitlyn,bot,0,4
16.09,Nautilus,sup,2,1
16.09,Orianna,mid,0,3
16.09,Ryze,mid,1,2
16.09,Ashe,bot,0,2
16.09,Aurora,mid,2,0
16.09,Jarvan IV,jng,1,1
16.09,Nocturne,jng,1,1
16.09,Rumble,top,2,0
16.09,Camille,top,1,0
16.09,Corki,bot,1,0
16.09,Jayce,top,0,1
16.09,Jhin,bot,1,0
16.09,Leona,sup,0,1
16.09,Lucian,bot,0,1
16.09,Nami,sup,1,0
16.09,Pantheon,jng,1,0
16.09,Rell,sup,1,0
16.09,Renekton,top,0,1
16.09,Senna,bot,1,0
16.09,Sion,top,1,0
16.09,Skarner,jng,1,0
16.09,Viktor,mid,1,0
16.09,Xin Zhao,jng,0,1
16.09,Yunara,bot,1,0
16.09,Zeri,bot,0,1
