patch,champ,role,picks_by,bans_vs,series_presence
16.04,Pantheon,jng,0,2,2
16.04,Varus,bot,0,2,2
16.04,Yunara,bot,0,2,2
16.04,Akali,mid,1,0,1
16.04,Alistar,sup,0,1,1
16.04,Caitlyn,bot,1,0,1
16.04,Corki,bot,1,0,1
16.04,Dr. Mundo,jng,1,0,1
16.04,Galio,mid,0,1,1
16.04,Jax,top,1,0,1
16.04,K'Sante,top,1,0,1
16.04,Maokai,jng,1,0,1
16.04,Nami,sup,1,0,1
16.04,Nautilus,sup,1,0,1
16.04,Renekton,top,0,1,1
16.04,Ryze,mid,1,0,1
16.04,Sylas,mid,0,1,1
16.05,Aatrox,jng,0,5,2
16.05,Akali,mid,0,3,1
16.05,Ambessa,top,1,2,1
16.05,Azir,mid,1,2,2
16.05,Mel,mid,1,2,2
16.05,Ryze,mid,1,2,2
16.05,Ezreal,bot,2,0,2
16.05,Karma,sup,1,1,2
16.05,Bard,sup,1,0,1
16.05,Braum,sup,1,0,1
16.05,Caitlyn,bot,1,0,1
16.05,Cassiopeia,mid,0,1,1
16.05,Dr. Mundo,jng,1,0,1
16.05,Gwen,top,0,1,1
16.05,Jarvan IV,jng,0,1,1
16.05,Jax,top,1,0,1
16.05,Jayce,jng,1,0,1
16.05,K'Sante,top,1,0,1
16.05,Kled,top,0,1,1
16.05,Leona,sup,1,0,1
16.05,Maokai,jng,1,0,1
16.05,Nautilus,sup,1,0,1
16.05,Neeko,sup,0,1,1
16.05,Orianna,mid,0,1,1
16.05,Renekton,top,1,0,1
16.05,Rumble,top,1,0,1
16.05,Varus,bot,1,0,1
16.05,Viktor,mid,1,0,1
16.05,Vladimir,mid,1,0,1
16.05,Volibear,top,0,1,1
16.05,Wukong,jng,1,0,1
16.05,Xayah,bot,1,0,1
16.05,Xin Zhao,jng,0,1,1
16.05,Zaahen,jng,1,0,1
16.06,Varus,bot,0,4,3
16.06,Ambessa,top,1,2,2
16.06,Dr. Mundo,jng,2,1,2
16.06,Azir,mid,2,0,2
16.06,Braum,sup,1,1,2
16.06,Cassiopeia,mid,1,1,2
16.06,Draven,bot,0,2,1
16.06,Ezreal,bot,2,0,2
16.06,Lulu,sup,2,0,2
16.06,Nautilus,sup,0,2,2
16.06,Renekton,top,0,2,1
16.06,Seraphine,sup,2,0,2
16.06,Viktor,mid,1,1,2
16.06,Xin Zhao,jng,2,0,2
16.06,Aatrox,top,1,0,1
16.06,Akali,mid,0,1,1
16.06,Alistar,sup,0,1,1
16.06,Aurora,mid,1,0,1
16.06,Caitlyn,bot,0,1,1
16.06,Gangplank,top,1,0,1
16.06,Gwen,top,0,1,1
16.06,Jinx,bot,1,0,1
16.06,Miss Fortune,bot,0,1,1
16.06,Nocturne,jng,0,1,1
16.06,Orianna,mid,0,1,1
16.06,Rumble,top,1,0,1
16.06,Sion,top,1,0,1
16.06,Sivir,bot,1,0,1
16.06,Sylas,mid,0,1,1
16.06,Wukong,jng,1,0,1
16.06,Yunara,bot,1,0,1
16.06,Zoe,mid,0,1,1
