patch,champ,role,picks_vs,bans_vs
16.06,Orianna,mid,1,2
16.06,Seraphine,sup,1,2
16.06,Taliyah,mid,1,2
16.06,Lulu,sup,2,0
16.06,Yunara,bot,2,0
16.06,Aatrox,top,1,0
16.06,Ashe,bot,1,0
16.06,Ezreal,bot,0,1
16.06,Gnar,jng,1,0
16.06,Gwen,top,0,1
16.06,Jarvan IV,jng,0,1
16.06,Karma,sup,0,1
16.06,Leona,sup,0,1
16.06,Miss Fortune,bot,0,1
16.06,Naafiri,jng,1,0
16.06,Neeko,sup,0,1
16.06,Pantheon,jng,0,1
16.06,Ryze,mid,1,0
16.06,Shen,top,1,0
16.06,Sion,top,1,0
16.06,Varus,bot,0,1
16.06,Xin Zhao,jng,1,0
16.07,Ashe,bot,1,1
16.07,Corki,bot,1,1
16.07,Jarvan IV,jng,1,1
16.07,Orianna,mid,0,2
16.07,Renekton,top,1,1
16.07,Xin Zhao,jng,2,0
16.07,Aatrox,jng,0,1
16.07,Akali,mid,0,1
16.07,Ambessa,top,1,0
16.07,Aurora,mid,1,0
16.07,Galio,mid,1,0
16.07,Jayce,top,1,0
16.07,Karma,sup,0,1
16.07,Lulu,sup,1,0
16.07,Nami,sup,1,0
16.07,Nautilus,sup,0,1
16.07,Pantheon,jng,0,1
16.07,Rumble,top,0,1
16.07,Ryze,mid,0,1
16.07,Seraphine,sup,1,0
16.07,Sion,top,0,1
16.07,Tristana,bot,1,0
16.07,Yorick,top,0,1
16.07,Zoe,mid,1,0
16.08,Karma,sup,0,3
16.08,Jayce,top,1,1
16.08,Rumble,top,2,0
16.08,Ryze,mid,0,2
16.08,Seraphine,sup,1,1
16.08,Aatrox,jng,1,0
16.08,Ahri,mid,1,0
16.08,Akali,mid,0,1
16.08,Annie,mid,1,0
16.08,Ashe,bot,1,0
16.08,Aurora,mid,1,0
16.08,Bard,sup,0,1
16.08,Corki,bot,1,0
16.08,Ezreal,bot,0,1
16.08,Jarvan IV,jng,0,1
16.08,Lulu,sup,1,0
16.08,Mel,mid,0,1
16.08,Nami,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Nocturne,jng,1,0
16.08,Orianna,mid,0,1
16.08,Pantheon,jng,1,0
16.08,Sion,top,0,1
16.08,Yunara,bot,1,0
16.09,Karma,sup,0,3
16.09,Caitlyn,bot,1,1
16.09,Ezreal,bot,0,2
16.09,Jarvan IV,jng,0,2
16.09,Aatrox,jng,1,0
16.09,Akali,mid,0,1
16.09,Alistar,sup,1,0
16.09,Annie,mid,1,0
16.09,Bard,sup,1,0
16.09,Elise,sup,1,0
16.09,Gnar,top,1,0
16.09,Jhin,bot,1,0
16.09,Kai'Sa,bot,0,1
16.09,LeBlanc,mid,1,0
16.09,Nautilus,sup,0,1
16.09,Orianna,mid,1,0
16.09,Pantheon,jng,1,0
16.09,Rek'Sai,top,1,0
16.09,Rell,sup,0,1
16.09,Rumble,top,1,0
16.09,Ryze,mid,0,1
16.09,Wukong,jng,1,0
16.09,Xin Zhao,jng,0,1
16.09,Yorick,top,0,1
16.09,Yunara,bot,1,0
16.1,Ezreal,bot,0,5
16.1,Karma,sup,0,5
16.1,Caitlyn,bot,0,2
16.1,Miss Fortune,bot,0,2
16.1,Pantheon,jng,1,1
16.1,Renekton,top,1,1
16.1,Seraphine,sup,1,1
16.1,Aatrox,jng,1,0
16.1,Akali,mid,0,1
16.1,Anivia,mid,1,0
16.1,Annie,mid,1,0
16.1,Ashe,bot,1,0
16.1,Aurora,mid,1,0
16.1,Bard,sup,1,0
16.1,Cassiopeia,mid,1,0
16.1,Corki,bot,1,0
16.1,Gnar,top,1,0
16.1,Gwen,top,1,0
16.1,Jax,top,1,0
16.1,Jayce,jng,1,0
16.1,K'Sante,top,0,1
16.1,Kalista,bot,0,1
16.1,Lulu,sup,1,0
16.1,Nami,sup,1,0
16.1,Orianna,mid,0,1
16.1,Ornn,top,0,1
16.1,Rakan,sup,1,0
16.1,Rumble,top,1,0
16.1,Senna,bot,0,1
16.1,Trundle,jng,1,0
16.1,Twisted Fate,mid,0,1
16.1,Varus,bot,1,0
16.1,Vayne,top,0,1
16.1,Vi,jng,1,0
16.1,Viktor,mid,1,0
16.1,Xayah,bot,1,0
16.1,Yunara,bot,1,0
