patch,champ,role,picks_vs,bans_vs
16.01,Akali,mid,0,1
16.01,Alistar,sup,1,0
16.01,Dr. Mundo,jng,0,1
16.01,Malphite,jng,1,0
16.01,Nocturne,jng,0,1
16.01,Renekton,top,1,0
16.01,Rumble,top,0,1
16.01,Taliyah,mid,1,0
16.01,Varus,bot,1,0
16.01,Wukong,jng,0,1
16.02,Jayce,top,0,2
16.02,Neeko,sup,1,1
16.02,Aatrox,jng,0,1
16.02,Alistar,sup,1,0
16.02,Ambessa,top,1,0
16.02,Anivia,mid,1,0
16.02,Corki,bot,1,0
16.02,Irelia,top,0,1
16.02,Leona,sup,0,1
16.02,Nautilus,sup,0,1
16.02,Orianna,mid,0,1
16.02,Pantheon,jng,1,0
16.02,Renekton,top,1,0
16.02,Rumble,top,0,1
16.02,Smolder,bot,0,1
16.02,Taliyah,mid,1,0
16.02,Taliyah,jng,1,0
16.02,Yunara,bot,1,0
16.07,Orianna,mid,1,3
16.07,Jarvan IV,jng,1,2
16.07,Ryze,mid,1,2
16.07,Ashe,bot,1,1
16.07,Jayce,top,0,2
16.07,Nautilus,sup,1,1
16.07,Rumble,top,0,2
16.07,Seraphine,sup,1,1
16.07,Xin Zhao,jng,2,0
16.07,Aurora,mid,0,1
16.07,Bard,sup,0,1
16.07,Corki,bot,0,1
16.07,Dr. Mundo,top,1,0
16.07,Ezreal,bot,1,0
16.07,Hwei,mid,1,0
16.07,Jax,top,1,0
16.07,K'Sante,top,1,0
16.07,Kai'Sa,bot,1,0
16.07,Lulu,sup,1,0
16.07,Neeko,sup,1,0
16.07,Nocturne,jng,0,1
16.07,Sylas,mid,0,1
16.07,Syndra,mid,1,0
16.07,Varus,bot,0,1
16.07,Yorick,top,1,0
16.07,Yunara,bot,1,0
16.07,Zaahen,jng,1,0
16.08,Jayce,top,1,2
16.08,Nocturne,jng,1,2
16.08,Pantheon,jng,1,2
16.08,Akali,mid,0,2
16.08,Aurora,mid,1,1
16.08,Ezreal,bot,2,0
16.08,Kai'Sa,bot,1,1
16.08,Seraphine,sup,0,2
16.08,Aatrox,jng,0,1
16.08,Anivia,mid,0,1
16.08,Aurelion Sol,mid,1,0
16.08,Bard,sup,1,0
16.08,Galio,mid,1,0
16.08,Gragas,top,1,0
16.08,Gwen,top,0,1
16.08,Irelia,top,0,1
16.08,Jarvan IV,jng,1,0
16.08,LeBlanc,mid,0,1
16.08,Lucian,bot,1,0
16.08,Milio,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Orianna,mid,1,0
16.08,Poppy,top,1,0
16.08,Rell,sup,1,0
16.08,Renekton,top,1,0
16.08,Ryze,mid,0,1
16.08,Senna,sup,1,0
16.08,Vi,jng,0,1
16.08,Wukong,jng,1,0
16.09,Akali,mid,0,3
16.09,Jarvan IV,jng,1,2
16.09,Ahri,mid,2,0
16.09,Ezreal,bot,1,1
16.09,Nautilus,sup,2,0
16.09,Nocturne,jng,0,2
16.09,Orianna,mid,0,2
16.09,Pantheon,jng,0,2
16.09,Rumble,top,2,0
16.09,Smolder,bot,2,0
16.09,Ambessa,top,1,0
16.09,Aurora,mid,0,1
16.09,Gwen,top,0,1
16.09,Irelia,top,0,1
16.09,Jayce,top,0,1
16.09,Kayn,jng,1,0
16.09,Lucian,bot,1,0
16.09,Milio,sup,1,0
16.09,Nami,sup,1,0
16.09,Sion,top,1,0
16.09,Sivir,bot,0,1
16.09,Sylas,mid,0,1
16.09,Syndra,mid,1,0
16.09,Vi,jng,1,0
16.09,Viktor,mid,1,0
16.09,Xin Zhao,jng,0,1
16.09,Yasuo,mid,0,1
16.09,Zaahen,jng,1,0
16.1,Aurora,mid,0,2
16.1,Bard,sup,1,1
16.1,Jayce,top,0,2
16.1,Aatrox,jng,1,0
16.1,Akali,top,1,0
16.1,Braum,sup,0,1
16.1,Ezreal,bot,1,0
16.1,Jhin,bot,1,0
16.1,Nami,sup,0,1
16.1,Orianna,mid,0,1
16.1,Pantheon,jng,1,0
16.1,Poppy,sup,0,1
16.1,Rell,sup,1,0
16.1,Sion,top,1,0
16.1,Twisted Fate,mid,1,0
16.1,Viktor,mid,1,0
16.1,Xin Zhao,jng,0,1
