patch,champ,role,picks_by,bans_vs,series_presence
16.01,Rumble,top,1,2,3
16.01,Azir,mid,2,0,2
16.01,Jayce,top,0,2,2
16.01,Orianna,mid,0,2,2
16.01,Xin Zhao,jng,2,0,2
16.01,Alistar,sup,0,1,1
16.01,Ambessa,top,0,1,1
16.01,Aphelios,bot,1,0,1
16.01,Bard,sup,1,0,1
16.01,Caitlyn,bot,1,0,1
16.01,Corki,bot,0,1,1
16.01,Ezreal,bot,1,0,1
16.01,Gnar,top,1,0,1
16.01,K'Sante,top,0,1,1
16.01,Karma,sup,1,0,1
16.01,Lulu,sup,1,0,1
16.01,Malphite,jng,0,1,1
16.01,Nautilus,sup,0,1,1
16.01,Neeko,sup,0,1,1
16.01,Sion,top,1,0,1
16.01,Sivir,bot,0,1,1
16.01,Taliyah,mid,1,0,1
16.01,Varus,bot,0,1,1
16.01,Wukong,jng,1,0,1
16.02,Azir,mid,2,4,6
16.02,Yunara,bot,3,3,6
16.02,Jarvan IV,jng,1,4,5
16.02,Rumble,top,3,2,5
16.02,Alistar,sup,4,0,4
16.02,Varus,bot,1,3,4
16.02,Bard,sup,0,2,2
16.02,Braum,sup,0,2,2
16.02,Jayce,top,0,2,2
16.02,Leona,sup,2,0,2
16.02,Orianna,mid,1,1,2
16.02,Pantheon,jng,2,0,2
16.02,Ryze,mid,1,1,2
16.02,Aatrox,jng,1,0,1
16.02,Akali,mid,0,1,1
16.02,Ambessa,top,1,0,1
16.02,Cassiopeia,mid,1,0,1
16.02,Dr. Mundo,jng,1,0,1
16.02,Galio,mid,1,0,1
16.02,Gnar,top,1,0,1
16.02,Jayce,jng,1,0,1
16.02,Jhin,bot,1,0,1
16.02,Nautilus,sup,0,1,1
16.02,Neeko,sup,0,1,1
16.02,Qiyana,jng,0,1,1
16.02,Rell,sup,0,1,1
16.02,Sion,top,1,0,1
16.02,Sivir,bot,1,0,1
16.02,Wukong,jng,0,1,1
16.03,Yunara,bot,2,11,8
16.03,Rumble,top,4,7,6
16.03,Varus,bot,2,9,7
16.03,Azir,mid,4,5,6
16.03,Alistar,sup,3,4,7
16.03,Bard,sup,3,4,5
16.03,Nautilus,sup,1,5,3
16.03,Sion,top,4,2,6
16.03,Ambessa,top,1,4,3
16.03,Galio,mid,3,2,5
16.03,Jarvan IV,jng,3,2,5
16.03,Aurora,mid,3,1,3
16.03,Dr. Mundo,jng,1,3,2
16.03,Ezreal,bot,3,1,4
16.03,Gnar,top,2,2,4
16.03,Gwen,top,2,2,3
16.03,Jhin,bot,4,0,4
16.03,Karma,sup,2,2,3
16.03,Lulu,sup,1,3,2
16.03,Rakan,sup,4,0,4
16.03,Vi,jng,4,0,4
16.03,Wukong,jng,3,1,4
16.03,Xayah,bot,3,1,3
16.03,Ahri,mid,3,0,3
16.03,Aphelios,bot,0,3,2
16.03,Ashe,bot,2,1,3
16.03,Jayce,top,1,2,3
16.03,Kai'Sa,bot,0,3,3
16.03,Mel,mid,0,3,1
16.03,Naafiri,jng,2,1,3
16.03,Nami,sup,2,1,3
16.03,Neeko,sup,2,1,3
16.03,Orianna,mid,1,2,3
16.03,Rek'Sai,top,2,1,3
16.03,Xin Zhao,jng,2,1,3
16.03,Zeri,bot,1,2,3
16.03,Corki,bot,2,0,2
16.03,Kennen,top,1,1,2
16.03,LeBlanc,mid,1,1,2
16.03,Lucian,bot,1,1,2
16.03,Nocturne,jng,0,2,1
16.03,Rell,sup,1,1,2
16.03,Renata Glasc,sup,1,1,1
16.03,Ryze,mid,2,0,2
16.03,Seraphine,sup,2,0,2
16.03,Sivir,bot,1,1,2
16.03,Taliyah,mid,1,1,2
16.03,Viktor,mid,2,0,2
16.03,Aatrox,jng,0,1,1
16.03,Akali,top,1,0,1
16.03,Ambessa,jng,1,0,1
16.03,Anivia,mid,1,0,1
16.03,Aurora,top,1,0,1
16.03,Braum,sup,0,1,1
16.03,Galio,top,1,0,1
16.03,Jayce,jng,1,0,1
16.03,K'Sante,top,1,0,1
16.03,Kalista,bot,1,0,1
16.03,Kha'Zix,jng,1,0,1
16.03,Malphite,jng,0,1,1
16.03,Maokai,jng,1,0,1
16.03,Miss Fortune,bot,0,1,1
16.03,Pantheon,jng,1,0,1
16.03,Poppy,sup,0,1,1
16.03,Renekton,top,0,1,1
16.03,Sejuani,jng,1,0,1
16.03,Sylas,mid,0,1,1
16.03,Syndra,mid,1,0,1
16.03,Trundle,jng,0,1,1
16.03,Varus,top,1,0,1
16.03,Zaahen,jng,1,0,1
16.03,Zaahen,top,0,1,1
16.06,Azir,mid,1,1,1
16.06,Nautilus,sup,0,2,1
16.06,Rumble,top,1,1,1
16.06,Vi,jng,0,2,1
16.06,Yunara,bot,0,2,1
16.06,Ahri,mid,1,0,1
16.06,Akali,mid,0,1,1
16.06,Ambessa,top,1,0,1
16.06,Ashe,bot,1,0,1
16.06,Aurora,top,1,0,1
16.06,Corki,bot,1,0,1
16.06,Ezreal,bot,1,0,1
16.06,Galio,mid,1,0,1
16.06,Gnar,top,0,1,1
16.06,Jarvan IV,jng,0,1,1
16.06,Leona,sup,1,0,1
16.06,Nami,sup,1,0,1
16.06,Nocturne,jng,1,0,1
16.06,Pantheon,jng,0,1,1
16.06,Poppy,sup,0,1,1
16.06,Seraphine,sup,1,0,1
16.06,Sion,top,0,1,1
16.06,Skarner,jng,0,1,1
16.06,Wukong,jng,1,0,1
16.06,Xin Zhao,jng,1,0,1
16.07,Azir,mid,0,2,1
16.07,Renekton,top,1,1,1
16.07,Ahri,mid,1,0,1
16.07,Annie,mid,1,0,1
16.07,Ashe,bot,1,0,1
16.07,Caitlyn,bot,0,1,1
16.07,Corki,bot,1,0,1
16.07,Gnar,top,1,0,1
16.07,Gwen,top,0,1,1
16.07,Jayce,top,0,1,1
16.07,Karma,sup,0,1,1
16.07,Nami,sup,1,0,1
16.07,Nautilus,sup,0,1,1
16.07,Orianna,mid,0,1,1
16.07,Pantheon,jng,1,0,1
16.07,Ryze,mid,0,1,1
16.07,Seraphine,sup,1,0,1
16.07,Xin Zhao,jng,1,0,1
16.08,Orianna,mid,1,7,5
16.08,Rumble,top,3,5,5
16.08,Pantheon,jng,1,6,4
16.08,Azir,mid,4,2,4
16.08,Jarvan IV,jng,2,4,3
16.08,Seraphine,sup,1,5,3
16.08,Bard,sup,4,1,5
16.08,Annie,mid,4,0,4
16.08,Ashe,bot,1,3,2
16.08,Caitlyn,bot,3,1,4
16.08,Gnar,top,1,3,3
16.08,Jayce,top,0,4,4
16.08,Nami,sup,4,0,4
16.08,Ryze,mid,2,2,3
16.08,Vi,jng,3,1,4
16.08,Corki,bot,3,0,3
16.08,Nocturne,jng,1,2,1
16.08,Renekton,top,2,1,3
16.08,Sion,top,2,1,2
16.08,Sivir,bot,2,1,2
16.08,Xin Zhao,jng,2,1,2
16.08,Yunara,bot,2,1,3
16.08,Lulu,sup,2,0,2
16.08,Nautilus,sup,0,2,2
16.08,Skarner,jng,1,1,2
16.08,Vayne,top,2,0,2
16.08,Wukong,jng,1,1,2
16.08,Ambessa,top,0,1,1
16.08,Anivia,mid,0,1,1
16.08,Aphelios,bot,0,1,1
16.08,Aurora,top,1,0,1
16.08,Aurora,mid,1,0,1
16.08,Kha'Zix,jng,1,0,1
16.08,Lucian,bot,1,0,1
16.08,Milio,sup,1,0,1
16.08,Sylas,mid,0,1,1
16.08,Varus,top,1,0,1
16.08,Varus,bot,0,1,1
16.09,Orianna,mid,2,6,6
16.09,Pantheon,jng,5,2,6
16.09,Annie,mid,2,4,4
16.09,Ashe,bot,3,3,5
16.09,Bard,sup,2,4,4
16.09,Milio,sup,0,6,3
16.09,Rumble,top,2,4,5
16.09,Xin Zhao,jng,1,5,4
16.09,Jayce,top,1,4,4
16.09,Lulu,sup,3,2,5
16.09,Nami,sup,3,2,4
16.09,Nautilus,sup,2,3,3
16.09,Vi,jng,3,2,4
16.09,Jarvan IV,jng,1,3,3
16.09,Naafiri,jng,3,1,4
16.09,Seraphine,sup,3,1,4
16.09,Vayne,top,0,4,4
16.09,Aurora,top,3,0,3
16.09,Azir,mid,2,1,3
16.09,Caitlyn,bot,2,1,3
16.09,Corki,bot,3,0,3
16.09,Ezreal,bot,2,1,2
16.09,Gnar,top,2,1,3
16.09,Sion,top,3,0,3
16.09,Varus,bot,0,3,2
16.09,Anivia,mid,2,0,2
16.09,Karma,sup,1,1,2
16.09,Ryze,mid,2,0,2
16.09,Sivir,bot,1,1,2
16.09,Taliyah,mid,2,0,2
16.09,Viktor,mid,2,0,2
16.09,Yunara,bot,2,0,2
16.09,Ahri,mid,1,0,1
16.09,Akali,mid,0,1,1
16.09,Aurora,mid,1,0,1
16.09,Brand,top,1,0,1
16.09,Cassiopeia,top,1,0,1
16.09,Cassiopeia,mid,0,1,1
16.09,Galio,mid,0,1,1
16.09,Galio,top,1,0,1
16.09,Janna,sup,1,0,1
16.09,Jax,top,0,1,1
