patch,champ,role,picks_by,bans_vs
16.01,Bard,sup,3,5
16.01,Malphite,jng,0,6
16.01,Varus,bot,0,5
16.01,Corki,bot,3,1
16.01,Jayce,top,0,4
16.01,Orianna,mid,4,0
16.01,Vi,jng,2,2
16.01,Ambessa,top,0,3
16.01,Jarvan IV,jng,2,1
16.01,Lucian,bot,2,1
16.01,Neeko,sup,1,2
16.01,Renekton,top,2,1
16.01,Rumble,top,0,3
16.01,Akali,mid,1,1
16.01,Alistar,sup,2,0
16.01,Azir,mid,0,2
16.01,Braum,sup,2,0
16.01,Gnar,top,2,0
16.01,Gwen,top,2,0
16.01,Jhin,bot,2,0
16.01,K'Sante,top,1,1
16.01,Karma,sup,0,2
16.01,Kennen,top,1,1
16.01,Nami,sup,1,1
16.01,Nocturne,jng,1,1
16.01,Pantheon,jng,2,0
16.01,Poppy,sup,1,1
16.01,Rakan,sup,0,2
16.01,Sion,top,1,1
16.01,Sivir,bot,1,1
16.01,Taliyah,mid,2,0
16.01,Xin Zhao,jng,2,0
16.01,Yunara,bot,2,0
16.01,Ahri,mid,0,1
16.01,Ambessa,jng,1,0
16.01,Ashe,bot,0,1
16.01,Aurora,mid,1,0
16.01,Cassiopeia,mid,1,0
16.01,Gragas,top,1,0
16.01,Jax,top,1,0
16.01,Jax,jng,1,0
16.01,Kai'Sa,bot,1,0
16.01,Leona,sup,1,0
16.01,Lulu,sup,0,1
16.01,Miss Fortune,bot,0,1
16.01,Nautilus,sup,0,1
16.01,Rek'Sai,top,0,1
16.01,Ryze,mid,1,0
16.01,Sylas,mid,0,1
16.01,Syndra,mid,1,0
16.02,Jayce,top,0,7
16.02,Bard,sup,1,5
16.02,Varus,bot,0,6
16.02,Xin Zhao,jng,4,2
16.02,Corki,bot,2,3
16.02,Nautilus,sup,4,1
16.02,Neeko,sup,2,2
16.02,Orianna,mid,2,2
16.02,Aurora,mid,2,1
16.02,Azir,mid,2,1
16.02,K'Sante,top,3,0
16.02,Kennen,top,0,3
16.02,Lucian,bot,1,2
16.02,Lulu,sup,0,3
16.02,Malphite,jng,1,2
16.02,Nami,sup,0,3
16.02,Nocturne,jng,0,3
16.02,Renekton,top,0,3
16.02,Rumble,top,1,2
16.02,Sivir,bot,1,2
16.02,Vi,jng,1,2
16.02,Yunara,bot,3,0
16.02,Ahri,mid,1,1
16.02,Alistar,sup,2,0
16.02,Ambessa,top,2,0
16.02,Galio,mid,1,1
16.02,Gnar,top,2,0
16.02,Gwen,top,2,0
16.02,Jarvan IV,jng,2,0
16.02,Rakan,sup,2,0
16.02,Syndra,mid,2,0
16.02,Taliyah,mid,2,0
16.02,Xayah,bot,2,0
16.02,Ziggs,bot,0,2
16.02,Aatrox,jng,1,0
16.02,Akali,mid,0,1
16.02,Ambessa,jng,1,0
16.02,Dr. Mundo,jng,0,1
16.02,Ezreal,bot,1,0
16.02,Jax,top,1,0
16.02,Jhin,bot,1,0
16.02,Kai'Sa,bot,1,0
16.02,Karma,sup,1,0
16.02,LeBlanc,mid,0,1
16.02,Lee Sin,jng,0,1
16.02,Pantheon,jng,1,0
16.02,Ryze,mid,0,1
16.02,Sion,top,1,0
16.02,Sona,sup,1,0
16.02,Twisted Fate,mid,0,1
16.02,Viktor,mid,1,0
16.02,Wukong,jng,1,0
16.02,Zaahen,top,1,0
16.02,Zaahen,jng,1,0
16.02,Zeri,bot,1,0
16.03,Yunara,bot,2,4
16.03,Bard,sup,0,4
16.03,Neeko,sup,1,3
16.03,Poppy,sup,1,3
16.03,Karma,sup,2,1
16.03,Nocturne,jng,0,3
16.03,Pantheon,jng,0,3
16.03,Ryze,mid,1,2
16.03,Vi,jng,1,2
16.03,Corki,bot,1,1
16.03,Gwen,top,0,2
16.03,Kai'Sa,bot,1,1
16.03,Kennen,top,2,0
16.03,Lucian,bot,0,2
16.03,Nautilus,sup,2,0
16.03,Renekton,top,1,1
16.03,Sivir,bot,2,0
16.03,Varus,bot,0,2
16.03,Xin Zhao,jng,2,0
16.03,Ambessa,jng,1,0
16.03,Aphelios,bot,1,0
16.03,Aurora,top,1,0
16.03,Aurora,mid,1,0
16.03,Azir,mid,1,0
16.03,Braum,sup,0,1
16.03,Cassiopeia,mid,0,1
16.03,Dr. Mundo,jng,1,0
16.03,Ezreal,bot,1,0
16.03,Galio,mid,1,0
16.03,Gnar,top,1,0
16.03,Jax,top,0,1
16.03,Jayce,top,1,0
16.03,Kalista,bot,1,0
16.03,Lee Sin,jng,0,1
16.03,Leona,sup,1,0
16.03,Lulu,sup,1,0
16.03,Malphite,jng,0,1
16.03,Naafiri,jng,1,0
16.03,Nami,sup,0,1
16.03,Olaf,jng,1,0
16.03,Orianna,mid,1,0
16.03,Ornn,top,1,0
16.03,Rakan,sup,0,1
16.03,Renata Glasc,sup,1,0
16.03,Rumble,top,1,0
16.03,Sejuani,jng,1,0
16.03,Sion,top,1,0
16.03,Sylas,mid,1,0
16.03,Syndra,mid,0,1
16.03,Taliyah,mid,1,0
