patch,champ,role,picks_vs,bans_vs
16.05,Karma,sup,1,6
16.05,Ambessa,top,1,3
16.05,Nami,sup,0,4
16.05,Varus,bot,1,3
16.05,Ahri,mid,2,1
16.05,Jarvan IV,jng,2,1
16.05,Ryze,mid,1,2
16.05,Annie,mid,1,1
16.05,Bard,sup,1,1
16.05,Ezreal,bot,1,1
16.05,K'Sante,top,0,2
16.05,Kai'Sa,bot,2,0
16.05,Nautilus,sup,1,1
16.05,Neeko,sup,1,1
16.05,Orianna,mid,0,2
16.05,Rumble,top,2,0
16.05,Akali,mid,0,1
16.05,Aurora,top,1,0
16.05,Aurora,mid,0,1
16.05,Caitlyn,bot,1,0
16.05,Galio,mid,0,1
16.05,Gnar,top,1,0
16.05,Lee Sin,jng,1,0
16.05,Lulu,sup,1,0
16.05,Maokai,sup,1,0
16.05,Mel,mid,1,0
16.05,Nocturne,jng,1,0
16.05,Pantheon,jng,1,0
16.05,Rakan,sup,1,0
16.05,Renekton,top,0,1
16.05,Sion,top,0,1
16.05,Sivir,bot,1,0
16.05,Syndra,mid,1,0
16.05,Vi,jng,0,1
16.05,Vladimir,mid,1,0
16.05,Wukong,jng,1,0
16.05,Yorick,top,1,0
16.05,Yunara,bot,1,0
16.05,Zaahen,jng,1,0
16.05,Zaahen,top,1,0
16.06,Rumble,top,2,9
16.06,Karma,sup,0,9
16.06,Varus,bot,4,4
16.06,Orianna,mid,0,7
16.06,Ryze,mid,3,4
16.06,Nami,sup,4,2
16.06,Vi,jng,3,3
16.06,Ahri,mid,3,2
16.06,Ashe,bot,2,3
16.06,Bard,sup,1,4
16.06,Ezreal,bot,4,1
16.06,Gnar,top,1,4
16.06,Xin Zhao,jng,5,0
16.06,Ambessa,top,2,2
16.06,Azir,mid,4,0
16.06,Jayce,top,3,1
16.06,Lulu,sup,2,2
16.06,Nautilus,sup,3,1
16.06,Nocturne,jng,3,1
16.06,Renekton,top,2,2
16.06,Aurora,mid,0,3
16.06,Galio,mid,2,1
16.06,Jarvan IV,jng,2,1
16.06,Sivir,bot,2,1
16.06,Viktor,mid,3,0
16.06,Akali,mid,1,1
16.06,Alistar,sup,2,0
16.06,Annie,mid,1,1
16.06,Corki,bot,2,0
16.06,K'Sante,top,2,0
16.06,Mel,mid,0,2
16.06,Naafiri,jng,2,0
16.06,Seraphine,sup,2,0
16.06,Trundle,jng,1,1
16.06,Vayne,top,2,0
16.06,Wukong,jng,0,2
16.06,Yorick,top,0,2
16.06,Yunara,bot,2,0
16.06,Akali,top,1,0
16.06,Anivia,sup,1,0
16.06,Jax,top,0,1
16.06,Jhin,bot,1,0
16.06,Kai'Sa,bot,0,1
16.06,Lux,sup,0,1
16.06,Neeko,sup,0,1
16.06,Pantheon,jng,0,1
16.06,Poppy,sup,0,1
16.06,Rakan,sup,0,1
16.06,Rek'Sai,top,0,1
16.06,Rell,sup,1,0
16.06,Senna,sup,1,0
16.06,Skarner,jng,1,0
16.06,Sylas,mid,0,1
16.06,Volibear,top,1,0
16.06,Zaahen,top,1,0
16.07,Rumble,top,0,9
16.07,Pantheon,jng,3,4
16.07,Karma,sup,1,5
16.07,Ryze,mid,4,2
16.07,Gnar,top,3,2
16.07,Aurora,mid,4,0
16.07,Nautilus,sup,3,1
16.07,Seraphine,sup,0,4
16.07,Varus,bot,1,3
16.07,Vi,jng,1,3
16.07,Alistar,sup,1,2
16.07,Ambessa,top,1,2
16.07,Azir,mid,0,3
16.07,Jarvan IV,jng,1,2
16.07,Jayce,top,3,0
16.07,Lee Sin,jng,3,0
16.07,Nocturne,jng,1,2
16.07,Sivir,bot,2,1
16.07,Xin Zhao,jng,3,0
16.07,Yunara,bot,2,1
16.07,Annie,mid,1,1
16.07,Bard,sup,0,2
16.07,Caitlyn,bot,0,2
16.07,Corki,bot,1,1
16.07,Ezreal,bot,0,2
16.07,Jhin,bot,1,1
16.07,Lulu,sup,2,0
16.07,Nami,sup,2,0
16.07,Neeko,sup,1,1
16.07,Orianna,mid,0,2
16.07,Pyke,sup,1,1
