patch,champ,role,picks_by,bans_vs,series_presence
16.01,Malphite,jng,1,6,4
16.01,Azir,mid,1,4,3
16.01,Jayce,top,0,5,3
16.01,Orianna,mid,0,5,3
16.01,Jarvan IV,jng,1,3,3
16.01,Nautilus,sup,2,2,4
16.01,Taliyah,mid,4,0,4
16.01,Yunara,bot,3,1,3
16.01,Akali,mid,1,2,3
16.01,Alistar,sup,2,1,3
16.01,K'Sante,top,3,0,3
16.01,Neeko,sup,2,1,3
16.01,Nocturne,jng,0,3,3
16.01,Renekton,top,3,0,3
16.01,Rumble,top,0,3,2
16.01,Wukong,jng,3,0,3
16.01,Ambessa,top,0,2,2
16.01,Aphelios,bot,1,1,2
16.01,Braum,sup,2,0,2
16.01,Ezreal,bot,1,1,2
16.01,Lucian,bot,2,0,2
16.01,Rek'Sai,top,2,0,2
16.01,Ryze,mid,2,0,2
16.01,Sivir,bot,0,2,2
16.01,Vi,jng,1,1,2
16.01,Ziggs,bot,1,1,1
16.01,Zoe,mid,2,0,2
16.01,Aurora,mid,0,1,1
16.01,Corki,bot,0,1,1
16.01,Dr. Mundo,jng,1,0,1
16.01,Gnar,top,1,0,1
16.01,Kai'Sa,bot,1,0,1
16.01,Kennen,top,1,0,1
16.01,Mel,mid,0,1,1
16.01,Pantheon,jng,0,1,1
16.01,Poppy,sup,0,1,1
16.01,Rakan,sup,1,0,1
16.01,Sejuani,jng,1,0,1
16.01,Sylas,jng,1,0,1
16.01,Thresh,sup,1,0,1
16.01,Trundle,jng,0,1,1
16.01,Varus,bot,1,0,1
16.01,Xin Zhao,jng,1,0,1
16.02,Braum,sup,1,3,2
16.02,Varus,bot,0,4,2
16.02,Azir,mid,2,1,2
16.02,Rumble,top,0,3,2
16.02,Aphelios,bot,1,1,1
16.02,Aurora,mid,0,2,1
16.02,Corki,bot,2,0,2
16.02,Gwen,top,0,2,1
16.02,Jayce,top,0,2,2
16.02,Nautilus,sup,1,1,2
16.02,Nocturne,jng,1,1,1
16.02,Renekton,top,2,0,2
16.02,Sion,top,2,0,2
16.02,Taliyah,mid,2,0,2
16.02,Vi,jng,2,0,2
16.02,Zoe,mid,0,2,1
16.02,Ahri,mid,1,0,1
16.02,Akali,mid,1,0,1
16.02,Alistar,sup,0,1,1
16.02,Ambessa,top,1,0,1
16.02,Bard,sup,1,0,1
16.02,Blitzcrank,sup,1,0,1
16.02,Caitlyn,bot,1,0,1
16.02,Cassiopeia,mid,0,1,1
16.02,Dr. Mundo,jng,1,0,1
16.02,Ezreal,bot,1,0,1
16.02,Jarvan IV,jng,0,1,1
16.02,Jax,top,0,1,1
16.02,Jax,jng,1,0,1
16.02,Jayce,jng,1,0,1
16.02,Karma,sup,1,0,1
16.02,Leona,sup,0,1,1
16.02,Lucian,bot,1,0,1
16.02,Lulu,sup,0,1,1
16.02,Malphite,jng,0,1,1
16.02,Miss Fortune,bot,1,0,1
16.02,Nami,sup,1,0,1
16.02,Poppy,sup,0,1,1
16.02,Rakan,sup,1,0,1
16.02,Rek'Sai,top,1,0,1
16.02,Sylas,mid,0,1,1
16.02,Syndra,mid,1,0,1
16.02,Trundle,jng,0,1,1
16.02,Wukong,jng,1,0,1
16.02,Xayah,bot,0,1,1
16.02,Zaahen,top,1,0,1
16.02,Zeri,bot,0,1,1
16.02,Ziggs,bot,0,1,1
16.06,Lulu,sup,1,2,2
16.06,Yunara,bot,2,1,2
16.06,Annie,mid,1,1,2
16.06,Azir,mid,0,2,2
16.06,Jarvan IV,jng,1,1,1
16.06,Jayce,top,2,0,2
16.06,Karma,sup,1,1,2
16.06,Nami,sup,0,2,2
16.06,Pantheon,jng,1,1,2
16.06,Renekton,top,1,1,2
16.06,Ryze,mid,2,0,2
16.06,Vi,jng,0,2,2
16.06,Aatrox,jng,1,0,1
16.06,Akali,mid,1,0,1
16.06,Alistar,sup,1,0,1
16.06,Ambessa,top,0,1,1
16.06,Ashe,bot,1,0,1
16.06,Aurora,mid,0,1,1
16.06,Bard,sup,1,0,1
16.06,Cassiopeia,mid,0,1,1
16.06,Ezreal,bot,1,0,1
16.06,Gnar,top,0,1,1
16.06,Mel,mid,0,1,1
16.06,Nautilus,sup,0,1,1
16.06,Nocturne,jng,1,0,1
16.06,Poppy,sup,0,1,1
16.06,Rumble,top,0,1,1
16.06,Seraphine,sup,1,0,1
16.06,Sivir,bot,1,0,1
16.06,Syndra,mid,0,1,1
16.06,Varus,bot,0,1,1
16.06,Vayne,top,1,0,1
16.06,Xin Zhao,jng,1,0,1
16.06,Yone,mid,0,1,1
16.06,Zaahen,top,1,0,1
16.06,Zoe,mid,1,0,1
16.07,Ryze,mid,3,3,4
16.07,Pantheon,jng,2,3,3
16.07,Ashe,bot,2,2,3
16.07,Azir,mid,0,4,2
16.07,Jayce,top,1,3,3
16.07,Karma,sup,2,2,3
16.07,Mel,mid,1,3,3
16.07,Nocturne,jng,1,3,3
16.07,Rumble,top,0,4,3
16.07,Ahri,mid,3,0,3
16.07,Akali,mid,1,2,2
16.07,Varus,bot,0,3,2
16.07,Vi,jng,2,1,3
16.07,Xin Zhao,jng,1,2,2
16.07,Bard,sup,2,0,2
16.07,Caitlyn,bot,1,1,2
16.07,Ezreal,bot,2,0,2
16.07,Lulu,sup,2,0,2
16.07,Seraphine,sup,2,0,2
16.07,Syndra,mid,0,2,1
16.07,Vayne,top,1,1,2
16.07,Yorick,top,2,0,2
16.07,Yunara,bot,2,0,2
16.07,Alistar,sup,1,0,1
16.07,Ambessa,top,1,0,1
16.07,Gnar,top,1,0,1
16.07,Hwei,mid,1,0,1
16.07,Jarvan IV,jng,1,0,1
16.07,Jax,top,0,1,1
16.07,Jhin,bot,1,0,1
16.07,K'Sante,top,0,1,1
16.07,Leona,sup,0,1,1
16.07,Naafiri,top,1,0,1
16.07,Nautilus,sup,0,1,1
16.07,Orianna,mid,0,1,1
16.07,Renekton,top,1,0,1
16.07,Sivir,bot,0,1,1
16.07,Trundle,jng,1,0,1
16.07,Wukong,jng,1,0,1
16.07,Zaahen,top,1,0,1
16.07,Ziggs,bot,1,0,1
16.08,Karma,sup,1,6,4
16.08,Rumble,top,0,6,4
16.08,Ryze,mid,1,5,4
16.08,Orianna,mid,1,4,4
