patch,champ,role,picks_vs,bans_vs
16.01,Malphite,jng,0,2
16.01,Orianna,mid,1,1
16.01,Aatrox,top,1,0
16.01,Akali,mid,0,1
16.01,Alistar,sup,0,1
16.01,Ambessa,top,1,0
16.01,Jarvan IV,jng,1,0
16.01,Jayce,top,0,1
16.01,Leona,sup,1,0
16.01,Miss Fortune,bot,1,0
16.01,Neeko,sup,0,1
16.01,Poppy,sup,0,1
16.01,Rakan,sup,1,0
16.01,Ryze,mid,1,0
16.01,Thresh,sup,0,1
16.01,Wukong,jng,1,0
16.01,Xin Zhao,jng,0,1
16.01,Yunara,bot,1,0
16.02,Alistar,sup,1,2
16.02,Ambessa,top,2,1
16.02,Ezreal,bot,1,2
16.02,Renekton,top,1,2
16.02,Rumble,top,1,2
16.02,Ryze,mid,3,0
16.02,Bard,sup,1,1
16.02,Gnar,top,1,1
16.02,Jarvan IV,jng,2,0
16.02,Jayce,top,0,2
16.02,Malphite,jng,0,2
16.02,Orianna,mid,1,1
16.02,Rakan,sup,1,1
16.02,Taliyah,mid,0,2
16.02,Yunara,bot,2,0
16.02,Akali,mid,0,1
16.02,Aurora,mid,0,1
16.02,Corki,bot,0,1
16.02,Dr. Mundo,jng,1,0
16.02,Leona,sup,1,0
16.02,Lucian,bot,1,0
16.02,Nautilus,sup,1,0
16.02,Neeko,sup,0,1
16.02,Nocturne,jng,1,0
16.02,Sivir,bot,1,0
16.02,Sylas,mid,1,0
16.02,Thresh,sup,0,1
16.02,Varus,bot,0,1
16.02,Xin Zhao,jng,1,0
16.03,Orianna,mid,0,3
16.03,Bard,sup,0,2
16.03,Nami,sup,1,1
16.03,Sylas,mid,1,1
16.03,Aatrox,jng,1,0
16.03,Ambessa,top,0,1
16.03,Aurora,mid,1,0
16.03,Azir,mid,0,1
16.03,Ezreal,bot,1,0
16.03,Jayce,top,0,1
16.03,Jhin,bot,1,0
16.03,Kennen,top,0,1
16.03,Lucian,bot,1,0
16.03,Malphite,jng,1,0
16.03,Nautilus,sup,1,0
