patch,champ,role,picks_vs,bans_vs
16.01,Gragas,top,0,2
16.01,Malphite,jng,0,2
16.01,Rammus,jng,0,2
16.01,Rell,sup,2,0
16.01,Aatrox,top,1,0
16.01,Alistar,sup,0,1
16.01,Aphelios,bot,0,1
16.01,Azir,mid,1,0
16.01,Braum,sup,0,1
16.01,Ezreal,bot,1,0
16.01,Jarvan IV,jng,1,0
16.01,Jhin,bot,1,0
16.01,Jinx,bot,0,1
16.01,Neeko,sup,1,0
16.01,Renekton,top,1,0
16.01,Ryze,mid,1,0
16.01,Syndra,mid,1,0
16.01,Udyr,jng,1,0
16.01,Volibear,top,1,0
16.01,Xin Zhao,jng,1,0
16.01,Yunara,bot,1,0
16.02,Gragas,top,0,2
16.02,Malphite,jng,0,2
16.02,Rammus,jng,0,2
16.02,Alistar,sup,0,1
16.02,Ambessa,jng,1,0
16.02,Ambessa,top,1,0
16.02,Braum,sup,0,1
16.02,Kai'Sa,bot,1,0
16.02,Karma,sup,0,1
16.02,Neeko,sup,1,0
16.02,Pantheon,jng,1,0
16.02,Rell,sup,1,0
16.02,Rumble,top,1,0
16.02,Taliyah,mid,1,0
16.02,Yone,mid,1,0
16.02,Yunara,bot,1,0
16.02,Zilean,sup,0,1
16.03,Alistar,sup,1,1
16.03,Gragas,top,0,2
16.03,Rammus,jng,0,2
16.03,Braum,sup,0,1
16.03,Briar,jng,1,0
16.03,Corki,bot,1,0
16.03,Jinx,bot,0,1
16.03,Kled,top,1,0
16.03,Malphite,jng,0,1
16.03,Nautilus,sup,1,0
16.03,Nocturne,jng,1,0
16.03,Orianna,mid,1,0
16.03,Rumble,top,1,0
16.03,Ryze,mid,1,0
16.03,Tristana,bot,1,0
16.03,Yunara,bot,0,1
16.03,Zaahen,top,0,1
16.04,Gragas,top,0,2
16.04,Lulu,sup,0,2
16.04,Rammus,jng,0,2
16.04,Ryze,mid,1,1
16.04,Ambessa,top,1,0
16.04,Corki,bot,1,0
16.04,K'Sante,top,1,0
16.04,Leona,sup,1,0
16.04,Rakan,sup,1,0
16.04,Taliyah,mid,1,0
16.04,Thresh,sup,0,1
16.04,Tristana,bot,0,1
16.04,Vi,jng,1,0
16.04,Xin Zhao,jng,1,0
16.04,Yunara,bot,0,1
16.04,Zeri,bot,1,0
