patch,champ,role,picks_vs,bans_vs
16.04,LeBlanc,mid,0,2
16.04,Neeko,sup,0,2
16.04,Zed,mid,0,2
16.04,Aphelios,bot,0,1
16.04,Gnar,top,1,0
16.04,Jarvan IV,jng,1,0
16.04,K'Sante,top,0,1
16.04,Lulu,sup,1,0
16.04,Nami,sup,0,1
16.04,Nautilus,sup,1,0
16.04,Ornn,top,0,1
16.04,Rumble,top,1,0
16.04,Ryze,mid,1,0
16.04,Varus,bot,1,0
16.04,Viktor,mid,1,0
16.04,Xin Zhao,jng,1,0
16.04,Yunara,bot,1,0
16.05,Orianna,mid,1,3
16.05,Zed,mid,0,4
16.05,Ashe,bot,2,0
16.05,Gwen,top,1,1
16.05,Jarvan IV,jng,1,1
16.05,Neeko,sup,0,2
16.05,Pantheon,jng,1,1
16.05,Rumble,top,0,2
16.05,Seraphine,sup,2,0
16.05,Varus,bot,2,0
16.05,Ahri,mid,0,1
16.05,Akali,mid,1,0
16.05,Aurora,top,1,0
16.05,Bard,sup,1,0
16.05,Ezreal,bot,0,1
16.05,Hwei,mid,1,0
16.05,Lulu,sup,0,1
16.05,Naafiri,jng,1,0
16.05,Nautilus,sup,1,0
16.05,Poppy,jng,1,0
16.05,Renekton,top,1,0
16.05,Ryze,mid,0,1
16.05,Sion,top,1,0
16.05,Sylas,mid,0,1
16.05,Taliyah,mid,1,0
16.05,Trundle,jng,0,1
16.06,Akali,mid,0,4
16.06,Ryze,mid,1,3
16.06,Varus,bot,0,3
16.06,Ashe,bot,0,2
16.06,Malphite,jng,1,1
16.06,Mel,mid,0,2
16.06,Rumble,top,2,0
16.06,Sion,top,1,1
16.06,Vi,jng,0,2
16.06,Viktor,mid,1,1
16.06,Wukong,jng,1,1
16.06,Xin Zhao,jng,2,0
16.06,Zaahen,top,1,1
16.06,Aatrox,top,1,0
16.06,Ahri,mid,1,0
16.06,Bard,sup,1,0
16.06,Caitlyn,bot,0,1
16.06,Ezreal,bot,1,0
16.06,Jhin,bot,1,0
16.06,Kai'Sa,bot,1,0
16.06,LeBlanc,mid,0,1
16.06,Lucian,bot,1,0
16.06,Lulu,sup,1,0
16.06,Nami,sup,1,0
16.06,Nautilus,sup,1,0
16.06,Neeko,mid,1,0
16.06,Neeko,sup,1,0
16.06,Orianna,mid,1,0
16.06,Syndra,mid,0,1
16.06,Taliyah,mid,0,1
16.06,Trundle,jng,1,0
16.06,Yunara,bot,1,0
16.07,Ryze,mid,1,1
16.07,Varus,bot,0,2
16.07,Anivia,mid,0,1
16.07,Corki,bot,0,1
16.07,Ezreal,bot,1,0
16.07,Gnar,top,1,0
16.07,Hwei,mid,1,0
16.07,Jarvan IV,jng,1,0
16.07,Jhin,bot,1,0
16.07,Nautilus,sup,1,0
16.07,Neeko,sup,1,0
16.07,Orianna,mid,0,1
16.07,Sion,top,1,0
16.07,Wukong,jng,1,0
16.07,Yunara,bot,0,1
16.07,Zed,mid,0,1
16.09,Seraphine,sup,0,3
16.09,Ezreal,bot,1,1
16.09,Karma,sup,0,2
16.09,Orianna,mid,1,1
16.09,Pantheon,jng,1,1
16.09,Ambessa,top,1,0
16.09,Annie,mid,1,0
16.09,Caitlyn,bot,0,1
16.09,Dr. Mundo,jng,0,1
16.09,Jarvan IV,jng,1,0
16.09,Jax,top,1,0
16.09,Jinx,bot,1,0
16.09,Milio,sup,0,1
16.09,Nautilus,sup,1,0
16.09,Neeko,sup,1,0
16.09,Nocturne,jng,0,1
16.09,Renekton,top,0,1
16.09,Ryze,mid,1,0
16.09,Sion,top,0,1
16.09,Thresh,sup,1,0
16.09,Varus,bot,1,0
16.09,Vayne,top,1,0
16.09,Vi,jng,1,0
16.09,Wukong,jng,0,1
