patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.02,Lulu,sup,1,2,3,0,1,1
16.02,Malphite,jng,0,3,2,0,2,2
16.02,Varus,bot,0,3,3,0,2,2
16.02,Yunara,bot,1,2,2,1,1,2
16.02,Akali,mid,1,1,2,1,1,2
16.02,Aphelios,bot,2,0,2,0,0,0
16.02,Neeko,sup,0,2,2,0,0,0
16.02,Renekton,top,2,0,2,1,0,1
16.02,Rumble,top,2,0,2,1,0,1
16.02,Ahri,mid,1,0,1,0,0,0
16.02,Azir,mid,0,1,1,0,1,1
16.02,Bard,sup,1,0,1,1,0,1
16.02,Corki,bot,0,1,1,0,1,1
16.02,Ezreal,bot,1,0,1,1,0,1
16.02,Jarvan IV,jng,1,0,1,1,0,1
16.02,Jayce,top,0,1,1,0,0,0
16.02,Karma,sup,1,0,1,1,0,1
16.02,Lucian,bot,0,1,1,0,1,1
16.02,Nautilus,sup,0,1,1,0,0,0
16.02,Nocturne,jng,1,0,1,1,0,1
16.02,Orianna,mid,1,0,1,1,0,1
16.02,Pantheon,jng,1,0,1,0,0,0
16.02,Renata Glasc,sup,1,0,1,0,0,0
16.02,Ryze,mid,1,0,1,0,0,0
16.02,Trundle,jng,0,1,1,0,0,0
16.02,Vi,jng,1,0,1,0,0,0
16.02,Xin Zhao,jng,0,1,1,0,0,0
16.03,Jayce,top,0,2,1,0,1,1
16.03,Karma,sup,0,2,1,0,1,1
16.03,Lulu,sup,1,1,1,0,0,0
16.03,Orianna,mid,0,2,1,0,1,1
16.03,Varus,bot,0,2,1,0,1,1
16.03,Anivia,mid,1,0,1,0,0,0
16.03,Blitzcrank,sup,0,1,1,0,0,0
16.03,Braum,sup,1,0,1,0,0,0
16.03,Cassiopeia,mid,1,0,1,0,0,0
16.03,Corki,bot,1,0,1,1,0,1
16.03,Gnar,top,0,1,1,0,0,0
16.03,Jarvan IV,jng,0,1,1,0,0,0
16.03,K'Sante,top,1,0,1,0,0,0
16.03,Nami,sup,0,1,1,0,1,1
16.03,Rell,sup,1,0,1,1,0,1
16.03,Rumble,top,1,0,1,1,0,1
16.03,Sion,top,1,0,1,0,0,0
16.03,Syndra,mid,0,1,1,0,0,0
16.03,Taliyah,mid,1,0,1,1,0,1
16.03,Trundle,jng,1,0,1,0,0,0
16.03,Vi,jng,1,0,1,1,0,1
16.03,Viktor,mid,0,1,1,0,0,0
16.03,Xin Zhao,jng,1,0,1,0,0,0
