patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.07,Jarvan IV,jng,0,5,2,0,2,2
16.07,Aatrox,jng,0,3,1,0,1,1
16.07,Zaahen,top,2,1,2,0,0,0
16.07,Akali,mid,0,2,1,0,1,1
16.07,Ambessa,top,0,2,2,0,1,1
16.07,Aurora,mid,1,1,2,1,0,1
16.07,Gnar,top,1,1,2,1,1,2
16.07,Karma,sup,1,1,2,1,0,1
16.07,Lulu,sup,2,0,2,0,0,0
16.07,Mel,mid,0,2,1,0,1,1
16.07,Nautilus,sup,0,2,1,0,1,1
16.07,Varus,bot,0,2,1,0,1,1
16.07,Aatrox,top,1,0,1,1,0,1
16.07,Anivia,mid,1,0,1,0,0,0
16.07,Aphelios,bot,1,0,1,0,0,0
16.07,Ashe,bot,1,0,1,1,0,1
16.07,Corki,bot,1,0,1,0,0,0
16.07,Dr. Mundo,jng,1,0,1,1,0,1
16.07,Ezreal,bot,1,0,1,1,0,1
16.07,Galio,mid,1,0,1,1,0,1
16.07,K'Sante,top,1,0,1,0,0,0
16.07,LeBlanc,mid,0,1,1,0,1,1
16.07,Nami,sup,1,0,1,0,0,0
16.07,Pantheon,jng,0,1,1,0,0,0
16.07,Ryze,mid,1,0,1,0,0,0
16.07,Sejuani,jng,1,0,1,0,0,0
16.07,Seraphine,sup,1,0,1,1,0,1
16.07,Shen,jng,1,0,1,0,0,0
16.07,Sylas,mid,1,0,1,0,0,0
16.07,Vi,jng,0,1,1,0,0,0
16.07,Wukong,jng,1,0,1,0,0,0
16.07,Xin Zhao,jng,1,0,1,1,0,1
16.07,Yunara,bot,1,0,1,0,0,0
16.08,Aatrox,jng,0,4,2,0,2,2
16.08,Ambessa,top,2,2,3,1,2,3
16.08,Wukong,jng,2,2,3,2,1,3
16.08,Zaahen,top,1,3,2,0,2,2
16.08,Jarvan IV,jng,1,2,2,0,1,1
16.08,LeBlanc,mid,1,2,2,1,1,2
16.08,Orianna,mid,1,2,3,0,1,1
16.08,Seraphine,sup,1,2,2,1,1,2
16.08,Akali,mid,2,0,2,1,0,1
16.08,Aurora,mid,1,1,2,1,1,2
16.08,Bard,sup,1,1,2,0,0,0
16.08,Ezreal,bot,2,0,2,1,0,1
16.08,Karma,sup,1,1,2,1,0,1
16.08,Renekton,top,1,1,2,0,0,0
16.08,Vi,jng,1,1,2,0,1,1
16.08,Aatrox,top,1,0,1,1,0,1
16.08,Ahri,mid,1,0,1,0,0,0
16.08,Aphelios,bot,1,0,1,0,0,0
16.08,Ashe,bot,1,0,1,1,0,1
16.08,Braum,sup,1,0,1,0,0,0
16.08,Caitlyn,bot,1,0,1,0,0,0
16.08,Gnar,top,1,0,1,1,0,1
16.08,Hwei,mid,0,1,1,0,0,0
16.08,Lucian,bot,1,0,1,1,0,1
16.08,Lulu,sup,1,0,1,0,0,0
16.08,Milio,sup,1,0,1,1,0,1
16.08,Nautilus,sup,0,1,1,0,0,0
16.08,Nocturne,jng,0,1,1,0,1,1
16.08,Pantheon,jng,0,1,1,0,1,1
16.08,Rell,sup,0,1,1,0,0,0
16.08,Sejuani,jng,1,0,1,0,0,0
16.08,Syndra,mid,0,1,1,0,0,0
16.08,Zaahen,jng,1,0,1,1,0,1
16.09,Aatrox,jng,0,4,2,0,2,2
16.09,Zaahen,top,1,3,2,0,2,2
16.09,Aurora,mid,1,2,2,1,1,2
16.09,Lucian,bot,1,2,2,1,1,2
16.09,Lulu,sup,1,1,1,0,1,1
16.09,Milio,sup,1,1,2,1,1,2
16.09,Orianna,mid,0,2,2,0,0,0
16.09,Xin Zhao,jng,2,0,2,2,0,2
16.09,Ambessa,top,1,0,1,0,0,0
16.09,Anivia,mid,0,1,1,0,0,0
16.09,Ezreal,bot,1,0,1,0,0,0
16.09,Gnar,top,0,1,1,0,1,1
16.09,Jarvan IV,jng,1,0,1,0,0,0
16.09,K'Sante,top,1,0,1,1,0,1
16.09,LeBlanc,mid,0,1,1,0,1,1
16.09,Mel,mid,1,0,1,1,0,1
16.09,Nautilus,sup,1,0,1,1,0,1
16.09,Neeko,sup,0,1,1,0,0,0
16.09,Ornn,top,1,0,1,1,0,1
16.09,Ryze,mid,1,0,1,0,0,0
16.09,Shaco,sup,1,0,1,0,0,0
16.09,Skarner,jng,1,0,1,0,0,0
16.09,Varus,bot,1,0,1,1,0,1
16.09,Viktor,mid,1,0,1,0,0,0
16.09,Yunara,bot,1,0,1,0,0,0
16.09,Zoe,mid,0,1,1,0,0,0
16.10,Jarvan IV,jng,0,2,1,0,1,1
16.10,Wukong,jng,0,2,1,0,1,1
16.10,Aatrox,top,1,0,1,0,0,0
16.10,K'Sante,top,1,0,1,1,0,1
16.10,LeBlanc,mid,1,0,1,1,0,1
16.10,Lucian,bot,1,0,1,1,0,1
16.10,Lulu,sup,1,0,1,0,0,0
16.10,Mel,mid,0,1,1,0,1,1
16.10,Milio,sup,1,0,1,1,0,1
16.10,Nautilus,sup,0,1,1,0,0,0
16.10,Orianna,mid,0,1,1,0,1,1
16.10,Skarner,jng,1,0,1,0,0,0
16.10,Syndra,mid,0,1,1,0,1,1
16.10,Tristana,bot,1,0,1,0,0,0
16.10,Viktor,mid,1,0,1,0,0,0
16.10,Xin Zhao,jng,1,0,1,1,0,1
16.10,Zaahen,top,0,1,1,0,0,0
16.10,Zeri,bot,0,1,1,0,0,0
