patch,champ,role,picks_vs,bans_vs
16.1,Cassiopeia,mid,3,0
16.1,Ambessa,top,2,0
16.1,Jhin,bot,2,0
16.1,K'Sante,top,2,0
16.1,Karma,sup,2,0
16.1,Miss Fortune,bot,2,0
16.1,Orianna,mid,2,0
16.1,Pantheon,jng,2,0
16.1,Rell,sup,2,0
16.1,Rumble,top,2,0
16.1,Xin Zhao,jng,2,0
16.1,Annie,mid,1,0
16.1,Ashe,bot,1,0
16.1,Bard,sup,1,0
16.1,Braum,sup,1,0
16.1,Caitlyn,bot,1,0
16.1,Corki,bot,1,0
16.1,Ezreal,bot,1,0
16.1,Jarvan IV,jng,1,0
16.1,Kennen,top,1,0
16.1,Lulu,sup,1,0
16.1,Mel,mid,1,0
16.1,Nami,sup,1,0
16.1,Neeko,sup,1,0
16.1,Neeko,jng,1,0
16.1,Nocturne,jng,1,0
16.1,Olaf,top,1,0
16.1,Rek'Sai,jng,1,0
16.1,Ryze,mid,1,0
16.1,Sion,top,1,0
16.1,Vi,jng,1,0
16.1,Viktor,mid,1,0
16.1,Zeri,bot,1,0
