patch,champ,role,picks_vs,bans_vs
16.01,Ambessa,top,0,1
16.01,Corki,bot,1,0
16.01,Gwen,top,0,1
16.01,Karma,sup,1,0
16.01,Malphite,jng,0,1
16.01,Nocturne,jng,0,1
16.01,Ornn,top,1,0
16.01,Pantheon,jng,1,0
16.01,Ryze,mid,1,0
16.01,Zaahen,top,0,1
16.02,Gwen,top,0,6
16.02,Neeko,sup,0,5
16.02,Jayce,top,0,4
16.02,Ambessa,top,0,3
16.02,Azir,mid,1,2
16.02,Braum,sup,1,2
16.02,Karma,sup,1,2
16.02,Varus,bot,0,3
16.02,Lucian,bot,2,0
16.02,Nautilus,sup,2,0
16.02,Sivir,bot,2,0
16.02,Syndra,mid,1,1
16.02,Wukong,jng,2,0
16.02,Amumu,jng,1,0
16.02,Anivia,mid,0,1
16.02,Aphelios,bot,1,0
16.02,Caitlyn,bot,1,0
16.02,Corki,bot,0,1
16.02,Diana,jng,0,1
16.02,Hwei,mid,1,0
16.02,Kindred,jng,1,0
16.02,Leona,sup,0,1
16.02,Lulu,sup,0,1
16.02,Naafiri,jng,1,0
16.02,Nami,sup,1,0
16.02,Orianna,mid,1,0
16.02,Ornn,top,1,0
16.02,Rakan,sup,1,0
16.02,Renekton,top,1,0
16.02,Rumble,top,1,0
16.02,Ryze,mid,1,0
16.02,Sett,top,1,0
16.02,Sion,top,1,0
16.02,Taliyah,mid,1,0
16.02,Taric,sup,1,0
16.02,Vel'Koz,mid,1,0
16.02,Vi,jng,1,0
16.02,Xayah,bot,1,0
16.02,Yone,mid,0,1
16.02,Zaahen,top,1,0
16.02,Zac,top,1,0
16.02,Zyra,jng,1,0
16.03,Akali,mid,0,4
16.03,Ambessa,top,0,4
16.03,Azir,mid,1,3
16.03,Naafiri,jng,0,4
16.03,Varus,bot,1,3
16.03,Corki,bot,0,3
16.03,Neeko,sup,1,2
16.03,Rumble,top,2,1
16.03,Ahri,mid,2,0
16.03,Nautilus,sup,2,0
16.03,Taliyah,mid,1,1
16.03,Xin Zhao,jng,1,1
16.03,Alistar,sup,1,0
16.03,Aphelios,bot,1,0
16.03,Ashe,bot,1,0
16.03,Aurora,mid,0,1
16.03,Cho'Gath,top,0,1
16.03,Diana,jng,0,1
16.03,Diana,mid,1,0
16.03,Dr. Mundo,jng,1,0
16.03,Ezreal,bot,1,0
16.03,Galio,mid,0,1
16.03,Gnar,top,1,0
16.03,Gwen,top,1,0
16.03,Ivern,jng,1,0
16.03,Jarvan IV,jng,1,0
16.03,Jhin,bot,1,0
16.03,Jinx,bot,1,0
16.03,Leona,sup,0,1
16.03,Lillia,jng,0,1
16.03,Lulu,sup,0,1
16.03,Malphite,jng,1,0
16.03,Mel,bot,1,0
16.03,Olaf,top,1,0
16.03,Orianna,sup,1,0
16.03,Ornn,top,0,1
16.03,Pantheon,jng,1,0
16.03,Poppy,jng,1,0
16.03,Qiyana,jng,0,1
16.03,Rakan,sup,1,0
16.03,Renekton,top,1,0
16.03,Renekton,mid,1,0
16.03,Ryze,mid,0,1
16.03,Seraphine,sup,1,0
16.03,Singed,top,1,0
16.03,Sion,top,1,0
16.03,Sivir,bot,1,0
16.03,Sylas,mid,0,1
16.03,Thresh,sup,1,0
16.03,Tristana,mid,1,0
16.03,Vi,jng,1,0
16.03,Vladimir,mid,1,0
16.03,Wukong,jng,0,1
16.07,Jarvan IV,jng,0,4
16.07,Varus,bot,0,4
16.07,Fiora,top,0,3
16.07,Nautilus,sup,0,3
16.07,Aurora,mid,1,1
16.07,Bard,sup,2,0
16.07,Gnar,top,2,0
16.07,Annie,mid,1,0
16.07,Ashe,bot,1,0
16.07,Bel'Veth,jng,1,0
16.07,Caitlyn,bot,1,0
16.07,Camille,top,1,0
16.07,Dr. Mundo,jng,1,0
16.07,Ezreal,bot,1,0
16.07,Jayce,top,1,0
16.07,Karma,sup,1,0
16.07,Nami,sup,0,1
16.07,Neeko,sup,0,1
16.07,Nocturne,jng,1,0
16.07,Orianna,mid,1,0
16.07,Pantheon,jng,1,0
16.07,Ryze,mid,1,0
16.07,Seraphine,sup,1,0
16.07,Veigar,mid,0,1
16.07,Wukong,jng,0,1
16.07,Zaahen,top,0,1
16.07,Ziggs,bot,1,0
16.08,Fiora,top,0,5
16.08,Nautilus,sup,0,5
16.08,Jarvan IV,jng,0,4
16.08,Ashe,bot,1,2
16.08,Leona,sup,0,3
16.08,Orianna,mid,2,1
16.08,Gnar,top,2,0
16.08,Nami,sup,2,0
16.08,Rumble,top,2,0
16.08,Seraphine,sup,2,0
16.08,Vi,jng,0,2
16.08,Yunara,bot,2,0
16.08,Ambessa,jng,1,0
16.08,Amumu,jng,1,0
16.08,Anivia,mid,1,0
16.08,Aurora,mid,1,0
16.08,Azir,mid,1,0
16.08,Bard,sup,0,1
16.08,Caitlyn,bot,1,0
16.08,Galio,mid,1,0
16.08,Hwei,mid,0,1
16.08,K'Sante,top,1,0
16.08,Lucian,bot,1,0
16.08,Lulu,sup,1,0
16.08,Neeko,sup,1,0
16.08,Nocturne,jng,1,0
16.08,Rell,sup,0,1
16.08,Renekton,top,1,0
16.08,Skarner,jng,1,0
16.08,Smolder,bot,1,0
16.08,Syndra,mid,0,1
16.08,Varus,bot,0,1
16.08,Viego,jng,0,1
16.08,Wukong,jng,1,0
16.08,Xin Zhao,jng,0,1
16.08,Zaahen,top,0,1
16.08,Zaahen,jng,1,0
16.1,Jarvan IV,jng,0,5
16.1,Ahri,mid,1,3
16.1,Ashe,bot,1,3
16.1,Fiora,top,0,4
16.1,Ezreal,bot,1,2
16.1,Lulu,sup,2,1
16.1,Nautilus,sup,1,2
16.1,Sion,top,2,1
16.1,Wukong,jng,1,2
16.1,Xin Zhao,jng,2,1
16.1,Yunara,bot,3,0
16.1,K'Sante,top,2,0
16.1,Karma,sup,0,2
16.1,Nocturne,jng,0,2
16.1,Orianna,mid,1,1
16.1,Renekton,top,1,1
16.1,Trundle,jng,2,0
16.1,Varus,bot,0,2
16.1,Vi,jng,2,0
16.1,Aatrox,top,1,0
16.1,Akali,mid,0,1
16.1,Ambessa,top,1,0
16.1,Annie,mid,0,1
16.1,Braum,sup,0,1
16.1,Cassiopeia,mid,1,0
16.1,Elise,sup,1,0
16.1,Galio,mid,0,1
16.1,Hwei,mid,0,1
16.1,Jhin,bot,1,0
16.1,Lux,mid,1,0
16.1,Miss Fortune,bot,1,0
16.1,Morgana,mid,1,0
16.1,Neeko,sup,0,1
16.1,Pantheon,jng,1,0
16.1,Rakan,sup,1,0
16.1,Rumble,sup,1,0
16.1,Seraphine,mid,1,0
16.1,Seraphine,sup,1,0
16.1,Singed,top,1,0
16.1,Syndra,mid,0,1
16.1,Taliyah,mid,1,0
16.1,Xerath,mid,1,0
16.1,Yuumi,sup,1,0
16.1,Zaahen,top,0,1
16.1,Zeri,bot,1,0
