patch,champ,role,picks_vs,bans_vs
16.01,Jayce,top,0,2
16.01,Rumble,top,1,1
16.01,Varus,bot,1,1
16.01,Alistar,sup,1,0
16.01,Aurora,top,1,0
16.01,Azir,mid,1,0
16.01,Bard,sup,0,1
16.01,Braum,sup,0,1
16.01,Caitlyn,bot,1,0
16.01,Cassiopeia,mid,1,0
16.01,Corki,bot,1,0
16.01,Galio,mid,0,1
16.01,Gnar,top,1,0
16.01,Jarvan IV,jng,0,1
16.01,K'Sante,top,0,1
16.01,Karma,sup,1,0
16.01,Nautilus,sup,0,1
16.01,Neeko,sup,1,0
16.01,Orianna,mid,0,1
16.01,Pantheon,jng,0,1
16.01,Poppy,sup,0,1
16.01,Sion,top,0,1
16.01,Taliyah,mid,1,0
16.01,Vi,jng,1,0
16.01,Wukong,jng,1,0
16.01,Xin Zhao,jng,1,0
16.01,Yunara,bot,0,1
16.02,Jayce,top,0,4
16.02,K'Sante,top,4,0
16.02,Orianna,mid,2,2
16.02,Varus,bot,0,4
16.02,Yunara,bot,2,2
16.02,Azir,mid,1,2
16.02,Caitlyn,bot,3,0
16.02,Rakan,sup,0,3
16.02,Taliyah,mid,1,2
16.02,Elise,sup,2,0
16.02,Kai'Sa,bot,0,2
16.02,Nami,sup,1,1
16.02,Pantheon,jng,1,1
16.02,Rumble,top,0,2
16.02,Ryze,mid,2,0
16.02,Xin Zhao,jng,2,0
16.02,Alistar,sup,0,1
16.02,Ambessa,top,0,1
16.02,Aphelios,bot,1,0
16.02,Bard,sup,1,0
16.02,Braum,sup,1,0
16.02,Dr. Mundo,jng,1,0
16.02,Jarvan IV,jng,1,0
16.02,Jhin,bot,0,1
16.02,Neeko,sup,0,1
16.02,Poppy,top,1,0
16.02,Poppy,sup,0,1
16.02,Sion,top,1,0
16.02,Thresh,sup,1,0
16.02,Vi,jng,1,0
16.03,Rumble,top,3,7
16.03,Vi,jng,1,6
16.03,Nautilus,sup,3,3
16.03,Azir,mid,2,3
16.03,Jarvan IV,jng,2,3
16.03,Nami,sup,0,5
16.03,Pantheon,jng,3,2
16.03,Varus,bot,0,5
16.03,K'Sante,top,2,2
16.03,Sion,top,2,2
16.03,Taliyah,mid,1,3
16.03,Ahri,mid,2,1
16.03,Bard,sup,3,0
16.03,Caitlyn,bot,1,2
16.03,Corki,bot,3,0
16.03,Gwen,top,0,3
16.03,Kai'Sa,bot,0,3
16.03,Karma,sup,1,2
16.03,Neeko,sup,2,1
16.03,Nocturne,jng,0,3
16.03,Orianna,mid,2,1
16.03,Ryze,mid,2,1
16.03,Yunara,bot,2,1
16.03,Aphelios,bot,0,2
16.03,Ashe,bot,2,0
16.03,Dr. Mundo,jng,2,0
16.03,Ezreal,bot,1,1
16.03,Galio,mid,1,1
16.03,Gnar,top,2,0
16.03,Jayce,top,2,0
16.03,Wukong,jng,2,0
16.03,Aatrox,top,1,0
16.03,Akali,top,1,0
16.03,Alistar,sup,1,0
16.03,Anivia,mid,0,1
16.03,Cassiopeia,mid,0,1
16.03,Elise,sup,0,1
16.03,Jhin,bot,1,0
16.03,Jinx,bot,1,0
16.03,Kalista,bot,1,0
16.03,Kha'Zix,jng,1,0
16.03,Lulu,sup,1,0
16.03,Miss Fortune,bot,1,0
16.03,Naafiri,jng,0,1
16.03,Poppy,sup,0,1
16.03,Rell,sup,1,0
16.03,Renata Glasc,sup,1,0
16.03,Sejuani,jng,1,0
16.03,Seraphine,sup,1,0
16.03,Sivir,bot,1,0
16.03,Smolder,bot,0,1
16.03,Syndra,mid,1,0
16.03,Twisted Fate,mid,0,1
16.03,Varus,top,1,0
16.03,Viktor,mid,1,0
16.03,Xin Zhao,jng,1,0
16.03,Yone,mid,1,0
16.03,Zaahen,jng,1,0
16.03,Zoe,mid,1,0
16.06,Jarvan IV,jng,0,4
16.06,Nautilus,sup,1,3
16.06,Ryze,mid,0,3
16.06,Vi,jng,2,1
16.06,Ahri,mid,2,0
16.06,Aurora,mid,2,0
16.06,Gnar,top,1,1
16.06,Jhin,bot,2,0
16.06,Renekton,top,0,2
16.06,Seraphine,sup,0,2
16.06,Sion,top,2,0
16.06,Varus,bot,0,2
16.06,Xayah,bot,1,1
16.06,Aatrox,jng,1,0
16.06,Ambessa,jng,1,0
16.06,Azir,mid,1,0
16.06,Bard,sup,1,0
16.06,Ezreal,bot,0,1
16.06,K'Sante,top,1,0
16.06,Karma,sup,1,0
16.06,Lulu,sup,1,0
16.06,Mel,mid,0,1
16.06,Orianna,mid,0,1
16.06,Ornn,top,1,0
16.06,Pantheon,jng,0,1
16.06,Poppy,sup,0,1
16.06,Rakan,sup,1,0
16.06,Sivir,bot,1,0
16.06,Taliyah,mid,0,1
16.06,Xin Zhao,jng,1,0
16.06,Yunara,bot,1,0
16.07,Gnar,top,2,1
16.07,Jarvan IV,jng,1,2
16.07,Orianna,mid,1,2
16.07,Sion,top,0,3
16.07,Azir,mid,0,2
16.07,Corki,bot,2,0
16.07,Nami,sup,2,0
16.07,Nautilus,sup,1,1
16.07,Nocturne,jng,0,2
16.07,Pantheon,jng,2,0
16.07,Rumble,top,0,2
16.07,Ryze,mid,0,2
16.07,Sylas,mid,2,0
16.07,Aatrox,jng,1,0
16.07,Alistar,sup,1,0
16.07,Anivia,top,1,0
16.07,Aurora,mid,0,1
16.07,Caitlyn,bot,1,0
16.07,Ezreal,bot,1,0
16.07,Hwei,mid,1,0
16.07,Irelia,mid,1,0
16.07,Karma,sup,1,0
16.07,Neeko,sup,0,1
16.07,Ornn,top,1,0
16.07,Poppy,sup,0,1
16.07,Renekton,top,1,0
16.07,Seraphine,sup,0,1
16.07,Seraphine,bot,1,0
16.07,Syndra,mid,0,1
16.07,Vi,jng,0,1
16.07,Wukong,jng,1,0
16.07,Yorick,top,0,1
16.07,Zaahen,top,0,1
16.08,Karma,sup,0,3
16.08,Orianna,mid,1,2
16.08,Ryze,mid,0,3
16.08,Akali,mid,1,1
16.08,Ashe,bot,0,2
16.08,Azir,mid,1,1
16.08,Bard,sup,2,0
16.08,LeBlanc,mid,0,2
16.08,Nocturne,jng,1,1
16.08,Vi,jng,0,2
16.08,Xin Zhao,jng,2,0
16.08,Ahri,mid,0,1
16.08,Ambessa,top,1,0
16.08,Anivia,sup,1,0
16.08,Annie,mid,0,1
16.08,Aurora,mid,1,0
16.08,Corki,bot,1,0
16.08,Dr. Mundo,jng,1,0
16.08,Ezreal,bot,0,1
16.08,Galio,mid,0,1
16.08,Gnar,top,1,0
16.08,Jarvan IV,jng,0,1
16.08,Jax,top,1,0
16.08,Jhin,bot,1,0
16.08,Lucian,bot,1,0
16.08,Milio,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Pyke,sup,1,0
16.08,Rell,sup,0,1
16.08,Renekton,top,1,0
16.08,Syndra,mid,1,0
16.08,Taliyah,mid,0,1
16.08,Varus,bot,1,0
16.08,Vayne,top,1,0
16.08,Wukong,jng,1,0
16.08,Yunara,bot,1,0
16.09,Nautilus,sup,3,11
16.09,Orianna,mid,2,10
16.09,Varus,bot,1,10
16.09,Akali,mid,1,9
16.09,Pantheon,jng,3,4
16.09,Ryze,mid,3,4
16.09,Bard,sup,3,3
16.09,Caitlyn,bot,2,4
16.09,Ezreal,bot,4,2
16.09,Rumble,top,1,5
16.09,Vi,jng,2,4
16.09,Anivia,mid,2,3
16.09,Gnar,top,5,0
16.09,Jarvan IV,jng,1,4
16.09,Karma,sup,2,3
16.09,Nocturne,jng,3,2
16.09,Ahri,mid,3,1
16.09,Sion,top,2,2
16.09,Skarner,jng,4,0
16.09,Viktor,mid,3,1
16.09,Kalista,bot,0,3
16.09,Lucian,bot,3,0
16.09,Lulu,sup,2,1
16.09,Milio,sup,3,0
16.09,Seraphine,sup,3,0
16.09,Taliyah,mid,3,0
16.09,Annie,mid,1,1
16.09,Ashe,bot,2,0
16.09,Azir,mid,1,1
16.09,Cassiopeia,mid,1,1
16.09,K'Sante,top,2,0
16.09,LeBlanc,mid,1,1
16.09,Miss Fortune,bot,2,0
16.09,Nami,sup,2,0
16.09,Qiyana,jng,1,1
16.09,Rakan,sup,0,2
16.09,Renekton,top,2,0
16.09,Sivir,bot,2,0
16.09,Vayne,top,1,1
16.09,Wukong,jng,2,0
16.09,Xin Zhao,jng,0,2
16.09,Aphelios,bot,0,1
16.09,Aurora,mid,0,1
16.09,Aurora,top,1,0
16.09,Corki,bot,1,0
16.09,Dr. Mundo,jng,1,0
16.09,Galio,top,1,0
16.09,Gwen,top,0,1
16.09,Irelia,top,1,0
16.09,Janna,sup,1,0
16.09,Jax,jng,1,0
16.09,Jayce,top,1,0
16.09,Jhin,bot,1,0
16.09,Jinx,bot,0,1
16.09,Kai'Sa,bot,0,1
16.09,Kha'Zix,jng,1,0
16.09,Lee Sin,jng,1,0
16.09,Naafiri,top,1,0
16.09,Naafiri,jng,1,0
16.09,Neeko,sup,0,1
16.09,Ornn,top,1,0
16.09,Poppy,sup,0,1
16.09,Rell,sup,1,0
16.09,Smolder,bot,1,0
16.09,Syndra,mid,0,1
16.09,Trundle,jng,0,1
16.09,Varus,top,1,0
16.09,Vel'Koz,sup,1,0
16.09,Yone,top,1,0
16.09,Yunara,bot,1,0
16.09,Zeri,bot,1,0
16.1,Orianna,mid,0,3
16.1,Annie,mid,1,1
16.1,Azir,mid,0,2
16.1,Naafiri,jng,0,2
16.1,Nautilus,sup,0,2
16.1,Xin Zhao,jng,1,1
16.1,Anivia,top,1,0
16.1,Bard,sup,1,0
16.1,Ezreal,bot,1,0
16.1,Galio,mid,0,1
16.1,Gragas,top,1,0
16.1,Jayce,jng,1,0
16.1,Lucian,bot,1,0
16.1,Milio,sup,1,0
16.1,Miss Fortune,bot,1,0
16.1,Nami,sup,1,0
16.1,Nocturne,jng,0,1
16.1,Olaf,top,1,0
16.1,Ryze,mid,1,0
16.1,Sion,top,0,1
16.1,Syndra,mid,1,0
16.1,Varus,bot,0,1
16.1,Vi,jng,1,0
