patch,champ,role,picks_vs,bans_vs
16.04,Neeko,sup,1,8
16.04,Ryze,mid,3,3
16.04,Ambessa,top,1,4
16.04,Orianna,mid,1,4
16.04,Rumble,top,5,0
16.04,Ashe,bot,1,3
16.04,Bard,sup,2,2
16.04,Karma,sup,3,1
16.04,Jarvan IV,jng,0,3
16.04,Nami,sup,2,1
16.04,Varus,bot,1,2
16.04,Akali,mid,0,2
16.04,Aphelios,bot,1,1
16.04,Kai'Sa,bot,0,2
16.04,Lucian,bot,1,1
16.04,Lulu,sup,0,2
16.04,Pantheon,jng,1,1
16.04,Qiyana,jng,2,0
16.04,Taliyah,mid,2,0
16.04,Vi,jng,1,1
16.04,Yunara,bot,0,2
16.04,Aurora,mid,1,0
16.04,Braum,sup,0,1
16.04,Caitlyn,bot,1,0
16.04,Corki,bot,1,0
16.04,Dr. Mundo,jng,1,0
16.04,Elise,sup,0,1
16.04,Ezreal,bot,1,0
16.04,Galio,mid,1,0
16.04,Gnar,top,1,0
16.04,Gwen,top,0,1
16.04,Jax,top,0,1
16.04,Jhin,bot,1,0
16.04,Kennen,top,1,0
16.04,Mel,sup,1,0
16.04,Naafiri,jng,1,0
16.04,Nautilus,sup,0,1
16.04,Nocturne,jng,0,1
16.04,Poppy,sup,0,1
16.04,Renekton,top,1,0
16.04,Sivir,bot,1,0
16.04,Tahm Kench,top,1,0
16.04,Thresh,sup,1,0
16.04,Tristana,mid,1,0
16.04,Trundle,jng,1,0
16.04,Wukong,jng,1,0
16.04,Xin Zhao,jng,1,0
16.04,Yasuo,bot,1,0
16.04,Yone,mid,1,0
16.04,Zyra,jng,1,0
16.05,Ashe,bot,1,4
16.05,Sivir,bot,2,3
16.05,Karma,sup,0,4
16.05,Orianna,mid,1,3
16.05,Pantheon,jng,1,3
16.05,Poppy,sup,0,4
16.05,Ryze,mid,1,3
16.05,Seraphine,sup,2,2
16.05,Ahri,mid,2,1
16.05,Akali,mid,1,2
16.05,Aurora,mid,1,2
16.05,Elise,sup,0,3
16.05,Pyke,sup,0,3
16.05,Rumble,top,2,1
16.05,Vi,jng,2,1
16.05,Bard,sup,1,1
16.05,Ezreal,bot,2,0
16.05,Gnar,top,2,0
16.05,Jarvan IV,jng,1,1
16.05,K'Sante,top,1,1
16.05,Lee Sin,jng,2,0
16.05,Naafiri,jng,2,0
16.05,Nami,sup,2,0
16.05,Nocturne,jng,2,0
16.05,Rakan,sup,1,1
16.05,Rell,sup,0,2
16.05,Varus,bot,1,1
16.05,Yorick,top,2,0
16.05,Yunara,bot,2,0
16.05,Akali,top,1,0
16.05,Alistar,sup,0,1
16.05,Annie,mid,1,0
16.05,Aphelios,bot,0,1
16.05,Azir,mid,1,0
16.05,Braum,sup,1,0
16.05,Caitlyn,bot,1,0
16.05,Galio,sup,1,0
16.05,Gwen,top,1,0
16.05,Jayce,top,0,1
16.05,Kalista,bot,1,0
16.05,LeBlanc,mid,0,1
16.05,Lulu,sup,1,0
16.05,Mel,mid,1,0
16.05,Miss Fortune,bot,1,0
16.05,Nautilus,sup,0,1
16.05,Neeko,sup,1,0
16.05,Renekton,top,1,0
16.05,Sylas,mid,1,0
16.05,Taliyah,mid,1,0
16.05,Taric,sup,1,0
16.05,Wukong,jng,0,1
16.05,Xayah,bot,0,1
16.05,Xin Zhao,jng,1,0
16.05,Zaahen,top,1,0
16.05,Ziggs,bot,0,1
16.09,Rumble,top,2,5
16.09,Varus,bot,0,5
16.09,Jarvan IV,jng,1,3
16.09,Naafiri,jng,1,3
16.09,Pantheon,jng,0,4
16.09,Bard,sup,3,0
16.09,K'Sante,top,2,1
16.09,Karma,sup,0,3
16.09,Lee Sin,jng,2,1
16.09,Mel,mid,0,3
16.09,Annie,mid,2,0
16.09,Ashe,bot,1,1
16.09,Cassiopeia,mid,1,1
16.09,Corki,bot,2,0
16.09,Lucian,bot,0,2
16.09,Lulu,sup,2,0
16.09,Nautilus,sup,1,1
16.09,Neeko,sup,0,2
16.09,Nocturne,jng,2,0
16.09,Orianna,mid,0,2
16.09,Pyke,sup,0,2
16.09,Seraphine,sup,2,0
16.09,Vi,jng,1,1
16.09,Xin Zhao,jng,2,0
16.09,Ahri,mid,1,0
16.09,Akali,mid,1,0
16.09,Anivia,mid,0,1
16.09,Aphelios,bot,1,0
16.09,Aurora,mid,1,0
16.09,Elise,sup,0,1
16.09,Ezreal,bot,1,0
16.09,Galio,mid,1,0
16.09,Gnar,top,1,0
16.09,Gwen,top,1,0
16.09,Jayce,top,0,1
16.09,Kai'Sa,bot,1,0
16.09,Miss Fortune,bot,1,0
16.09,Poppy,sup,1,0
16.09,Shen,top,1,0
16.09,Sion,top,1,0
16.09,Sivir,bot,1,0
16.09,Sylas,mid,0,1
16.09,Taliyah,mid,0,1
16.09,Twisted Fate,mid,1,0
16.09,Viktor,mid,1,0
16.09,Yunara,bot,1,0
16.09,Zaahen,top,1,0
