patch,champ,role,picks_by,bans_vs
16.01,K'Sante,top,3,0
16.01,Qiyana,jng,1,2
16.01,Rakan,sup,2,1
16.01,Yunara,bot,2,1
16.01,Alistar,sup,1,1
16.01,Ambessa,jng,2,0
16.01,Neeko,sup,0,2
16.01,Varus,bot,1,1
16.01,Akali,mid,1,0
16.01,Azir,mid,1,0
16.01,Braum,sup,0,1
16.01,Jax,top,0,1
16.01,Pantheon,jng,0,1
16.01,Poppy,sup,0,1
16.01,Rumble,top,0,1
16.01,Sylas,mid,0,1
16.01,Taliyah,mid,1,0
16.01,Wukong,jng,0,1
16.02,Azir,mid,2,3
16.02,Alistar,sup,1,3
16.02,Sion,top,2,2
16.02,Aatrox,jng,3,0
16.02,Aphelios,bot,2,1
16.02,K'Sante,top,0,3
16.02,Yunara,bot,1,2
16.02,Bard,sup,1,1
16.02,Jayce,top,0,2
16.02,Malphite,jng,0,2
16.02,Nautilus,sup,1,1
16.02,Orianna,mid,0,2
16.02,Rakan,sup,1,1
16.02,Rumble,top,2,0
16.02,Ryze,mid,2,0
16.02,Taliyah,mid,2,0
16.02,Xin Zhao,jng,1,1
16.02,Akali,mid,0,1
16.02,Braum,sup,1,0
16.02,Corki,bot,1,0
16.02,Gnar,top,1,0
16.02,Gwen,top,0,1
16.02,Jayce,jng,1,0
16.02,Jhin,bot,1,0
16.02,Poppy,top,1,0
16.02,Poppy,sup,0,1
16.02,Pyke,sup,1,0
16.02,Qiyana,jng,0,1
16.02,Renekton,top,0,1
16.02,Sivir,bot,1,0
16.02,Varus,bot,0,1
16.02,Wukong,jng,1,0
16.03,Ambessa,top,0,8
16.03,Orianna,mid,1,5
16.03,Yunara,bot,0,6
16.03,Nautilus,sup,2,2
16.03,Rumble,top,2,2
16.03,Aphelios,bot,2,1
16.03,Azir,mid,3,0
16.03,Bard,sup,3,0
16.03,Corki,bot,3,0
16.03,Gnar,top,2,1
16.03,Sion,top,3,0
16.03,Varus,bot,1,2
16.03,Zaahen,top,0,3
16.03,Aatrox,jng,1,1
16.03,Ahri,mid,2,0
16.03,Caitlyn,bot,1,1
16.03,Dr. Mundo,jng,1,1
16.03,Neeko,sup,1,1
16.03,Pantheon,jng,1,1
16.03,Xin Zhao,jng,1,1
16.03,Aatrox,top,1,0
16.03,Ambessa,jng,1,0
16.03,Anivia,mid,1,0
16.03,Ezreal,bot,1,0
16.03,Jarvan IV,jng,1,0
16.03,Jhin,bot,0,1
16.03,K'Sante,top,1,0
16.03,Kai'Sa,bot,0,1
16.03,Karma,sup,0,1
16.03,Kennen,top,0,1
16.03,Leona,sup,1,0
16.03,Lulu,sup,1,0
16.03,Miss Fortune,bot,1,0
16.03,Naafiri,jng,0,1
16.03,Nami,sup,1,0
16.03,Qiyana,jng,1,0
16.03,Ryze,mid,1,0
16.03,Taliyah,mid,0,1
16.03,Thresh,sup,0,1
16.03,Trundle,jng,0,1
16.03,Wukong,jng,1,0
16.03,Xayah,bot,0,1
16.03,Yone,mid,1,0
16.03,Zaahen,jng,1,0
16.06,Sion,top,1,4
16.06,Azir,mid,1,3
16.06,Karma,sup,1,2
16.06,Orianna,mid,0,3
16.06,Aatrox,jng,2,0
16.06,Aurora,mid,2,0
16.06,Bard,sup,2,0
16.06,Corki,bot,1,1
16.06,K'Sante,top,1,1
16.06,Nautilus,sup,0,2
16.06,Pantheon,jng,0,2
16.06,Renekton,top,1,1
16.06,Ryze,mid,1,1
16.06,Sivir,bot,2,0
16.06,Varus,bot,0,2
16.06,Vi,jng,2,0
16.06,Ahri,mid,1,0
16.06,Alistar,sup,0,1
16.06,Ambessa,jng,1,0
16.06,Ambessa,top,0,1
16.06,Aphelios,bot,1,0
16.06,Braum,sup,0,1
16.06,Caitlyn,bot,0,1
16.06,Dr. Mundo,jng,1,0
16.06,Gnar,top,1,0
16.06,Jarvan IV,jng,0,1
16.06,Jhin,bot,1,0
16.06,Lulu,sup,1,0
16.06,Nami,sup,1,0
16.06,Ornn,top,1,0
16.06,Rakan,sup,1,0
16.06,Rek'Sai,top,1,0
16.06,Seraphine,sup,0,1
