patch,champ,role,picks_vs,bans_vs
16.02,Irelia,top,0,6
16.02,Orianna,mid,3,2
16.02,Varus,bot,4,1
16.02,Ambessa,top,1,2
16.02,Corki,bot,2,1
16.02,Fiora,top,1,2
16.02,Gwen,top,0,3
16.02,Sion,top,3,0
16.02,Alistar,sup,2,0
16.02,Braum,sup,0,2
16.02,Jayce,top,0,2
16.02,Leona,sup,1,1
16.02,Lulu,sup,2,0
16.02,Lux,sup,0,2
16.02,Qiyana,jng,1,1
16.02,Rumble,top,1,1
16.02,Ryze,mid,2,0
16.02,Yunara,bot,2,0
16.02,Zaahen,top,0,2
16.02,Aatrox,jng,0,1
16.02,Akali,mid,1,0
16.02,Aphelios,bot,0,1
16.02,Aurora,mid,1,0
16.02,Caitlyn,bot,0,1
16.02,Camille,top,0,1
16.02,Galio,mid,1,0
16.02,Ivern,jng,1,0
16.02,Jax,top,0,1
16.02,Jayce,jng,1,0
16.02,K'Sante,top,1,0
16.02,Lucian,bot,0,1
16.02,Nami,sup,0,1
16.02,Nautilus,sup,0,1
16.02,Neeko,sup,0,1
16.02,Pantheon,jng,1,0
16.02,Poppy,sup,0,1
16.02,Rakan,sup,0,1
16.02,Rell,sup,1,0
16.02,Renata Glasc,sup,1,0
16.02,Ryze,top,1,0
16.02,Sivir,bot,0,1
16.02,Trundle,jng,1,0
16.02,Viego,jng,1,0
16.02,Wukong,jng,1,0
16.02,Xin Zhao,jng,1,0
16.02,Zyra,sup,1,0
16.03,Orianna,mid,1,3
16.03,Rumble,top,2,2
16.03,Ambessa,top,0,3
16.03,Ezreal,bot,2,1
16.03,Irelia,top,0,3
16.03,Varus,bot,1,2
16.03,Azir,mid,2,0
16.03,Galio,mid,1,1
16.03,Gwen,top,0,2
16.03,Jarvan IV,jng,0,2
16.03,Jax,top,1,1
16.03,K'Sante,top,2,0
16.03,Qiyana,jng,2,0
16.03,Renekton,top,1,1
16.03,Ryze,mid,1,1
16.03,Alistar,sup,1,0
16.03,Anivia,mid,0,1
16.03,Bard,sup,1,0
16.03,Gnar,top,0,1
16.03,Gwen,jng,1,0
16.03,Kai'Sa,bot,0,1
16.03,Kalista,bot,1,0
16.03,Karma,sup,1,0
16.03,Lucian,bot,0,1
16.03,Lux,sup,0,1
16.03,Neeko,sup,0,1
16.03,Nocturne,jng,0,1
16.03,Poppy,sup,1,0
16.03,Rakan,sup,1,0
16.03,Rell,sup,1,0
16.03,Sivir,bot,1,0
16.03,Syndra,mid,1,0
16.03,Vi,jng,1,0
16.03,Viego,jng,1,0
16.03,Xin Zhao,jng,1,0
16.03,Yunara,bot,1,0
16.03,Zeri,bot,0,1
16.04,Irelia,top,0,4
16.04,Ryze,mid,2,1
16.04,Ahri,mid,2,0
16.04,Braum,sup,1,1
16.04,Ezreal,bot,1,1
16.04,Jax,top,0,2
16.04,Lux,sup,0,2
16.04,Nautilus,sup,2,0
16.04,Orianna,mid,0,2
16.04,Sion,top,2,0
16.04,Syndra,mid,0,2
16.04,Varus,bot,0,2
16.04,Xin Zhao,jng,2,0
16.04,Azir,mid,0,1
16.04,Caitlyn,bot,1,0
16.04,Camille,top,0,1
16.04,Elise,sup,1,0
16.04,Galio,mid,0,1
16.04,Graves,jng,1,0
16.04,Gwen,top,0,1
16.04,Illaoi,top,1,0
16.04,Jinx,bot,1,0
16.04,Karma,sup,0,1
16.04,LeBlanc,mid,0,1
16.04,Lulu,sup,1,0
16.04,Mel,mid,0,1
16.04,Neeko,sup,0,1
16.04,Nidalee,jng,1,0
16.04,Riven,top,1,0
16.04,Yone,mid,1,0
16.04,Yunara,bot,1,0
16.04,Zaahen,jng,1,0
16.04,Zaahen,top,1,0
16.04,Ziggs,bot,1,0
16.05,Irelia,top,0,7
16.05,Varus,bot,0,4
16.05,Ashe,bot,1,2
16.05,Ezreal,bot,0,3
16.05,Gnar,top,1,2
