patch,champ,role,picks_by,bans_vs,series_presence
16.04,Aurora,mid,2,5,5
16.04,Ryze,mid,3,3,4
16.04,Varus,bot,4,2,5
16.04,Poppy,sup,1,4,4
16.04,Ahri,mid,0,4,2
16.04,Gwen,top,0,4,2
16.04,Orianna,mid,0,4,2
16.04,Rakan,sup,3,1,4
16.04,Rumble,top,3,1,4
16.04,Ashe,bot,1,2,3
16.04,Jarvan IV,jng,1,2,2
16.04,Lee Sin,jng,1,2,2
16.04,Neeko,sup,2,1,3
16.04,Pantheon,jng,2,1,3
16.04,Sylas,mid,1,2,2
16.04,Vi,jng,3,0,3
16.04,Ezreal,bot,1,1,2
16.04,K'Sante,top,2,0,2
16.04,Karma,sup,1,1,2
16.04,Lucian,bot,1,1,2
16.04,Nami,sup,1,1,2
16.04,Renekton,top,2,0,2
16.04,Taliyah,mid,1,1,2
16.04,Yunara,bot,0,2,1
16.04,Akali,mid,0,1,1
16.04,Ambessa,top,0,1,1
16.04,Bard,sup,1,0,1
16.04,Blitzcrank,sup,1,0,1
16.04,Braum,sup,0,1,1
16.04,Caitlyn,bot,1,0,1
16.04,Cassiopeia,mid,1,0,1
16.04,Corki,bot,1,0,1
16.04,Jax,top,1,0,1
16.04,Jhin,bot,0,1,1
16.04,Kennen,top,0,1,1
16.04,Leona,sup,0,1,1
16.04,Malphite,jng,0,1,1
16.04,Naafiri,jng,1,0,1
16.04,Nautilus,sup,0,1,1
16.04,Nocturne,jng,0,1,1
16.04,Ornn,top,1,0,1
16.04,Rell,sup,0,1,1
16.04,Seraphine,sup,1,0,1
16.04,Tahm Kench,top,1,0,1
16.04,Tristana,mid,1,0,1
16.04,Wukong,jng,1,0,1
16.04,Xayah,bot,1,0,1
16.04,Xin Zhao,jng,1,0,1
16.04,Yasuo,bot,1,0,1
16.04,Yone,mid,1,0,1
16.04,Zaahen,top,1,0,1
16.04,Zoe,mid,1,0,1
16.04,Zyra,jng,1,0,1
