patch,champ,role,picks_by,bans_vs
16.01,Ambessa,top,0,1
16.01,Bard,sup,1,0
16.01,Diana,jng,0,1
16.01,Ezreal,bot,1,0
16.01,Jayce,jng,1,0
16.01,K'Sante,top,0,1
16.01,Orianna,mid,1,0
16.01,Ryze,mid,0,1
16.01,Sion,top,1,0
16.01,Syndra,mid,0,1
16.02,Jayce,top,0,3
16.02,Orianna,mid,0,3
16.02,Ryze,mid,1,2
16.02,Aatrox,jng,1,1
16.02,Bard,sup,2,0
16.02,Ezreal,bot,1,1
16.02,Ambessa,jng,1,0
16.02,Aphelios,bot,1,0
16.02,Azir,mid,1,0
16.02,Caitlyn,bot,0,1
16.02,Jhin,bot,1,0
16.02,K'Sante,top,1,0
16.02,Karma,sup,0,1
16.02,Lulu,sup,0,1
16.02,Nautilus,sup,1,0
16.02,Pantheon,jng,1,0
16.02,Rumble,top,1,0
16.02,Sion,top,1,0
16.02,Sivir,bot,0,1
16.02,Taliyah,mid,1,0
16.02,Yunara,bot,0,1
16.03,Orianna,mid,0,5
16.03,Pantheon,jng,2,2
16.03,Ambessa,top,0,3
16.03,Renekton,top,2,1
16.03,Taliyah,mid,2,1
16.03,Vi,jng,1,2
16.03,Alistar,sup,1,1
16.03,Azir,mid,2,0
16.03,Nautilus,sup,2,0
16.03,Neeko,sup,2,0
16.03,Rumble,top,2,0
16.03,Ryze,mid,0,2
16.03,Sion,top,2,0
16.03,Sivir,bot,0,2
16.03,Varus,bot,1,1
16.03,Yunara,bot,1,1
16.03,Aatrox,jng,1,0
16.03,Ahri,mid,1,0
16.03,Caitlyn,bot,1,0
16.03,Cho'Gath,jng,1,0
16.03,Galio,mid,1,0
16.03,Gnar,top,0,1
16.03,Jayce,top,0,1
16.03,Jhin,bot,1,0
16.03,K'Sante,top,0,1
16.03,Malphite,jng,0,1
16.03,Mel,bot,1,0
16.03,Poppy,jng,1,0
16.03,Poppy,sup,0,1
16.03,Rakan,sup,1,0
16.03,Syndra,mid,0,1
16.03,Viktor,mid,0,1
16.03,Xayah,bot,1,0
16.04,Azir,mid,0,4
16.04,Orianna,mid,0,3
16.04,Varus,bot,0,3
16.04,Alistar,sup,1,1
16.04,Ambessa,top,1,1
16.04,Zaahen,top,0,2
16.04,Aatrox,jng,1,0
16.04,Aurora,mid,1,0
16.04,Darius,jng,1,0
16.04,Ezreal,bot,1,0
16.04,Gwen,top,0,1
16.04,Jayce,jng,1,0
16.04,Jhin,bot,0,1
16.04,Kai'Sa,bot,0,1
16.04,Lulu,sup,1,0
16.04,Mel,mid,0,1
16.04,Nautilus,sup,1,0
16.04,Neeko,sup,1,0
16.04,Renekton,top,1,0
16.04,Rumble,top,1,0
16.04,Ryze,mid,1,0
16.04,Sion,top,1,0
16.04,Sivir,bot,1,0
16.04,Syndra,mid,0,1
16.04,Taliyah,mid,1,0
16.04,Vayne,bot,1,0
16.04,Vi,jng,0,1
16.04,Xin Zhao,jng,1,0
16.04,Yunara,bot,1,0
16.04,Zoe,mid,1,0
16.05,Aatrox,jng,2,5
16.05,Orianna,mid,1,6
16.05,Ambessa,top,1,4
16.05,Nautilus,sup,2,3
16.05,Rumble,top,3,2
16.05,Ryze,mid,3,2
16.05,Azir,mid,2,2
16.05,Varus,bot,0,4
16.05,Bard,sup,2,1
16.05,Karma,sup,2,1
16.05,Taliyah,mid,1,2
16.05,Yunara,bot,3,0
16.05,Zaahen,jng,3,0
16.05,Ezreal,bot,1,1
16.05,Nocturne,jng,1,1
16.05,Renekton,top,2,0
16.05,Sion,top,1,1
16.05,Sivir,bot,2,0
16.05,Ahri,mid,0,1
16.05,Aurora,mid,1,0
16.05,Caitlyn,bot,0,1
16.05,Darius,jng,1,0
16.05,Galio,mid,1,0
16.05,Gwen,top,0,1
16.05,Jarvan IV,jng,1,0
16.05,Jax,top,1,0
16.05,Jhin,bot,1,0
16.05,Kennen,top,0,1
16.05,Lucian,bot,1,0
16.05,Lulu,sup,0,1
16.05,Nami,sup,1,0
16.05,Neeko,sup,0,1
16.05,Pantheon,jng,0,1
16.05,Poppy,sup,1,0
16.05,Poppy,top,1,0
16.05,Rakan,sup,1,0
16.05,Shen,jng,1,0
16.05,Vi,jng,0,1
16.05,Xayah,bot,1,0
16.05,Xin Zhao,jng,0,1
16.05,Zaahen,top,0,1
16.07,Orianna,mid,0,3
16.07,Ryze,mid,1,2
16.07,Yunara,bot,0,3
16.07,Aurora,mid,1,1
16.07,Bard,sup,1,1
16.07,Jayce,top,2,0
16.07,Jhin,bot,1,1
16.07,Karma,sup,2,0
16.07,Pantheon,jng,1,1
16.07,Rumble,top,1,1
16.07,Wukong,jng,0,2
16.07,Ahri,mid,0,1
16.07,Akali,mid,1,0
16.07,Ambessa,top,0,1
16.07,Aphelios,bot,1,0
16.07,Caitlyn,bot,0,1
16.07,Dr. Mundo,jng,1,0
16.07,Ezreal,bot,1,0
16.07,Gnar,top,1,0
16.07,Jarvan IV,jng,1,0
16.07,Lulu,sup,1,0
16.07,Nocturne,jng,1,0
16.07,Sivir,bot,0,1
16.07,Vi,jng,0,1
16.07,Ziggs,bot,1,0
16.07,Zoe,mid,1,0
16.08,Karma,sup,0,4
16.08,Ambessa,top,0,3
16.08,Orianna,mid,1,2
16.08,Aurora,mid,0,2
16.08,Gnar,top,1,1
16.08,Nocturne,jng,1,1
16.08,Wukong,jng,0,2
16.08,Yunara,bot,0,2
16.08,Aatrox,jng,1,0
16.08,Anivia,mid,1,0
16.08,Ashe,bot,1,0
16.08,Azir,mid,1,0
16.08,Bard,sup,1,0
16.08,Ezreal,bot,1,0
16.08,Jayce,top,1,0
16.08,Lucian,bot,1,0
16.08,Mel,mid,0,1
16.08,Milio,sup,1,0
16.08,Naafiri,jng,0,1
16.08,Nautilus,sup,1,0
16.08,Rakan,sup,0,1
16.08,Rell,sup,1,0
16.08,Rumble,top,1,0
16.08,Ryze,mid,1,0
16.08,Taliyah,bot,1,0
16.08,Varus,top,1,0
16.08,Vi,jng,1,0
16.08,Zaahen,jng,1,0
16.09,Orianna,mid,0,3
16.09,Karma,sup,0,2
16.09,Vayne,top,0,2
16.09,Aatrox,top,1,0
16.09,Aurora,mid,1,0
16.09,Azir,mid,0,1
16.09,Bard,sup,0,1
16.09,Ezreal,bot,1,0
16.09,Gnar,top,1,0
16.09,Gwen,top,0,1
16.09,Jarvan IV,jng,1,0
16.09,Jhin,bot,1,0
16.09,Lucian,bot,1,0
16.09,Milio,sup,1,0
16.09,Nami,sup,1,0
16.09,Nautilus,sup,0,1
16.09,Nocturne,jng,0,1
16.09,Rell,sup,1,0
16.09,Rumble,top,1,0
16.09,Ryze,mid,1,0
16.09,Sivir,bot,0,1
16.09,Skarner,jng,1,0
16.09,Varus,bot,0,1
16.09,Viktor,mid,1,0
16.09,Xayah,bot,0,1
16.09,Zaahen,jng,1,0
16.10,Bard,sup,1,5
16.10,Jayce,top,0,6
16.10,Karma,sup,0,4
16.10,Orianna,mid,1,3
16.10,Lucian,bot,0,3
16.10,Lulu,sup,1,2
16.10,Ryze,mid,1,2
16.10,Yunara,bot,1,2
16.10,Jarvan IV,jng,1,1
16.10,Pantheon,jng,2,0
16.10,Rumble,top,1,1
16.10,Wukong,jng,2,0
16.10,Yuumi,sup,2,0
16.10,Zeri,bot,2,0
16.10,Aatrox,top,1,0
16.10,Ahri,mid,1,0
16.10,Akali,mid,0,1
16.10,Annie,mid,1,0
16.10,Aurora,mid,0,1
16.10,Caitlyn,bot,0,1
16.10,Cassiopeia,mid,1,0
16.10,Dr. Mundo,jng,0,1
16.10,Ezreal,bot,1,0
16.10,Jhin,bot,1,0
16.10,K'Sante,top,1,0
16.10,Kai'Sa,bot,0,1
16.10,Lee Sin,jng,1,0
16.10,Nami,sup,1,0
16.10,Nautilus,sup,1,0
16.10,Renekton,top,0,1
16.10,Renekton,mid,1,0
16.10,Rumble,sup,1,0
16.10,Sion,top,1,0
16.10,Syndra,bot,1,0
16.10,Taliyah,mid,1,0
16.10,Tristana,top,1,0
16.10,Varus,top,1,0
16.10,Vayne,top,1,0
16.10,Vi,jng,1,0
16.10,Xayah,bot,1,0
