patch,champ,role,picks_by,bans_vs
16.01,Neeko,sup,2,5
16.01,Vi,jng,2,5
16.01,Varus,bot,3,3
16.01,Gnar,top,3,2
16.01,Jarvan IV,jng,3,2
16.01,Malphite,jng,0,5
16.01,Orianna,mid,1,3
16.01,Ahri,mid,2,1
16.01,Alistar,sup,2,1
16.01,Azir,mid,0,3
16.01,Bard,sup,1,2
16.01,Corki,bot,3,0
16.01,Leona,sup,2,1
16.01,Ryze,mid,3,0
16.01,Akali,mid,1,1
16.01,Ambessa,top,2,0
16.01,Aurora,mid,1,1
16.01,Kai'Sa,bot,2,0
16.01,Nautilus,sup,0,2
16.01,Nocturne,jng,2,0
16.01,Poppy,sup,0,2
16.01,Rek'Sai,top,2,0
16.01,Aphelios,bot,0,1
16.01,Galio,mid,1,0
16.01,Jhin,bot,1,0
16.01,Kennen,top,1,0
16.01,Lulu,sup,0,1
16.01,Pantheon,jng,1,0
16.01,Pyke,sup,0,1
16.01,Rakan,sup,1,0
16.01,Rell,sup,1,0
16.01,Renekton,top,0,1
16.01,Rumble,top,1,0
16.01,Sion,top,0,1
16.01,Wukong,jng,1,0
16.01,Ziggs,bot,0,1
16.02,Akali,mid,1,1
16.02,Alistar,sup,1,1
16.02,Jayce,top,1,1
16.02,Vi,jng,0,2
16.02,Yunara,bot,1,1
16.02,Aphelios,bot,0,1
16.02,Aurora,mid,0,1
16.02,Corki,bot,1,0
16.02,Gnar,top,1,0
16.02,Jarvan IV,jng,1,0
16.02,Jax,top,0,1
16.02,K'Sante,top,1,0
16.02,Kennen,top,0,1
16.02,Lulu,sup,1,0
16.02,Nami,sup,1,0
16.02,Neeko,sup,0,1
16.02,Orianna,mid,0,1
16.02,Poppy,sup,0,1
16.02,Renekton,top,0,1
16.02,Ryze,mid,1,0
16.02,Sejuani,jng,1,0
16.02,Varus,bot,0,1
16.02,Wukong,jng,1,0
16.02,Yone,mid,1,0
16.02,Ziggs,bot,1,0
16.03,Orianna,mid,1,9
16.03,Varus,bot,4,5
16.03,Vi,jng,1,8
16.03,Aurora,mid,1,7
16.03,Pantheon,jng,3,4
16.03,Ashe,bot,4,2
16.03,Gnar,top,3,3
16.03,Poppy,sup,0,6
16.03,Rumble,top,4,2
16.03,Akali,mid,3,2
16.03,Nami,sup,3,2
16.03,Neeko,sup,0,5
16.03,Seraphine,sup,4,1
16.03,Bard,sup,3,1
16.03,Corki,bot,4,0
16.03,Jayce,top,4,0
16.03,Kai'Sa,bot,2,2
16.03,LeBlanc,mid,0,4
16.03,Renekton,top,2,2
16.03,Ryze,mid,1,3
16.03,Ahri,mid,2,1
16.03,Karma,sup,2,1
16.03,Lee Sin,jng,2,1
16.03,Naafiri,jng,1,2
16.03,Nautilus,sup,1,2
16.03,Rakan,sup,1,2
16.03,Syndra,mid,2,1
16.03,Xin Zhao,jng,3,0
16.03,Yunara,bot,0,3
16.03,Anivia,mid,1,1
16.03,Cassiopeia,mid,1,1
16.03,Galio,mid,1,1
16.03,Gwen,top,1,1
16.03,Jarvan IV,jng,2,0
16.03,Jax,top,2,0
16.03,K'Sante,top,2,0
16.03,Kalista,bot,0,2
16.03,Lucian,bot,2,0
16.03,Lulu,sup,1,1
16.03,Miss Fortune,bot,1,1
16.03,Nocturne,jng,1,1
16.03,Sylas,mid,1,1
16.03,Twisted Fate,mid,2,0
16.03,Wukong,jng,2,0
16.03,Zaahen,top,0,2
16.03,Aatrox,jng,0,1
16.03,Annie,mid,1,0
16.03,Aurora,top,1,0
16.03,Azir,mid,1,0
16.03,Blitzcrank,sup,1,0
16.03,Caitlyn,bot,0,1
16.03,Dr. Mundo,jng,1,0
16.03,Jhin,bot,0,1
16.03,Jinx,bot,1,0
16.03,Kennen,top,0,1
16.03,Milio,sup,1,0
16.03,Pyke,sup,0,1
16.03,Qiyana,jng,0,1
16.03,Rek'Sai,top,1,0
16.03,Rell,sup,1,0
16.03,Renata Glasc,sup,1,0
16.03,Sejuani,jng,1,0
16.03,Taliyah,mid,0,1
16.03,Thresh,sup,1,0
16.03,Trundle,jng,1,0
16.03,Viego,jng,1,0
16.03,Xayah,bot,1,0
16.03,Yone,mid,1,0
16.03,Zaahen,jng,1,0
16.03,Zeri,bot,1,0
16.03,Zoe,mid,1,0
16.06,Varus,bot,1,3
16.06,Gnar,top,1,2
16.06,Karma,sup,0,3
16.06,Pantheon,jng,0,3
16.06,Rumble,top,0,3
16.06,Xin Zhao,jng,1,2
16.06,Ashe,bot,1,1
16.06,Bard,sup,1,1
16.06,Jarvan IV,jng,1,1
16.06,K'Sante,top,2,0
16.06,Lulu,sup,2,0
16.06,Nocturne,jng,2,0
16.06,Ryze,mid,2,0
