patch,champ,role,picks_by,bans_vs,series_presence
16.05,Seraphine,sup,2,3,3
16.05,Vi,jng,2,3,3
16.05,Xerath,mid,1,4,3
16.05,Orianna,mid,0,4,3
16.05,Ryze,mid,2,2,3
16.05,Aurora,mid,3,0,3
16.05,Neeko,sup,2,1,3
16.05,Pantheon,jng,0,3,2
16.05,Renekton,top,2,1,2
16.05,Varus,bot,2,1,2
16.05,Yunara,bot,3,0,3
16.05,Galio,mid,0,2,2
16.05,Gwen,top,1,1,2
16.05,Jarvan IV,jng,1,1,2
16.05,Jax,top,1,1,2
16.05,Karma,sup,1,1,2
16.05,Lee Sin,jng,0,2,1
16.05,Lulu,sup,2,0,2
16.05,Viktor,mid,1,1,2
16.05,Xin Zhao,jng,2,0,2
16.05,Ahri,mid,1,0,1
16.05,Akali,mid,0,1,1
16.05,Ambessa,top,1,0,1
16.05,Aphelios,bot,1,0,1
16.05,Ashe,bot,1,0,1
16.05,Gnar,top,1,0,1
16.05,Hwei,mid,0,1,1
16.05,Jhin,bot,1,0,1
16.05,K'Sante,top,1,0,1
16.05,Leona,sup,1,0,1
16.05,Mel,mid,0,1,1
16.05,Nocturne,jng,0,1,1
16.05,Ornn,top,0,1,1
16.05,Sion,top,1,0,1
16.05,Sivir,bot,0,1,1
16.05,Skarner,jng,1,0,1
16.05,Syndra,mid,0,1,1
16.05,Trundle,jng,1,0,1
16.05,Wukong,jng,1,0,1
16.05,Zaahen,top,0,1,1
16.05,Zeri,bot,0,1,1
16.06,Orianna,mid,1,7,6
16.06,Xerath,mid,1,6,5
16.06,Aurora,mid,3,3,5
16.06,Karma,sup,2,4,3
16.06,Rumble,top,2,4,5
16.06,Ryze,mid,1,5,4
16.06,Viktor,mid,3,3,5
16.06,Ashe,bot,2,3,4
16.06,Jarvan IV,jng,4,1,4
16.06,Xin Zhao,jng,2,3,5
16.06,Gnar,top,3,1,3
16.06,Lulu,sup,3,1,4
16.06,Neeko,sup,2,2,4
16.06,Varus,bot,2,2,3
16.06,Wukong,jng,3,1,4
16.06,Annie,mid,0,3,3
16.06,Ezreal,bot,2,1,3
16.06,Seraphine,sup,3,0,3
16.06,Yorick,top,1,2,3
16.06,Yunara,bot,3,0,3
16.06,Ambessa,top,1,1,2
16.06,Anivia,mid,1,1,2
16.06,Hwei,mid,2,0,2
16.06,Jayce,top,2,0,2
16.06,K'Sante,top,1,1,2
16.06,Nami,sup,0,2,1
16.06,Nautilus,sup,0,2,2
16.06,Olaf,jng,2,0,2
16.06,Pantheon,jng,1,1,2
16.06,Renekton,top,1,1,2
16.06,Sivir,bot,1,1,2
16.06,Vi,jng,0,2,2
16.06,Xayah,bot,2,0,2
16.06,Alistar,sup,1,0,1
16.06,Ambessa,jng,1,0,1
16.06,Aphelios,bot,1,0,1
16.06,Azir,mid,1,0,1
16.06,Bard,sup,1,0,1
16.06,Braum,sup,1,0,1
16.06,Caitlyn,bot,0,1,1
16.06,Corki,bot,0,1,1
16.06,Galio,mid,0,1,1
16.06,Gragas,top,1,0,1
16.06,Jhin,bot,1,0,1
16.06,LeBlanc,mid,1,0,1
16.06,Nocturne,jng,0,1,1
16.06,Poppy,sup,0,1,1
16.06,Rakan,sup,1,0,1
16.06,Sion,top,1,0,1
16.06,Smolder,bot,0,1,1
16.06,Zaahen,jng,1,0,1
16.06,Zaahen,top,1,0,1
16.07,Xerath,mid,0,9,4
16.07,Orianna,mid,0,8,6
16.07,Pantheon,jng,6,2,6
16.07,Anivia,mid,2,5,5
16.07,Karma,sup,0,7,4
16.07,Rumble,top,0,7,6
16.07,Ambessa,top,3,2,4
16.07,Annie,mid,4,1,4
16.07,Cassiopeia,mid,5,0,5
16.07,Ezreal,bot,5,0,5
16.07,Gnar,top,2,3,5
16.07,Jarvan IV,jng,3,2,5
16.07,Rakan,sup,5,0,5
16.07,Varus,bot,1,4,3
16.07,Xayah,bot,5,0,5
16.07,Xin Zhao,jng,3,2,5
16.07,Ahri,mid,3,1,4
16.07,Neeko,sup,4,0,4
16.07,Renekton,top,1,3,4
16.07,Seraphine,sup,1,3,3
16.07,Yunara,bot,3,1,3
16.07,Alistar,sup,2,1,3
16.07,Bard,sup,0,3,3
16.07,Jayce,top,3,0,3
16.07,Kalista,bot,3,0,3
16.07,Lulu,sup,2,1,3
16.07,Nautilus,sup,1,2,3
16.07,Nocturne,jng,0,3,3
16.07,Sion,top,3,0,3
16.07,Vi,jng,1,2,3
16.07,Aurora,mid,0,2,2
16.07,LeBlanc,mid,1,1,2
16.07,Lee Sin,jng,2,0,2
16.07,Renata Glasc,sup,2,0,2
16.07,Yorick,top,1,1,2
16.07,Zaahen,top,2,0,2
16.07,Akali,mid,0,1,1
16.07,Ashe,bot,0,1,1
16.07,Aurora,top,1,0,1
16.07,Caitlyn,bot,0,1,1
16.07,Corki,bot,0,1,1
16.07,Galio,mid,1,0,1
16.07,Hwei,mid,0,1,1
16.07,Kennen,top,0,1,1
16.07,Naafiri,jng,1,0,1
16.07,Nami,sup,0,1,1
16.07,Ryze,mid,0,1,1
16.07,Shen,jng,1,0,1
16.07,Sivir,bot,0,1,1
16.07,Vayne,top,1,0,1
16.07,Viktor,mid,1,0,1
16.08,Xerath,mid,0,10,5
16.08,Ezreal,bot,5,1,5
16.08,Karma,sup,2,4,4
16.08,Orianna,mid,2,4,5
16.08,Rumble,top,1,5,5
16.08,Pantheon,jng,3,2,4
16.08,Annie,mid,2,2,3
16.08,Jarvan IV,jng,1,3,3
16.08,Varus,bot,0,4,3
16.08,Xin Zhao,jng,3,1,3
16.08,Ambessa,top,3,0,3
16.08,Aurora,mid,3,0,3
16.08,Azir,mid,3,0,3
16.08,Gnar,top,2,1,3
16.08,Jayce,top,2,1,3
16.08,Nautilus,sup,2,1,3
16.08,Nocturne,jng,2,1,3
16.08,Rakan,sup,2,1,3
16.08,Yunara,bot,2,1,3
16.08,Ahri,mid,0,2,2
16.08,Bard,sup,1,1,2
16.08,Hwei,mid,0,2,2
16.08,Jhin,bot,2,0,2
16.08,Lucian,bot,1,1,2
16.08,Lulu,sup,2,0,2
16.08,Naafiri,jng,1,1,2
16.08,Ryze,mid,1,1,2
16.08,Seraphine,sup,0,2,1
16.08,Sion,top,2,0,2
16.08,Yorick,top,0,2,2
16.08,Alistar,sup,1,0,1
