patch,champ,role,picks_vs,bans_vs
16.02,Nautilus,sup,2,2
16.02,Orianna,mid,3,1
16.02,Ezreal,bot,2,1
16.02,Jayce,top,0,3
16.02,Rakan,sup,2,1
16.02,Ryze,mid,0,3
16.02,Taliyah,mid,2,1
16.02,Varus,bot,2,1
16.02,Akali,mid,0,2
16.02,Ashe,bot,1,1
16.02,Azir,mid,1,1
16.02,Braum,sup,1,1
16.02,K'Sante,top,2,0
16.02,Leona,sup,0,2
16.02,Neeko,sup,0,2
16.02,Sivir,bot,2,0
16.02,Vi,jng,2,0
16.02,Aatrox,top,1,0
16.02,Alistar,sup,1,0
16.02,Ambessa,jng,1,0
16.02,Ambessa,top,1,0
16.02,Aphelios,bot,0,1
16.02,Aurora,mid,0,1
16.02,Galio,mid,1,0
16.02,Gwen,top,0,1
16.02,Jarvan IV,jng,0,1
16.02,Jhin,bot,0,1
16.02,Kayle,top,1,0
16.02,Kha'Zix,jng,1,0
16.02,Lee Sin,jng,1,0
16.02,Lucian,bot,0,1
16.02,Lulu,sup,0,1
16.02,Nocturne,jng,1,0
16.02,Renata Glasc,sup,0,1
16.02,Rumble,top,1,0
16.02,Seraphine,sup,1,0
16.02,Sion,top,0,1
16.02,Sylas,mid,0,1
16.02,Syndra,mid,0,1
16.02,Tahm Kench,sup,0,1
16.02,Viego,jng,0,1
16.02,Xin Zhao,jng,1,0
16.02,Yone,top,1,0
16.03,Neeko,sup,1,3
16.03,Ryze,mid,0,4
16.03,Orianna,mid,0,3
16.03,Rumble,top,2,1
16.03,Wukong,jng,2,1
16.03,Xin Zhao,jng,1,2
16.03,Yunara,bot,1,2
16.03,Aphelios,bot,1,1
16.03,Aurora,mid,1,1
16.03,Azir,mid,1,1
16.03,Gwen,top,0,2
16.03,Lulu,sup,2,0
16.03,Nocturne,jng,0,2
16.03,Sion,top,1,1
16.03,Sivir,bot,2,0
16.03,Varus,bot,0,2
16.03,Aatrox,top,1,0
16.03,Ahri,mid,1,0
16.03,Alistar,sup,0,1
16.03,Ambessa,top,1,0
16.03,Bard,sup,1,0
16.03,Blitzcrank,sup,1,0
16.03,Corki,bot,1,0
16.03,Galio,mid,1,0
16.03,Hwei,mid,1,0
16.03,Jarvan IV,jng,1,0
16.03,Jhin,bot,1,0
16.03,K'Sante,top,1,0
16.03,Kai'Sa,bot,0,1
16.03,Kassadin,mid,1,0
16.03,Leona,sup,1,0
16.03,Nautilus,sup,0,1
16.03,Nidalee,jng,1,0
16.03,Ornn,top,1,0
16.03,Qiyana,jng,0,1
16.03,Rakan,sup,0,1
16.03,Rell,sup,1,0
16.03,Renekton,top,0,1
16.03,Syndra,mid,1,0
16.03,Thresh,sup,0,1
16.03,Vi,jng,0,1
16.03,Viego,jng,1,0
16.03,Zaahen,jng,1,0
16.03,Zaahen,top,0,1
16.03,Ziggs,bot,1,0
16.04,Neeko,sup,1,3
16.04,Varus,bot,1,3
16.04,Ezreal,bot,0,3
16.04,Xin Zhao,jng,1,2
16.04,Annie,mid,1,1
16.04,Ashe,bot,1,1
16.04,Miss Fortune,bot,1,1
16.04,Orianna,mid,1,1
16.04,Rumble,top,2,0
16.04,Ryze,mid,0,2
16.04,Aphelios,bot,1,0
16.04,Azir,mid,1,0
16.04,Bard,sup,1,0
16.04,Gnar,top,1,0
16.04,Hecarim,jng,1,0
16.04,Jarvan IV,jng,0,1
16.04,K'Sante,top,1,0
16.04,Kai'Sa,bot,1,0
16.04,Kha'Zix,jng,1,0
16.04,Lulu,sup,0,1
16.04,Nautilus,sup,1,0
16.04,Ornn,top,0,1
16.04,Pantheon,jng,1,0
16.04,Poppy,sup,0,1
16.04,Poppy,top,1,0
16.04,Rakan,sup,1,0
16.04,Seraphine,sup,1,0
16.04,Sion,mid,1,0
16.04,Sion,top,0,1
16.04,Sivir,bot,0,1
16.04,Sylas,mid,0,1
16.04,Taliyah,mid,1,0
16.04,Yasuo,mid,0,1
16.04,Zaahen,jng,1,0
16.05,Yunara,bot,1,4
16.05,Orianna,mid,0,4
16.05,Gwen,top,1,2
16.05,Ambessa,jng,2,0
