patch,champ,role,picks_by,bans_vs,series_presence
16.06,Ryze,mid,1,3,2
16.06,Gwen,top,0,3,2
16.06,Orianna,mid,0,3,2
16.06,Ashe,bot,2,0,2
16.06,Azir,mid,1,1,2
16.06,Bard,sup,1,1,2
16.06,Malphite,jng,2,0,2
16.06,Nocturne,jng,1,1,2
16.06,Rumble,top,2,0,2
16.06,Seraphine,sup,2,0,2
16.06,Varus,bot,1,1,1
16.06,Xin Zhao,jng,0,2,2
16.06,Zaahen,top,1,1,2
16.06,Aatrox,jng,0,1,1
16.06,Alistar,sup,1,0,1
16.06,Corki,bot,0,1,1
16.06,Ezreal,bot,1,0,1
16.06,Gangplank,top,0,1,1
16.06,Gnar,top,0,1,1
16.06,Jarvan IV,jng,1,0,1
16.06,Jax,top,1,0,1
16.06,Jayce,mid,1,0,1
16.06,Karma,sup,0,1,1
16.06,Lulu,sup,1,0,1
16.06,Mel,mid,1,0,1
16.06,Pantheon,jng,0,1,1
16.06,Sion,top,1,0,1
16.06,Syndra,mid,1,0,1
16.06,Trundle,jng,1,0,1
16.06,Vi,jng,0,1,1
16.06,Viktor,mid,0,1,1
16.06,Wukong,jng,0,1,1
16.06,Yunara,bot,1,0,1
16.07,Jayce,top,1,5,5
16.07,Ashe,bot,2,3,4
16.07,Jarvan IV,jng,3,2,3
16.07,Ryze,mid,2,3,4
16.07,Seraphine,sup,2,3,4
16.07,Orianna,mid,0,4,4
16.07,Gwen,top,0,3,3
16.07,Mel,mid,3,0,3
16.07,Nocturne,jng,0,3,2
16.07,Varus,bot,2,1,2
16.07,Wukong,jng,2,1,3
16.07,Alistar,sup,2,0,2
16.07,Aurora,mid,1,1,1
16.07,Azir,mid,1,1,2
16.07,Ezreal,bot,2,0,2
16.07,Jhin,bot,2,0,2
16.07,Ornn,top,1,1,2
16.07,Rek'Sai,top,2,0,2
16.07,Renekton,top,0,2,2
16.07,Sion,top,1,1,1
16.07,Xin Zhao,jng,2,0,2
16.07,Ambessa,top,0,1,1
16.07,Anivia,mid,1,0,1
16.07,Bard,sup,1,0,1
16.07,Gnar,top,1,0,1
16.07,Jax,top,1,0,1
16.07,K'Sante,top,0,1,1
16.07,Karma,sup,0,1,1
16.07,Malphite,jng,1,0,1
16.07,Nautilus,sup,0,1,1
16.07,Neeko,sup,1,0,1
16.07,Rell,sup,1,0,1
16.07,Rumble,top,1,0,1
16.07,Senna,sup,1,0,1
16.07,Vi,jng,0,1,1
16.07,Viktor,mid,0,1,1
16.08,Jayce,top,1,2,2
16.08,Ryze,mid,1,2,2
16.08,Bard,sup,0,2,1
16.08,Caitlyn,bot,1,1,2
16.08,Nocturne,jng,0,2,1
16.08,Orianna,mid,0,2,1
16.08,Pantheon,jng,2,0,2
16.08,Rumble,top,1,1,1
16.08,Ahri,mid,0,1,1
16.08,Ambessa,top,0,1,1
16.08,Anivia,mid,0,1,1
16.08,Anivia,sup,1,0,1
16.08,Aurora,mid,1,0,1
16.08,Jarvan IV,jng,0,1,1
16.08,Jhin,bot,1,0,1
16.08,K'Sante,top,1,0,1
16.08,Karma,sup,1,0,1
16.08,Nautilus,sup,0,1,1
16.08,Neeko,sup,0,1,1
16.08,Rakan,sup,1,0,1
16.08,Rell,sup,0,1,1
16.08,Senna,sup,1,0,1
16.08,Sion,top,1,0,1
16.08,Syndra,mid,1,0,1
16.08,Varus,bot,1,0,1
16.08,Vi,jng,1,0,1
16.08,Viktor,mid,1,0,1
16.08,Xayah,bot,1,0,1
16.08,Xin Zhao,jng,1,0,1
16.09,Varus,bot,0,5,3
16.09,Aurora,mid,2,1,2
16.09,Bard,sup,0,3,2
16.09,Rumble,top,2,1,2
16.09,Ryze,mid,1,2,2
16.09,Vi,jng,0,3,2
16.09,Caitlyn,bot,2,0,2
16.09,Jarvan IV,jng,1,1,2
16.09,Senna,bot,1,1,2
16.09,Seraphine,sup,1,1,2
16.09,Viktor,mid,1,1,2
16.09,Ashe,bot,1,0,1
16.09,Fiora,top,1,0,1
16.09,Gwen,top,0,1,1
16.09,Hwei,mid,1,0,1
16.09,Jayce,top,1,0,1
16.09,Karma,sup,1,0,1
16.09,Leona,sup,1,0,1
16.09,Morgana,sup,1,0,1
16.09,Naafiri,jng,1,0,1
16.09,Nidalee,sup,1,0,1
16.09,Nidalee,jng,0,1,1
16.09,Nocturne,jng,1,0,1
16.09,Orianna,mid,0,1,1
16.09,Pantheon,jng,1,0,1
16.09,Rakan,sup,0,1,1
16.09,Rek'Sai,top,1,0,1
16.09,Sivir,bot,0,1,1
16.09,Vayne,top,0,1,1
16.09,Wukong,jng,1,0,1
16.09,Yunara,bot,1,0,1
16.10,Bard,sup,0,2,1
16.10,Varus,bot,0,2,1
16.10,Alistar,sup,1,0,1
16.10,Ambessa,top,1,0,1
16.10,Ashe,bot,1,0,1
16.10,Ezreal,bot,0,1,1
16.10,Gwen,top,0,1,1
16.10,Naafiri,jng,0,1,1
16.10,Nautilus,sup,0,1,1
16.10,Orianna,mid,1,0,1
16.10,Rek'Sai,top,0,1,1
16.10,Rumble,top,1,0,1
16.10,Ryze,mid,1,0,1
16.10,Senna,bot,1,0,1
16.10,Seraphine,sup,1,0,1
16.10,Vi,jng,0,1,1
16.10,Wukong,jng,1,0,1
16.10,Xin Zhao,jng,1,0,1
