patch,champ,role,picks_vs,bans_vs
16.01,Varus,bot,2,2
16.01,Jayce,top,0,3
16.01,Miss Fortune,bot,1,2
16.01,Neeko,sup,0,3
16.01,Orianna,mid,1,2
16.01,Renekton,top,1,2
16.01,Ambessa,top,1,1
16.01,Jarvan IV,jng,2,0
16.01,K'Sante,top,2,0
16.01,LeBlanc,mid,0,2
16.01,Malphite,jng,0,2
16.01,Nocturne,jng,2,0
16.01,Rell,sup,1,1
16.01,Ryze,mid,2,0
16.01,Thresh,sup,0,2
16.01,Vi,jng,1,1
16.01,Yunara,bot,2,0
16.01,Ahri,mid,1,0
16.01,Akali,mid,0,1
16.01,Alistar,sup,0,1
16.01,Aphelios,bot,0,1
16.01,Azir,mid,1,0
16.01,Bard,sup,1,0
16.01,Braum,sup,1,0
16.01,Corki,bot,1,0
16.01,Draven,bot,1,0
16.01,Gnar,top,0,1
16.01,Jhin,bot,0,1
16.01,Kennen,top,0,1
16.01,Lulu,sup,1,0
16.01,Nautilus,sup,1,0
16.01,Poppy,sup,0,1
16.01,Qiyana,jng,0,1
16.01,Rakan,sup,1,0
16.01,Rek'Sai,top,1,0
16.01,Renata Glasc,sup,1,0
16.01,Rumble,top,0,1
16.01,Sion,top,1,0
16.01,Sivir,bot,0,1
16.01,Syndra,mid,1,0
16.01,Taliyah,mid,0,1
16.01,Udyr,top,1,0
16.01,Wukong,jng,1,0
16.01,Xayah,bot,0,1
16.01,Xin Zhao,jng,1,0
16.01,Zoe,mid,1,0
16.02,Rumble,top,1,6
16.02,Jayce,top,0,6
16.02,Yunara,bot,2,4
16.02,Jarvan IV,jng,3,2
16.02,Orianna,mid,0,5
16.02,Poppy,sup,1,4
16.02,Ryze,mid,4,1
16.02,Akali,mid,0,4
16.02,Aurora,mid,2,2
16.02,Corki,bot,4,0
16.02,Malphite,jng,0,4
16.02,Ambessa,top,1,2
16.02,Gnar,top,2,1
16.02,Gwen,top,2,1
16.02,LeBlanc,mid,0,3
16.02,Nami,sup,2,1
16.02,Trundle,jng,3,0
16.02,Vi,jng,2,1
16.02,Wukong,jng,2,1
16.02,Ahri,mid,1,1
16.02,Alistar,sup,0,2
16.02,Aphelios,bot,0,2
16.02,Azir,mid,2,0
16.02,K'Sante,top,2,0
16.02,Karma,sup,2,0
16.02,Leona,sup,1,1
16.02,Nautilus,sup,1,1
16.02,Neeko,sup,1,1
16.02,Qiyana,jng,1,1
16.02,Rek'Sai,top,1,1
16.02,Rell,sup,2,0
16.02,Renekton,top,2,0
16.02,Sylas,mid,1,1
16.02,Taliyah,mid,2,0
16.02,Varus,bot,0,2
16.02,Viktor,mid,2,0
16.02,Zaahen,top,0,2
16.02,Ziggs,bot,1,1
16.02,Ashe,bot,0,1
16.02,Bard,sup,1,0
16.02,Braum,sup,0,1
16.02,Caitlyn,bot,1,0
16.02,Cassiopeia,mid,0,1
16.02,Draven,bot,1,0
16.02,Ezreal,bot,1,0
16.02,Jhin,bot,1,0
16.02,Lucian,bot,1,0
16.02,Lulu,sup,1,0
16.02,Miss Fortune,bot,1,0
16.02,Naafiri,jng,0,1
16.02,Nidalee,top,1,0
16.02,Nocturne,jng,0,1
16.02,Ornn,top,1,0
16.02,Pantheon,jng,1,0
16.02,Poppy,jng,1,0
16.02,Rakan,sup,1,0
16.02,Renata Glasc,sup,1,0
16.02,Sion,top,1,0
16.02,Sivir,bot,1,0
16.02,Xin Zhao,jng,1,0
16.02,Yone,mid,0,1
16.07,Ashe,bot,1,3
16.07,Twisted Fate,mid,0,4
16.07,Karma,sup,0,3
16.07,Nocturne,jng,0,3
16.07,Ahri,mid,2,0
16.07,Aurora,mid,2,0
16.07,Gnar,top,2,0
16.07,Jarvan IV,jng,1,1
16.07,Lucian,bot,1,1
16.07,Mel,mid,0,2
16.07,Neeko,sup,1,1
16.07,Orianna,mid,0,2
16.07,Rumble,top,2,0
16.07,Varus,bot,0,2
16.07,Vi,jng,1,1
16.07,Xin Zhao,jng,1,1
16.07,Akali,mid,1,0
16.07,Alistar,sup,0,1
16.07,Aphelios,bot,1,0
16.07,Azir,mid,1,0
16.07,Corki,bot,1,0
16.07,Dr. Mundo,jng,1,0
16.07,Galio,mid,0,1
16.07,Jax,top,0,1
16.07,Jayce,top,1,0
16.07,K'Sante,top,1,0
16.07,LeBlanc,mid,0,1
16.07,Lee Sin,jng,1,0
16.07,Lulu,sup,1,0
16.07,Milio,sup,1,0
16.07,Naafiri,jng,1,0
16.07,Nami,sup,1,0
16.07,Pantheon,jng,0,1
16.07,Seraphine,sup,1,0
16.07,Sion,top,0,1
16.07,Sivir,bot,1,0
16.07,Thresh,sup,1,0
16.07,Yunara,bot,1,0
16.08,Nocturne,jng,0,2
16.08,Ambessa,top,0,1
16.08,Anivia,mid,1,0
16.08,Bard,sup,1,0
16.08,Ezreal,bot,1,0
16.08,Gnar,top,1,0
16.08,Jayce,top,0,1
16.08,K'Sante,top,1,0
16.08,Lee Sin,jng,1,0
16.08,Lissandra,mid,1,0
16.08,Lucian,bot,1,0
16.08,Milio,sup,1,0
16.08,Nami,sup,0,1
16.08,Nautilus,sup,0,1
16.08,Orianna,mid,0,1
16.08,Pantheon,jng,0,1
