patch,champ,role,picks_vs,bans_vs
16.01,Jayce,top,0,9
16.01,Orianna,mid,1,6
16.01,Malphite,jng,0,6
16.01,Rumble,top,2,4
16.01,Ryze,mid,0,6
16.01,Neeko,sup,2,3
16.01,Wukong,jng,3,2
16.01,Ambessa,top,3,1
16.01,Azir,mid,1,3
16.01,Nautilus,sup,4,0
16.01,Vi,jng,1,3
16.01,Akali,mid,2,1
16.01,Aphelios,bot,3,0
16.01,Braum,sup,2,1
16.01,Corki,bot,1,2
16.01,Gwen,top,2,1
16.01,Jarvan IV,jng,1,2
16.01,Naafiri,jng,1,2
16.01,Taliyah,mid,2,1
16.01,Varus,bot,1,2
16.01,Yunara,bot,3,0
16.01,Ahri,mid,1,1
16.01,Ambessa,jng,2,0
16.01,Cassiopeia,mid,0,2
16.01,Galio,mid,2,0
16.01,Kai'Sa,bot,2,0
16.01,Lulu,sup,1,1
16.01,Qiyana,jng,0,2
16.01,Rell,sup,2,0
16.01,Renekton,top,0,2
16.01,Sion,top,1,1
16.01,Aatrox,top,1,0
16.01,Alistar,sup,1,0
16.01,Aurora,top,1,0
16.01,Aurora,mid,1,0
16.01,Camille,top,1,0
16.01,Diana,jng,0,1
16.01,Dr. Mundo,jng,1,0
16.01,Ezreal,bot,1,0
16.01,Gnar,top,0,1
16.01,Jax,top,1,0
16.01,Jayce,jng,1,0
16.01,LeBlanc,mid,1,0
16.01,Leona,sup,1,0
16.01,Lucian,bot,1,0
16.01,Mel,mid,0,1
16.01,Miss Fortune,bot,1,0
16.01,Olaf,top,1,0
16.01,Poppy,sup,0,1
16.01,Rek'Sai,jng,1,0
16.01,Sejuani,jng,1,0
16.01,Sivir,bot,1,0
16.01,Sylas,mid,0,1
16.01,Syndra,mid,1,0
16.01,Thresh,sup,1,0
16.01,Trundle,jng,1,0
16.01,Viego,jng,0,1
16.01,Viktor,mid,1,0
16.01,Xin Zhao,jng,1,0
16.01,Zaahen,top,1,0
16.01,Zoe,mid,1,0
16.02,Ryze,mid,0,2
16.02,Akali,mid,1,0
16.02,Ambessa,top,1,0
16.02,Aphelios,bot,1,0
16.02,Gwen,top,1,0
16.02,Jarvan IV,jng,0,1
16.02,Jayce,top,0,1
16.02,Jayce,jng,1,0
16.02,K'Sante,top,0,1
16.02,LeBlanc,mid,1,0
16.02,Malphite,jng,0,1
16.02,Rakan,sup,1,0
16.02,Renekton,top,0,1
16.02,Rumble,top,0,1
16.02,Sion,top,0,1
16.02,Taliyah,mid,0,1
16.02,Thresh,sup,1,0
16.02,Wukong,jng,1,0
16.02,Xayah,bot,1,0
16.03,Orianna,mid,1,6
16.03,Ryze,mid,0,6
16.03,Azir,mid,0,3
16.03,Nautilus,sup,2,1
16.03,Sion,top,3,0
16.03,Yunara,bot,3,0
16.03,Ahri,mid,2,0
16.03,Ambessa,top,0,2
16.03,Gwen,top,0,2
16.03,Jarvan IV,jng,0,2
16.03,Jax,top,0,2
16.03,Neeko,sup,2,0
16.03,Syndra,mid,2,0
16.03,Varus,bot,1,1
16.03,Wukong,jng,1,1
16.03,Aatrox,top,1,0
16.03,Aurora,mid,1,0
16.03,Braum,sup,0,1
16.03,Caitlyn,bot,1,0
16.03,Dr. Mundo,jng,1,0
16.03,Galio,mid,0,1
16.03,Jayce,top,0,1
16.03,K'Sante,top,1,0
16.03,Karma,sup,1,0
16.03,Leona,sup,1,0
16.03,Lucian,bot,1,0
16.03,Malphite,jng,1,0
16.03,Miss Fortune,bot,1,0
16.03,Naafiri,jng,1,0
16.03,Poppy,sup,0,1
16.03,Pyke,sup,0,1
16.03,Rakan,sup,1,0
16.03,Rell,sup,0,1
16.03,Renekton,top,1,0
16.03,Rengar,jng,1,0
16.03,Rumble,top,0,1
16.03,Sylas,mid,1,0
16.03,Sylas,jng,1,0
16.03,Taliyah,mid,0,1
16.03,Xin Zhao,jng,1,0
16.03,Yone,mid,0,1
16.03,Zaahen,top,1,0
16.06,Lulu,sup,0,5
16.06,Gwen,top,0,4
16.06,Ryze,mid,1,3
16.06,Varus,bot,1,3
16.06,Zaahen,top,0,4
16.06,Ambessa,top,0,2
16.06,Dr. Mundo,jng,0,2
16.06,Kai'Sa,bot,1,1
16.06,Miss Fortune,bot,2,0
16.06,Nautilus,sup,1,1
16.06,Pantheon,jng,2,0
16.06,Viktor,mid,2,0
16.06,Wukong,jng,1,1
16.06,Xin Zhao,jng,1,1
16.06,Anivia,mid,1,0
16.06,Aphelios,bot,0,1
16.06,Ashe,bot,1,0
16.06,Aurelion Sol,mid,0,1
16.06,Braum,sup,1,0
16.06,Corki,bot,1,0
16.06,Ezreal,bot,1,0
16.06,Galio,mid,1,0
16.06,Gnar,top,1,0
16.06,Karma,sup,1,0
16.06,Kassadin,top,1,0
16.06,Kayle,top,1,0
16.06,LeBlanc,mid,1,0
16.06,Leona,sup,1,0
16.06,Naafiri,jng,1,0
16.06,Nami,sup,1,0
16.06,Nasus,top,1,0
16.06,Nocturne,jng,1,0
16.06,Orianna,mid,1,0
16.06,Rakan,sup,1,0
16.06,Renekton,top,0,1
16.06,Rumble,top,1,0
16.06,Sion,top,1,0
16.06,Syndra,mid,0,1
16.06,Thresh,sup,1,0
16.06,Trundle,jng,1,0
16.06,Vayne,top,1,0
16.06,Vex,mid,0,1
16.06,Vi,jng,0,1
16.06,Xayah,bot,0,1
16.06,Yunara,bot,0,1
16.07,Orianna,mid,0,11
16.07,Karma,sup,1,9
16.07,Dr. Mundo,jng,0,7
16.07,Ryze,mid,2,4
16.07,Gwen,top,1,4
16.07,Nami,sup,4,1
16.07,Pantheon,jng,3,2
16.07,Ashe,bot,1,3
16.07,Aurora,mid,4,0
16.07,Ezreal,bot,3,1
16.07,Jarvan IV,jng,3,1
16.07,Kai'Sa,bot,4,0
16.07,Nautilus,sup,2,2
16.07,Neeko,sup,1,3
16.07,Poppy,sup,0,4
16.07,Seraphine,sup,0,4
16.07,Akali,mid,3,0
16.07,Ambessa,top,3,0
16.07,Lulu,sup,2,1
16.07,Nocturne,jng,3,0
16.07,Sion,top,0,3
16.07,Yunara,bot,3,0
16.07,Ahri,mid,2,0
16.07,Alistar,sup,2,0
16.07,Aurelion Sol,mid,0,2
16.07,Caitlyn,bot,1,1
16.07,Corki,bot,2,0
16.07,Garen,top,1,1
16.07,Gnar,top,2,0
16.07,Jayce,top,2,0
16.07,Leona,sup,2,0
16.07,Mel,mid,0,2
16.07,Rell,sup,1,1
16.07,Sivir,bot,2,0
16.07,Tristana,bot,0,2
16.07,Wukong,jng,0,2
16.07,Xayah,bot,0,2
16.07,Xin Zhao,jng,2,0
16.07,Zaahen,top,1,1
16.07,Aatrox,top,1,0
16.07,Aatrox,jng,1,0
16.07,Anivia,mid,1,0
16.07,Azir,mid,1,0
16.07,Bard,sup,1,0
16.07,Fiora,top,1,0
16.07,Hwei,mid,0,1
16.07,Ivern,jng,1,0
16.07,K'Sante,top,1,0
16.07,Kled,top,1,0
16.07,LeBlanc,mid,1,0
16.07,Malphite,jng,0,1
16.07,Naafiri,jng,1,0
16.07,Ornn,top,0,1
16.07,Renekton,top,0,1
16.07,Rumble,top,1,0
16.07,Shen,top,0,1
16.07,Sylas,mid,1,0
16.07,Trundle,jng,1,0
16.07,Varus,bot,0,1
16.07,Viktor,mid,1,0
16.07,Yasuo,top,1,0
16.07,Zaahen,jng,1,0
16.09,Ezreal,bot,2,2
16.09,Jarvan IV,jng,1,3
16.09,Ashe,bot,0,3
16.09,Karma,sup,1,2
16.09,Nautilus,sup,1,2
16.09,Tristana,bot,0,3
16.09,Varus,bot,0,3
16.09,Xin Zhao,jng,1,2
16.09,Akali,mid,2,0
16.09,Caitlyn,bot,2,0
16.09,Corki,bot,1,1
16.09,Galio,mid,0,2
16.09,Gnar,top,0,2
16.09,Nami,sup,2,0
16.09,Orianna,mid,0,2
16.09,Rumble,top,1,1
16.09,Sivir,bot,1,1
16.09,Viktor,mid,1,1
16.09,Ahri,mid,1,0
16.09,Ambessa,top,1,0
16.09,Bard,sup,1,0
16.09,Dr. Mundo,jng,0,1
16.09,Jayce,top,1,0
16.09,K'Sante,top,1,0
16.09,Kai'Sa,bot,1,0
16.09,LeBlanc,mid,1,0
16.09,Lulu,sup,0,1
16.09,Malphite,top,1,0
16.09,Mel,mid,0,1
16.09,Naafiri,jng,1,0
16.09,Nocturne,jng,1,0
16.09,Qiyana,jng,1,0
16.09,Rakan,sup,1,0
16.09,Renekton,top,1,0
16.09,Seraphine,sup,0,1
16.09,Sion,top,1,0
16.09,Skarner,jng,1,0
16.09,Thresh,sup,1,0
16.09,Wukong,jng,1,0
16.09,Xayah,bot,0,1
16.09,Yone,mid,1,0
16.09,Zoe,mid,1,0
