patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Neeko,sup,2,3,5,2,3,5
16.01,Galio,mid,3,1,4,3,1,4
16.01,Sion,top,2,2,4,2,2,4
16.01,Wukong,jng,3,1,4,3,1,4
16.01,Zoe,mid,0,4,4,0,4,4
16.01,Ahri,mid,1,2,3,1,2,3
16.01,Ambessa,top,0,3,3,0,3,3
16.01,Dr. Mundo,jng,1,2,3,1,2,3
16.01,Jayce,top,0,3,3,0,3,3
16.01,Sivir,bot,2,1,3,2,1,3
16.01,Braum,sup,0,2,2,0,2,2
16.01,Corki,bot,2,0,2,2,0,2
16.01,Jarvan IV,jng,0,2,2,0,2,2
16.01,Kai'Sa,bot,1,1,2,1,1,2
16.01,Leona,sup,2,0,2,2,0,2
16.01,Malphite,jng,0,2,2,0,2,2
16.01,Rell,sup,1,1,2,1,1,2
16.01,Xayah,bot,0,2,2,0,2,2
16.01,Alistar,sup,0,1,1,0,1,1
16.01,Ambessa,jng,1,0,1,1,0,1
16.01,Aurora,top,1,0,1,1,0,1
16.01,Aurora,mid,1,0,1,1,0,1
16.01,Gnar,top,0,1,1,0,1,1
16.01,Jayce,jng,1,0,1,1,0,1
16.01,K'Sante,top,1,0,1,1,0,1
16.01,Nautilus,sup,1,0,1,1,0,1
16.01,Neeko,mid,1,0,1,1,0,1
16.01,Ornn,top,1,0,1,1,0,1
16.01,Poppy,sup,0,1,1,0,1,1
16.01,Qiyana,jng,1,0,1,1,0,1
16.01,Rakan,sup,1,0,1,1,0,1
16.01,Rumble,top,1,0,1,1,0,1
16.01,Syndra,mid,1,0,1,1,0,1
16.01,Varus,bot,1,0,1,1,0,1
16.01,Yorick,top,1,0,1,1,0,1
16.01,Yunara,bot,1,0,1,1,0,1
16.02,Sion,top,1,6,2,0,2,2
16.02,Bard,sup,1,5,2,1,1,2
16.02,Orianna,mid,2,4,2,0,2,2
16.02,Jayce,top,0,4,1,0,0,0
16.02,Varus,bot,0,4,1,0,1,1
16.02,Kled,top,2,1,2,0,0,0
16.02,Lulu,sup,0,3,2,0,0,0
16.02,Ornn,top,2,1,2,0,1,1
16.02,Sylas,mid,2,1,2,0,0,0
