patch,champ,role,picks_vs,bans_vs
16.01,Malphite,jng,0,2
16.01,Orianna,mid,0,2
16.01,Rakan,sup,1,1
16.01,Renekton,top,0,2
16.01,Varus,bot,2,0
16.01,Akali,mid,1,0
16.01,Alistar,sup,0,1
16.01,Ambessa,top,1,0
16.01,Bard,sup,1,0
16.01,Jarvan IV,jng,1,0
16.01,Jax,top,1,0
16.01,Jayce,top,0,1
16.01,K'Sante,top,0,1
16.01,Karma,sup,0,1
16.01,Neeko,sup,0,1
16.01,Poppy,sup,0,1
16.01,Qiyana,jng,1,0
16.01,Rell,sup,1,0
16.01,Rumble,top,0,1
16.01,Ryze,mid,1,0
16.01,Sion,top,1,0
16.01,Sivir,bot,1,0
16.01,Syndra,mid,1,0
16.01,Wukong,jng,1,0
16.01,Zaahen,top,0,1
16.02,Jayce,top,0,7
16.02,Malphite,jng,1,5
16.02,Varus,bot,0,6
16.02,Ezreal,bot,2,3
16.02,Neeko,sup,2,3
16.02,Azir,mid,1,3
16.02,Lucian,bot,0,4
16.02,Orianna,mid,1,3
16.02,Renekton,top,3,1
16.02,Rumble,top,2,2
16.02,Alistar,sup,2,1
16.02,Ryze,mid,2,1
16.02,Yunara,bot,2,1
16.02,Aatrox,jng,2,0
16.02,Ambessa,top,1,1
16.02,Aphelios,bot,1,1
16.02,Corki,bot,1,1
16.02,Jarvan IV,jng,2,0
16.02,Kai'Sa,bot,2,0
16.02,Karma,sup,0,2
16.02,Kennen,top,1,1
16.02,Leona,sup,2,0
16.02,Pantheon,jng,2,0
16.02,Sion,top,2,0
16.02,Syndra,mid,1,1
16.02,Taliyah,mid,2,0
16.02,Ahri,mid,1,0
16.02,Ambessa,jng,1,0
16.02,Aurora,mid,1,0
16.02,Bard,sup,0,1
16.02,Braum,sup,0,1
16.02,Galio,mid,0,1
16.02,Gwen,top,0,1
16.02,K'Sante,top,0,1
16.02,Kalista,bot,1,0
16.02,Milio,sup,1,0
16.02,Nami,sup,1,0
16.02,Nautilus,sup,0,1
16.02,Poppy,sup,0,1
16.02,Rakan,sup,1,0
16.02,Rell,sup,1,0
16.02,Renata Glasc,sup,1,0
16.02,Sejuani,jng,0,1
16.02,Sivir,bot,1,0
16.02,Sylas,mid,1,0
16.02,Vayne,top,1,0
16.02,Vi,jng,1,0
16.02,Wukong,jng,1,0
16.02,Xayah,bot,1,0
16.02,Xin Zhao,jng,1,0
16.02,Zaahen,top,1,0
16.02,Zoe,mid,1,0
16.06,Orianna,mid,0,2
16.06,Renekton,top,1,1
16.06,Ryze,mid,0,2
16.06,Aatrox,jng,1,0
16.06,Ahri,mid,0,1
16.06,Akali,mid,1,0
16.06,Gnar,top,1,0
16.06,Karma,sup,0,1
16.06,Lulu,sup,1,0
16.06,Mel,mid,0,1
16.06,Pantheon,jng,0,1
16.06,Sivir,bot,1,0
16.06,Syndra,mid,0,1
16.06,Twisted Fate,mid,1,0
16.06,Vi,jng,1,0
16.06,Yunara,bot,1,0
16.06,Yuumi,sup,1,0
16.07,Nocturne,jng,2,3
16.07,Azir,mid,0,4
16.07,Varus,bot,0,4
16.07,Ezreal,bot,3,0
16.07,LeBlanc,mid,1,2
16.07,Maokai,jng,0,3
16.07,Orianna,mid,0,3
16.07,Bard,sup,2,0
16.07,Gnar,top,2,0
16.07,K'Sante,top,2,0
16.07,Karma,sup,0,2
16.07,Nautilus,sup,0,2
16.07,Renekton,top,0,2
16.07,Ryze,mid,0,2
16.07,Xin Zhao,jng,1,1
16.07,Aatrox,jng,1,0
16.07,Ambessa,top,1,0
16.07,Anivia,sup,1,0
16.07,Annie,mid,1,0
16.07,Aurora,mid,1,0
16.07,Aurora,top,1,0
16.07,Caitlyn,bot,1,0
16.07,Corki,bot,1,0
16.07,Galio,mid,1,0
16.07,Ivern,jng,0,1
16.07,Jarvan IV,jng,1,0
16.07,Jhin,bot,1,0
16.07,Lulu,sup,0,1
16.07,Mel,mid,1,0
16.07,Miss Fortune,bot,1,0
16.07,Nami,sup,1,0
16.07,Neeko,sup,1,0
16.07,Pantheon,jng,1,0
16.07,Rakan,sup,1,0
16.07,Sejuani,jng,0,1
16.07,Seraphine,sup,1,0
16.07,Sion,top,0,1
16.07,Sivir,bot,0,1
16.07,Skarner,jng,0,1
16.07,Sylas,mid,1,0
16.07,Viktor,mid,1,0
16.07,Volibear,top,1,0
16.07,Yorick,top,0,1
16.07,Zaahen,jng,1,0
16.08,Caitlyn,bot,0,4
16.08,Orianna,mid,1,2
16.08,Pantheon,jng,0,3
16.08,Aatrox,jng,2,0
16.08,Ahri,mid,0,2
16.08,Akali,mid,0,2
16.08,Bard,sup,2,0
16.08,LeBlanc,mid,0,2
