patch,champ,role,picks_vs,bans_vs
16.02,Rumble,top,1,4
16.02,Jayce,top,0,4
16.02,Varus,bot,0,4
16.02,Ambessa,top,0,3
16.02,Braum,sup,3,0
16.02,Akali,mid,0,2
16.02,Ezreal,bot,1,1
16.02,Gnar,top,1,1
16.02,Malphite,jng,0,2
16.02,Pantheon,jng,1,1
16.02,Sion,top,2,0
16.02,Taliyah,mid,2,0
16.02,Aatrox,jng,0,1
16.02,Ambessa,jng,1,0
16.02,Aphelios,bot,1,0
16.02,Aurora,mid,1,0
16.02,Caitlyn,bot,1,0
16.02,Cassiopeia,mid,1,0
16.02,Corki,bot,1,0
16.02,Galio,mid,1,0
16.02,Gwen,top,0,1
16.02,Jax,top,0,1
16.02,Jayce,jng,1,0
16.02,K'Sante,top,1,0
16.02,Kai'Sa,bot,1,0
16.02,Leona,sup,0,1
16.02,Nautilus,sup,1,0
16.02,Neeko,sup,0,1
16.02,Poppy,sup,1,0
16.02,Rakan,sup,1,0
16.02,Rell,sup,0,1
16.02,Renekton,top,1,0
16.02,Ryze,mid,0,1
16.02,Syndra,mid,1,0
16.02,Vi,jng,1,0
16.02,Viego,jng,1,0
16.02,Xayah,bot,0,1
16.02,Xin Zhao,jng,1,0
16.02,Yunara,bot,1,0
16.03,Azir,mid,0,3
16.03,Ambessa,top,0,2
16.03,LeBlanc,mid,0,2
16.03,Neeko,sup,0,2
16.03,Ryze,mid,0,2
16.03,Vi,jng,0,2
16.03,Aatrox,jng,0,1
16.03,Ahri,mid,0,1
16.03,Akali,mid,1,0
16.03,Anivia,mid,1,0
16.03,Braum,sup,1,0
16.03,Hecarim,jng,1,0
16.03,Irelia,mid,1,0
16.03,Jayce,jng,1,0
16.03,Jhin,bot,1,0
16.03,K'Sante,top,0,1
16.03,Kai'Sa,bot,1,0
16.03,Karma,sup,1,0
16.03,Miss Fortune,bot,1,0
16.03,Nautilus,sup,1,0
16.03,Nidalee,jng,1,0
16.03,Ornn,top,0,1
16.03,Pantheon,jng,0,1
16.03,Pyke,sup,1,0
16.03,Renekton,top,1,0
16.03,Rumble,top,1,0
16.03,Syndra,mid,1,0
16.03,Taliyah,jng,1,0
16.03,Tryndamere,top,1,0
16.03,Vayne,top,1,0
16.03,Viktor,mid,0,1
16.03,Yunara,bot,1,0
16.03,Zoe,mid,0,1
16.04,Aurora,mid,2,2
16.04,Ryze,mid,0,4
16.04,Vi,jng,1,3
16.04,Wukong,jng,2,2
16.04,Jarvan IV,jng,1,2
16.04,Orianna,mid,0,3
16.04,Bard,sup,0,2
16.04,Corki,bot,2,0
16.04,Gnar,top,1,1
16.04,Jayce,top,0,2
16.04,Karma,sup,2,0
16.04,Renekton,top,2,0
16.04,Rumble,top,2,0
16.04,Taliyah,mid,1,1
16.04,Yunara,bot,1,1
16.04,Zaahen,top,0,2
16.04,Alistar,sup,0,1
16.04,Annie,mid,0,1
16.04,Ashe,bot,0,1
16.04,Azir,mid,1,0
16.04,Dr. Mundo,jng,0,1
16.04,Ezreal,bot,1,0
16.04,Jayce,mid,1,0
16.04,Jhin,bot,1,0
16.04,Kai'Sa,bot,1,0
16.04,LeBlanc,mid,0,1
16.04,Malphite,top,1,0
16.04,Mel,mid,0,1
16.04,Nami,sup,1,0
16.04,Nautilus,sup,1,0
16.04,Neeko,sup,1,0
16.04,Pantheon,jng,0,1
16.04,Poppy,sup,1,0
16.04,Qiyana,jng,1,0
16.04,Rell,sup,1,0
16.04,Sion,top,1,0
16.04,Sylas,mid,1,0
16.04,Syndra,mid,1,0
16.04,Taliyah,jng,1,0
16.04,Varus,bot,1,0
16.04,Viktor,mid,0,1
16.04,Xin Zhao,jng,0,1
16.04,Zaahen,jng,1,0
16.04,Zoe,mid,0,1
16.05,Ryze,mid,3,2
16.05,Ambessa,top,2,2
16.05,Caitlyn,bot,0,4
16.05,Yunara,bot,3,1
16.05,Ezreal,bot,2,1
16.05,Gnar,top,0,3
16.05,Karma,sup,1,2
16.05,Zoe,mid,0,3
16.05,Aurora,mid,0,2
16.05,Dr. Mundo,jng,1,1
16.05,Jarvan IV,jng,2,0
16.05,Naafiri,jng,0,2
16.05,Nautilus,sup,1,1
16.05,Neeko,sup,0,2
16.05,Orianna,mid,0,2
16.05,Ornn,top,2,0
16.05,Pantheon,jng,2,0
16.05,Xin Zhao,jng,0,2
16.05,Ahri,mid,1,0
16.05,Alistar,sup,1,0
16.05,Anivia,mid,1,0
16.05,Annie,mid,1,0
16.05,Bard,sup,1,0
16.05,Corki,bot,1,0
16.05,Gwen,top,0,1
16.05,K'Sante,top,1,0
16.05,Lulu,sup,1,0
16.05,Nocturne,jng,0,1
16.05,Rakan,sup,1,0
16.05,Renekton,top,0,1
16.05,Rumble,top,1,0
16.05,Sion,top,1,0
16.05,Soraka,sup,1,0
16.05,Taliyah,mid,1,0
16.05,Trundle,jng,1,0
16.05,Viego,jng,1,0
16.05,Viktor,mid,0,1
16.05,Xayah,bot,1,0
16.05,Zaahen,top,0,1
16.07,Jarvan IV,jng,0,3
16.07,Seraphine,sup,1,2
16.07,Syndra,mid,0,3
16.07,Dr. Mundo,jng,0,2
16.07,Karma,sup,1,1
16.07,Nami,sup,1,1
16.07,Nautilus,sup,0,2
16.07,Ryze,mid,1,1
16.07,Ahri,mid,1,0
16.07,Ambessa,top,0,1
16.07,Anivia,mid,0,1
16.07,Annie,mid,1,0
16.07,Ashe,bot,1,0
16.07,Camille,top,1,0
16.07,Cassiopeia,mid,1,0
16.07,Corki,bot,1,0
16.07,Gnar,top,1,0
16.07,K'Sante,top,1,0
16.07,Kai'Sa,bot,1,0
16.07,LeBlanc,mid,0,1
16.07,Mel,mid,0,1
16.07,Neeko,sup,0,1
16.07,Pantheon,jng,1,0
16.07,Poppy,sup,1,0
16.07,Sion,top,1,0
16.07,Vi,jng,1,0
16.07,Xin Zhao,jng,1,0
16.07,Yunara,bot,1,0
16.07,Zaahen,jng,1,0
16.08,Aurora,mid,0,3
16.08,Ezreal,bot,2,1
16.08,Gnar,top,0,3
16.08,Karma,sup,1,2
16.08,LeBlanc,mid,1,1
16.08,Orianna,mid,0,2
16.08,Rumble,top,0,2
16.08,Seraphine,sup,1,1
16.08,Aatrox,top,1,0
16.08,Ahri,mid,1,0
16.08,Akali,mid,1,0
16.08,Ambessa,top,1,0
16.08,Bard,sup,1,0
16.08,Caitlyn,bot,1,0
16.08,Gwen,top,0,1
16.08,Malphite,top,1,0
16.08,Nautilus,sup,0,1
16.08,Pantheon,jng,1,0
16.08,Rakan,sup,1,0
16.08,Renekton,top,0,1
16.08,Ryze,mid,1,0
16.08,Sion,top,1,0
16.08,Vi,jng,1,0
16.08,Viktor,mid,0,1
16.08,Wukong,jng,1,0
16.08,Xin Zhao,jng,0,1
16.08,Yunara,bot,1,0
16.08,Zaahen,jng,1,0
16.09,Ambessa,top,0,4
16.09,Wukong,jng,2,1
16.09,Ezreal,bot,2,0
16.09,Karma,sup,2,0
16.09,Naafiri,jng,0,2
16.09,Nocturne,jng,0,2
16.09,Rumble,top,0,2
16.09,Ahri,mid,0,1
16.09,Akali,mid,0,1
16.09,Anivia,mid,1,0
16.09,Annie,mid,1,0
16.09,Aurora,mid,0,1
16.09,Aurora,top,1,0
16.09,Bard,sup,1,0
16.09,Draven,bot,1,0
16.09,Galio,mid,0,1
16.09,Nami,sup,1,0
16.09,Nautilus,sup,0,1
16.09,Orianna,mid,0,1
16.09,Pantheon,jng,0,1
16.09,Renekton,top,1,0
16.09,Skarner,jng,1,0
16.09,Smolder,bot,1,0
16.09,Syndra,mid,1,0
16.09,Vi,jng,0,1
16.09,Vladimir,top,1,0
16.09,Xin Zhao,jng,1,0
16.09,Xin Zhao,mid,1,0
16.09,Zaahen,top,1,0
16.09,Zoe,mid,0,1
16.1,Aurora,mid,0,2
16.1,Vayne,top,0,2
16.1,Aatrox,top,1,0
16.1,Gnar,top,0,1
16.1,Jayce,top,0,1
16.1,K'Sante,top,1,0
16.1,Karma,sup,0,1
16.1,LeBlanc,mid,1,0
16.1,Lucian,bot,1,0
16.1,Lulu,sup,1,0
16.1,Milio,sup,1,0
16.1,Nautilus,sup,0,1
16.1,Orianna,mid,0,1
16.1,Skarner,jng,1,0
16.1,Tristana,bot,1,0
16.1,Viktor,mid,1,0
16.1,Xin Zhao,jng,1,0
16.1,Zaahen,top,0,1
