patch,champ,role,picks_vs,bans_vs
16.06,Karma,sup,1,2
16.06,Pantheon,jng,3,0
16.06,Anivia,mid,0,2
16.06,Caitlyn,bot,2,0
16.06,Cassiopeia,mid,0,2
16.06,Orianna,mid,0,2
16.06,Ryze,mid,2,0
16.06,Ambessa,top,1,0
16.06,Elise,sup,1,0
16.06,Jarvan IV,jng,0,1
16.06,K'Sante,top,1,0
16.06,Lulu,sup,1,0
16.06,Nautilus,sup,0,1
16.06,Renekton,top,0,1
16.06,Rumble,top,0,1
16.06,Seraphine,sup,0,1
16.06,Sion,top,1,0
16.06,Taliyah,mid,1,0
16.06,Varus,bot,0,1
16.06,Xin Zhao,jng,0,1
16.06,Yunara,bot,1,0
16.07,Varus,bot,0,3
16.07,Ashe,bot,1,1
16.07,Bard,sup,1,1
16.07,Ezreal,bot,2,0
16.07,Nocturne,jng,0,2
16.07,Ryze,mid,1,1
16.07,Ahri,mid,1,0
16.07,Ambessa,top,1,0
16.07,Ambessa,jng,1,0
16.07,Anivia,mid,0,1
16.07,Aurora,mid,0,1
16.07,Dr. Mundo,jng,0,1
16.07,Galio,mid,1,0
16.07,Karma,sup,1,0
16.07,Nami,sup,0,1
16.07,Olaf,jng,1,0
16.07,Orianna,mid,0,1
16.07,Pantheon,jng,1,0
16.07,Rumble,top,0,1
16.07,Seraphine,sup,1,0
16.07,Sion,top,1,0
16.07,Volibear,top,1,0
16.07,Xin Zhao,jng,0,1
16.08,Bard,sup,1,2
16.08,Ezreal,bot,1,1
16.08,Jarvan IV,jng,1,1
16.08,K'Sante,top,2,0
16.08,Ryze,mid,2,0
16.08,Varus,bot,1,1
16.08,Yunara,bot,1,1
16.08,Aatrox,jng,1,0
16.08,Ambessa,top,1,0
16.08,Karma,sup,0,1
16.08,Lucian,bot,0,1
16.08,Lulu,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Neeko,sup,0,1
16.08,Nocturne,jng,0,1
16.08,Orianna,mid,0,1
16.08,Pantheon,jng,0,1
16.08,Rakan,sup,1,0
16.08,Rumble,top,0,1
16.08,Seraphine,sup,0,1
16.08,Viktor,mid,1,0
16.08,Wukong,jng,1,0
16.09,Aurora,mid,0,2
16.09,Ezreal,bot,0,2
16.09,Akali,mid,0,1
16.09,Annie,mid,1,0
16.09,Ashe,bot,1,0
16.09,Jarvan IV,jng,1,0
16.09,Jayce,top,1,0
16.09,K'Sante,top,1,0
16.09,Leona,sup,0,1
16.09,Nautilus,sup,0,1
16.09,Neeko,sup,1,0
16.09,Nocturne,jng,0,1
16.09,Orianna,mid,1,0
16.09,Rek'Sai,jng,1,0
16.09,Seraphine,sup,1,0
16.09,Sivir,bot,1,0
16.09,Varus,bot,0,1
16.09,Zoe,mid,0,1
16.1,Ezreal,bot,0,3
16.1,Annie,mid,0,2
16.1,Rumble,top,0,2
16.1,Twisted Fate,mid,0,2
16.1,Vayne,top,0,2
16.1,Anivia,mid,1,0
16.1,Aurora,mid,1,0
16.1,Azir,mid,1,0
16.1,Caitlyn,bot,1,0
16.1,Gnar,top,1,0
16.1,Jarvan IV,jng,0,1
16.1,Karma,sup,1,0
16.1,Lucian,bot,1,0
16.1,Milio,sup,1,0
16.1,Orianna,mid,0,1
16.1,Pantheon,jng,1,0
16.1,Qiyana,jng,1,0
16.1,Rakan,sup,1,0
16.1,Renekton,top,1,0
16.1,Twisted Fate,top,1,0
16.1,Varus,bot,0,1
16.1,Vi,jng,1,0
16.1,Xayah,bot,1,0
16.1,Yorick,top,0,1
