patch,champ,role,picks_vs,bans_vs
16.02,Lee Sin,jng,0,4
16.02,Neeko,sup,1,3
16.02,Orianna,mid,2,2
16.02,Braum,sup,1,2
16.02,Ambessa,top,2,0
16.02,Caitlyn,bot,1,1
16.02,Gwen,jng,2,0
16.02,Lulu,sup,0,2
16.02,Ryze,mid,1,1
16.02,Swain,mid,0,2
16.02,Syndra,mid,0,2
16.02,Varus,bot,1,1
16.02,Yunara,bot,2,0
16.02,Akali,mid,0,1
16.02,Alistar,sup,1,0
16.02,Anivia,mid,1,0
16.02,Ashe,bot,1,0
16.02,Azir,mid,1,0
16.02,Jarvan IV,jng,0,1
16.02,Jax,jng,1,0
16.02,Jayce,top,1,0
16.02,Jayce,jng,1,0
16.02,K'Sante,top,1,0
16.02,Kai'Sa,bot,1,0
16.02,Karma,sup,0,1
16.02,Kennen,top,0,1
16.02,LeBlanc,mid,0,1
16.02,Leona,sup,0,1
16.02,Nautilus,sup,1,0
16.02,Nidalee,jng,1,0
16.02,Rell,sup,1,0
16.02,Renekton,top,0,1
16.02,Riven,top,1,0
16.02,Rumble,top,0,1
16.02,Seraphine,sup,1,0
16.02,Sion,top,1,0
16.02,Vi,jng,0,1
16.02,Viktor,mid,1,0
16.02,Wukong,jng,0,1
16.02,Zed,jng,1,0
16.03,Lee Sin,jng,0,5
16.03,Orianna,mid,3,2
16.03,Gwen,top,1,3
16.03,Ambessa,top,2,1
16.03,Rumble,top,1,2
16.03,Sivir,bot,2,1
16.03,Alistar,sup,2,0
16.03,Bard,sup,1,1
16.03,Caitlyn,bot,1,1
16.03,Karma,sup,1,1
16.03,Neeko,sup,1,1
16.03,Qiyana,jng,0,2
16.03,Rakan,sup,1,1
16.03,Sion,top,2,0
16.03,Syndra,mid,1,1
16.03,Varus,bot,0,2
16.03,Vi,jng,1,1
16.03,Wukong,jng,0,2
16.03,Xin Zhao,jng,2,0
16.03,Akali,mid,0,1
16.03,Aphelios,bot,1,0
16.03,Aurora,mid,0,1
16.03,Azir,mid,1,0
16.03,Ekko,mid,1,0
16.03,Elise,sup,0,1
16.03,Ezreal,bot,1,0
16.03,Galio,mid,0,1
16.03,Jarvan IV,jng,1,0
16.03,Jhin,bot,1,0
16.03,Kai'Sa,bot,1,0
16.03,Lux,sup,0,1
16.03,Malphite,jng,0,1
16.03,Nocturne,jng,1,0
16.03,Ornn,top,1,0
16.03,Rek'Sai,top,0,1
16.03,Ryze,mid,1,0
16.03,Seraphine,sup,1,0
16.03,Skarner,jng,1,0
16.03,Swain,mid,0,1
16.03,Viego,jng,1,0
