patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Ornn,top,1,2,3,1,2,3
16.01,Sion,top,1,2,3,1,2,3
16.01,Taliyah,mid,3,0,3,3,0,3
16.01,Yunara,bot,2,1,3,2,1,3
16.01,Ambessa,top,0,2,2,0,2,2
16.01,Braum,sup,0,2,2,0,2,2
16.01,K'Sante,top,2,0,2,2,0,2
16.01,Neeko,sup,1,1,2,1,1,2
16.01,Orianna,mid,0,2,2,0,2,2
16.01,Rakan,sup,2,0,2,2,0,2
16.01,Wukong,jng,2,0,2,2,0,2
16.01,Ambessa,jng,1,0,1,1,0,1
16.01,Aphelios,bot,0,1,1,0,1,1
16.01,Bard,sup,1,0,1,1,0,1
16.01,Corki,bot,1,0,1,1,0,1
16.01,Jayce,top,0,1,1,0,1,1
16.01,Karma,sup,0,1,1,0,1,1
16.01,Lee Sin,jng,0,1,1,0,1,1
16.01,Lulu,sup,0,1,1,0,1,1
16.01,Malphite,jng,0,1,1,0,1,1
16.01,Nautilus,sup,0,1,1,0,1,1
16.01,Smolder,bot,1,0,1,1,0,1
16.01,Syndra,mid,1,0,1,1,0,1
16.01,Varus,bot,0,1,1,0,1,1
16.01,Vi,jng,1,0,1,1,0,1
16.03,K'Sante,top,2,1,3,2,1,3
16.03,Ornn,top,1,2,3,1,2,3
16.03,Rakan,sup,0,3,3,0,3,3
16.03,Sion,top,0,3,3,0,3,3
16.03,Ahri,mid,2,0,2,2,0,2
16.03,Alistar,sup,2,0,2,2,0,2
16.03,Corki,bot,2,0,2,2,0,2
16.03,Jarvan IV,jng,1,1,2,1,1,2
16.03,Miss Fortune,bot,0,2,2,0,2,2
16.03,Nautilus,sup,2,0,2,2,0,2
16.03,Ryze,mid,1,1,2,1,1,2
16.03,Sivir,bot,0,2,2,0,2,2
16.03,Yunara,bot,1,1,2,1,1,2
16.03,Ambessa,top,0,1,1,0,1,1
16.03,Braum,sup,0,1,1,0,1,1
16.03,Ezreal,bot,1,0,1,1,0,1
16.03,Malphite,top,1,0,1,1,0,1
16.03,Nami,sup,0,1,1,0,1,1
16.03,Orianna,mid,0,1,1,0,1,1
16.03,Syndra,mid,1,0,1,1,0,1
16.03,Vi,jng,1,0,1,1,0,1
16.03,Wukong,jng,1,0,1,1,0,1
16.03,Xin Zhao,jng,1,0,1,1,0,1
16.06,Ashe,bot,0,3,3,0,3,3
16.06,Ryze,mid,1,2,3,1,2,3
16.06,Aurora,mid,1,1,2,1,1,2
16.06,Jarvan IV,jng,1,1,2,1,1,2
16.06,K'Sante,top,2,0,2,2,0,2
16.06,Karma,sup,1,1,2,1,1,2
16.06,Varus,bot,1,1,2,1,1,2
16.06,Yunara,bot,1,1,2,1,1,2
16.06,Ahri,mid,1,0,1,1,0,1
16.06,Ambessa,jng,1,0,1,1,0,1
16.06,Annie,mid,0,1,1,0,1,1
16.06,Hwei,mid,0,1,1,0,1,1
16.06,Kai'Sa,bot,1,0,1,1,0,1
16.06,Malphite,top,1,0,1,1,0,1
16.06,Mel,mid,0,1,1,0,1,1
16.06,Orianna,mid,0,1,1,0,1,1
16.06,Rakan,sup,1,0,1,1,0,1
16.06,Rell,sup,1,0,1,1,0,1
16.06,Sion,top,0,1,1,0,1,1
16.06,Xin Zhao,jng,1,0,1,1,0,1
16.07,Aurora,mid,2,3,5,2,3,5
16.07,Nautilus,sup,0,5,5,0,5,5
16.07,Ashe,bot,1,3,4,1,3,4
16.07,Jarvan IV,jng,1,3,4,1,3,4
16.07,Sion,top,3,1,4,3,1,4
16.07,Dr. Mundo,jng,3,0,3,3,0,3
16.07,Ezreal,bot,2,1,3,2,1,3
16.07,Karma,sup,2,1,3,2,1,3
16.07,Rakan,sup,3,0,3,3,0,3
16.07,Ryze,mid,2,1,3,2,1,3
16.07,Wukong,jng,1,2,3,1,2,3
16.07,Ahri,mid,1,1,2,1,1,2
16.07,Annie,mid,1,1,2,1,1,2
16.07,K'Sante,top,2,0,2,2,0,2
16.07,Vi,jng,0,2,2,0,2,2
16.07,Xin Zhao,jng,1,1,2,1,1,2
16.07,Alistar,sup,0,1,1,0,1,1
16.07,Leona,sup,0,1,1,0,1,1
16.07,Orianna,mid,0,1,1,0,1,1
16.07,Ornn,top,1,0,1,1,0,1
16.07,Pantheon,jng,0,1,1,0,1,1
16.07,Seraphine,sup,1,0,1,1,0,1
16.07,Sivir,bot,1,0,1,1,0,1
16.07,Syndra,mid,0,1,1,0,1,1
16.07,Varus,bot,1,0,1,1,0,1
16.07,Yunara,bot,1,0,1,1,0,1
16.08,Ashe,bot,0,4,2,0,2,2
16.08,Karma,sup,0,3,2,0,2,2
16.08,Nautilus,sup,1,2,2,0,2,2
16.08,Orianna,mid,1,2,2,0,1,1
16.08,Ezreal,bot,0,2,1,0,1,1
16.08,Lulu,sup,1,1,2,1,1,2
16.08,Neeko,sup,1,1,2,0,1,1
16.08,Pantheon,jng,2,0,2,1,0,1
16.08,Sion,top,1,1,2,1,0,1
16.08,Annie,mid,1,0,1,0,0,0
16.08,Aurora,mid,1,0,1,1,0,1
16.08,Corki,bot,1,0,1,1,0,1
16.08,Dr. Mundo,top,1,0,1,0,0,0
16.08,Jarvan IV,jng,1,0,1,1,0,1
16.08,Jhin,bot,0,1,1,0,0,0
16.08,K'Sante,top,1,0,1,0,0,0
16.08,Kai'Sa,bot,1,0,1,0,0,0
16.08,Miss Fortune,bot,1,0,1,0,0,0
16.08,Nami,sup,1,0,1,1,0,1
16.08,Ornn,top,1,0,1,1,0,1
16.08,Ryze,mid,1,0,1,1,0,1
16.08,Shen,top,0,1,1,0,0,0
16.08,Sivir,bot,1,0,1,1,0,1
16.08,Varus,bot,0,1,1,0,0,0
16.08,Vi,jng,1,0,1,0,0,0
16.08,Xin Zhao,jng,0,1,1,0,0,0
16.09,Aurora,mid,1,2,2,0,1,1
16.09,Orianna,mid,0,3,2,0,2,2
16.09,Pantheon,jng,1,2,2,1,1,2
16.09,Vi,jng,1,2,2,0,1,1
16.09,Lee Sin,jng,2,0,2,1,0,1
16.09,Naafiri,jng,0,2,1,0,1,1
16.09,Nautilus,sup,0,2,2,0,1,1
16.09,Ornn,top,2,0,2,2,0,2
16.09,Ryze,mid,1,1,2,1,1,2
16.09,Ahri,mid,1,0,1,0,0,0
16.09,Annie,mid,0,1,1,0,0,0
16.09,Camille,sup,1,0,1,1,0,1
16.09,Corki,bot,1,0,1,1,0,1
16.09,Dr. Mundo,jng,0,1,1,0,0,0
16.09,Ezreal,bot,1,0,1,1,0,1
16.09,Jarvan IV,jng,0,1,1,0,0,0
16.09,K'Sante,top,1,0,1,0,0,0
16.09,Lucian,bot,1,0,1,0,0,0
16.09,Lulu,sup,1,0,1,0,0,0
16.09,Malphite,jng,0,1,1,0,0,0
16.09,Milio,sup,1,0,1,0,0,0
16.09,Nami,sup,1,0,1,1,0,1
16.09,Senna,bot,0,1,1,0,1,1
16.09,Sion,top,1,0,1,0,0,0
16.09,Sivir,bot,1,0,1,0,0,0
16.09,Viktor,mid,1,0,1,1,0,1
16.09,Wukong,jng,0,1,1,0,1,1
