patch,champ,role,picks_vs,bans_vs
16.02,Bard,sup,1,3
16.02,Jarvan IV,jng,0,4
16.02,Jayce,top,0,4
16.02,Neeko,sup,1,2
16.02,Rumble,top,0,3
16.02,Sivir,bot,1,1
16.02,Varus,bot,1,1
16.02,Wukong,jng,2,0
16.02,Yunara,bot,2,0
16.02,Akali,mid,1,0
16.02,Alistar,sup,1,0
16.02,Ambessa,top,1,0
16.02,Aurora,mid,1,0
16.02,Azir,mid,1,0
16.02,Gwen,top,1,0
16.02,K'Sante,top,1,0
16.02,Kai'Sa,bot,1,0
16.02,Lulu,sup,0,1
16.02,Malphite,jng,0,1
16.02,Orianna,mid,0,1
16.02,Pantheon,jng,1,0
16.02,Poppy,sup,0,1
16.02,Rakan,sup,1,0
16.02,Rell,sup,1,0
16.02,Renekton,top,1,0
16.02,Ryze,mid,1,0
16.02,Sion,top,1,0
16.02,Syndra,mid,0,1
16.02,Taliyah,mid,1,0
16.02,Thresh,sup,0,1
16.02,Vi,jng,1,0
16.02,Viktor,mid,0,1
16.02,Xin Zhao,jng,1,0
16.03,Rumble,top,2,5
16.03,Varus,bot,0,4
16.03,Yunara,bot,1,3
16.03,Jarvan IV,jng,1,2
16.03,K'Sante,top,0,3
16.03,Nocturne,jng,1,2
16.03,Renekton,top,2,1
16.03,Syndra,mid,0,3
16.03,Alistar,sup,1,1
16.03,Ambessa,top,2,0
16.03,Azir,mid,0,2
16.03,Bard,sup,1,1
16.03,Ezreal,bot,2,0
16.03,Karma,sup,2,0
16.03,Lucian,bot,1,1
16.03,Nami,sup,2,0
16.03,Nautilus,sup,1,1
16.03,Orianna,mid,1,1
16.03,Taliyah,mid,0,2
16.03,Xin Zhao,jng,0,2
16.03,Ahri,mid,1,0
16.03,Akali,mid,1,0
16.03,Anivia,mid,1,0
16.03,Aphelios,bot,0,1
16.03,Blitzcrank,sup,1,0
16.03,Cassiopeia,mid,0,1
16.03,Corki,bot,1,0
16.03,Dr. Mundo,jng,1,0
16.03,Gwen,top,0,1
16.03,Ivern,jng,1,0
