patch,champ,role,picks_by,bans_vs,series_presence
16.08,Ashe,bot,1,4,3
16.08,Rumble,top,1,4,3
16.08,Rengar,jng,1,3,3
16.08,Annie,mid,2,1,3
16.08,Jarvan IV,jng,2,1,3
16.08,Karma,sup,1,2,2
16.08,Nautilus,sup,2,1,2
16.08,Orianna,mid,1,2,2
16.08,Pantheon,jng,2,1,3
16.08,Akali,mid,1,1,2
16.08,Aurora,mid,2,0,2
16.08,Jax,top,1,1,2
16.08,Nami,sup,1,1,2
16.08,Renekton,top,2,0,2
16.08,Varus,bot,1,1,2
16.08,Ambessa,top,1,0,1
16.08,Azir,mid,0,1,1
16.08,Ezreal,bot,1,0,1
16.08,Galio,mid,0,1,1
16.08,Gwen,top,0,1,1
16.08,Jhin,bot,1,0,1
16.08,K'Sante,top,1,0,1
16.08,Lee Sin,jng,0,1,1
16.08,Leona,sup,1,0,1
16.08,Lucian,bot,1,0,1
16.08,Lulu,sup,0,1,1
16.08,Naafiri,jng,0,1,1
16.08,Seraphine,sup,1,0,1
16.08,Sivir,bot,1,0,1
16.08,Vi,jng,0,1,1
16.08,Wukong,jng,1,0,1
