patch,champ,role,picks_by,bans_vs
16.01,Azir,mid,1,0
16.01,Jayce,top,0,1
16.01,Neeko,sup,1,0
16.01,Orianna,mid,0,1
16.01,Rek'Sai,jng,1,0
16.01,Renekton,top,0,1
16.01,Rumble,top,0,1
16.01,Sion,top,1,0
16.01,Wukong,jng,0,1
16.01,Yunara,bot,1,0
16.02,Alistar,sup,1,2
16.02,Azir,mid,2,1
16.02,Rumble,top,2,1
16.02,Varus,bot,1,2
16.02,Jayce,top,0,2
16.02,Jayce,jng,2,0
16.02,Jhin,bot,2,0
16.02,Sion,top,1,1
16.02,Xin Zhao,jng,2,0
16.02,Yunara,bot,1,1
16.02,Aphelios,bot,0,1
16.02,Bard,sup,1,0
16.02,Cassiopeia,mid,1,0
16.02,Gnar,top,1,0
16.02,K'Sante,top,0,1
16.02,Leona,sup,1,0
16.02,Malphite,jng,0,1
16.02,Neeko,sup,0,1
16.02,Orianna,mid,0,1
16.02,Ornn,top,0,1
16.02,Rell,sup,1,0
16.02,Renekton,top,0,1
16.02,Sivir,bot,0,1
16.02,Taliyah,mid,1,0
16.02,Vi,jng,0,1
16.02,Wukong,jng,0,1
16.03,Azir,mid,2,4
16.03,Varus,bot,1,3
16.03,Xin Zhao,jng,2,2
16.03,Dr. Mundo,jng,0,3
16.03,Orianna,mid,1,2
16.03,Rumble,top,2,1
16.03,Sion,top,2,1
16.03,Corki,bot,2,0
16.03,Jarvan IV,jng,2,0
16.03,Jayce,top,0,2
16.03,Nautilus,sup,0,2
16.03,Neeko,sup,1,1
16.03,Yunara,bot,1,1
16.03,Zaahen,jng,2,0
16.03,Alistar,sup,0,1
16.03,Ambessa,top,0,1
16.03,Bard,sup,1,0
16.03,Braum,sup,0,1
16.03,Caitlyn,bot,0,1
16.03,Gnar,top,1,0
16.03,K'Sante,top,1,0
16.03,Kai'Sa,bot,1,0
16.03,Karma,sup,1,0
16.03,Leona,sup,1,0
16.03,Nocturne,jng,0,1
16.03,Poppy,sup,0,1
16.03,Pyke,sup,0,1
16.03,Rakan,sup,1,0
16.03,Rell,sup,1,0
16.03,Ryze,mid,1,0
16.03,Taliyah,mid,1,0
16.03,Vi,jng,0,1
16.03,Xayah,bot,1,0
16.03,Yone,mid,1,0
16.04,Nautilus,sup,0,5
16.04,Azir,mid,0,3
16.04,Orianna,mid,0,3
16.04,Rumble,top,2,1
16.04,Ryze,mid,1,2
16.04,Xin Zhao,jng,1,2
16.04,Yunara,bot,0,3
16.04,Ahri,mid,2,0
16.04,Ambessa,top,0,2
16.04,Bard,sup,1,1
16.04,Corki,bot,2,0
16.04,Gnar,top,2,0
16.04,Jhin,bot,1,1
16.04,Jinx,bot,2,0
16.04,Kai'Sa,bot,0,2
16.04,Lulu,sup,1,1
16.04,Pantheon,jng,1,1
16.04,Sion,top,1,1
16.04,Taliyah,mid,1,1
16.04,Vi,jng,2,0
