patch,champ,role,picks_by,bans_vs
16.02,Azir,mid,1,5
16.02,Rell,sup,1,4
16.02,Orianna,mid,0,4
16.02,Rumble,top,2,2
16.02,Ambessa,top,0,3
16.02,Neeko,sup,0,3
16.02,Varus,bot,0,3
16.02,Ambessa,jng,2,0
16.02,Bard,sup,1,1
16.02,Corki,bot,1,1
16.02,Gnar,top,1,1
16.02,Kai'Sa,bot,1,1
16.02,Lucian,bot,0,2
16.02,Malphite,top,2,0
16.02,Nautilus,sup,0,2
16.02,Rakan,sup,0,2
16.02,Taliyah,mid,2,0
16.02,Vi,jng,2,0
16.02,Ahri,mid,1,0
16.02,Akali,mid,1,0
16.02,Alistar,sup,1,0
16.02,Aphelios,bot,1,0
16.02,Braum,sup,1,0
16.02,Caitlyn,bot,1,0
16.02,Ezreal,bot,0,1
16.02,Galio,mid,1,0
16.02,Jhin,bot,1,0
16.02,Jinx,bot,1,0
16.02,Karma,sup,1,0
16.02,Leona,sup,1,0
16.02,Ornn,top,1,0
16.02,Poppy,sup,1,0
16.02,Qiyana,jng,1,0
16.02,Renekton,top,1,0
16.02,Syndra,mid,1,0
16.02,Wukong,jng,1,0
16.02,Xayah,bot,1,0
16.02,Xin Zhao,jng,1,0
16.03,Azir,mid,1,2
16.03,Caitlyn,bot,1,2
16.03,Renekton,top,1,2
16.03,Yunara,bot,1,2
16.03,Alistar,sup,2,0
16.03,Ambessa,top,0,2
16.03,Dr. Mundo,jng,2,0
16.03,Gnar,top,2,0
16.03,Lucian,bot,2,0
16.03,Malphite,jng,0,2
16.03,Orianna,mid,1,1
16.03,Sivir,bot,0,2
16.03,Vi,jng,0,2
16.03,Wukong,jng,1,1
16.03,Aatrox,jng,1,0
16.03,Braum,sup,0,1
16.03,Ezreal,bot,0,1
16.03,Jarvan IV,jng,0,1
16.03,Jax,jng,1,0
16.03,Jayce,top,0,1
16.03,Karma,sup,1,0
16.03,Miss Fortune,bot,0,1
16.03,Neeko,sup,1,0
16.03,Ornn,top,1,0
16.03,Rell,sup,1,0
16.03,Rumble,top,1,0
16.03,Ryze,mid,0,1
16.03,Syndra,mid,1,0
16.03,Taliyah,mid,1,0
16.03,Varus,bot,0,1
16.03,Vayne,bot,1,0
16.03,Viktor,mid,1,0
16.07,Caitlyn,bot,0,2
16.07,Orianna,mid,0,2
16.07,Vi,jng,1,1
16.07,Ahri,mid,0,1
16.07,Cassiopeia,mid,1,0
16.07,Gnar,top,1,0
16.07,Kai'Sa,bot,1,0
16.07,Karma,sup,1,0
16.07,Leona,sup,0,1
16.07,Nautilus,sup,0,1
16.07,Poppy,sup,1,0
16.07,Pyke,sup,0,1
16.07,Ryze,mid,1,0
16.07,Sion,top,1,0
16.07,Taliyah,mid,0,1
16.07,Xin Zhao,jng,1,0
16.07,Yunara,bot,1,0
16.08,Caitlyn,bot,0,8
16.08,Azir,mid,3,4
16.08,Orianna,mid,0,7
16.08,Xin Zhao,jng,2,3
16.08,Ahri,mid,2,2
16.08,Ambessa,top,3,1
16.08,Cassiopeia,mid,1,3
16.08,Karma,sup,2,2
16.08,Rumble,top,3,1
16.08,Ezreal,bot,3,0
16.08,Vi,jng,2,1
16.08,Yunara,bot,2,1
16.08,Corki,bot,2,0
16.08,Jarvan IV,jng,2,0
16.08,Nautilus,sup,1,1
16.08,Neeko,sup,1,1
16.08,Ryze,mid,1,1
16.08,Seraphine,sup,0,2
16.08,Wukong,jng,2,0
16.08,Aatrox,top,1,0
16.08,Alistar,sup,0,1
16.08,Ambessa,jng,1,0
16.08,Anivia,mid,0,1
16.08,Bard,sup,0,1
16.08,Braum,sup,1,0
16.08,Camille,top,1,0
16.08,Hwei,mid,1,0
16.08,Jhin,bot,1,0
16.08,K'Sante,top,1,0
16.08,Kai'Sa,bot,0,1
16.08,Kennen,top,0,1
16.08,Leona,sup,0,1
16.08,Lulu,sup,1,0
16.08,Miss Fortune,bot,1,0
16.08,Nami,sup,1,0
16.08,Pyke,sup,1,0
16.08,Rell,sup,1,0
16.08,Varus,bot,0,1
16.08,Viktor,mid,1,0
16.09,Caitlyn,bot,1,5
16.09,Azir,mid,1,3
16.09,Naafiri,jng,0,4
16.09,Orianna,mid,0,4
16.09,Ryze,mid,2,1
16.09,Aatrox,top,2,0
16.09,Alistar,sup,1,1
16.09,Aurora,mid,0,2
16.09,K'Sante,top,1,1
16.09,Malphite,top,2,0
16.09,Seraphine,sup,2,0
16.09,Vi,jng,2,0
16.09,Xin Zhao,jng,2,0
16.09,Yunara,bot,1,1
16.09,Ahri,mid,0,1
16.09,Ambessa,top,0,1
16.09,Ashe,bot,1,0
16.09,Bard,sup,0,1
16.09,Cassiopeia,mid,1,0
16.09,Corki,bot,1,0
16.09,Ezreal,bot,1,0
16.09,Hwei,mid,1,0
16.09,Jarvan IV,jng,1,0
16.09,Karma,sup,1,0
16.09,Lulu,sup,0,1
16.09,Nami,sup,0,1
16.09,Nautilus,sup,0,1
16.09,Olaf,top,0,1
16.09,Rakan,sup,1,0
16.09,Rell,sup,1,0
16.09,Rumble,top,1,0
16.09,Smolder,bot,0,1
16.09,Varus,bot,1,0
16.09,Viktor,mid,1,0
16.09,Wukong,jng,1,0
