patch,champ,role,picks_vs,bans_vs
16.04,Orianna,mid,2,0
16.04,Rumble,top,2,0
16.04,Yunara,bot,2,0
16.04,Alistar,sup,1,0
16.04,Aphelios,bot,1,0
16.04,Blitzcrank,sup,1,0
16.04,Corki,bot,1,0
16.04,Gwen,top,1,0
16.04,Jarvan IV,jng,1,0
16.04,Jinx,bot,1,0
16.04,Kennen,top,1,0
16.04,LeBlanc,mid,1,0
16.04,Leona,sup,1,0
16.04,Lulu,sup,1,0
16.04,Nami,sup,1,0
16.04,Nocturne,jng,1,0
16.04,Pantheon,jng,1,0
16.04,Rakan,sup,1,0
16.04,Renekton,top,1,0
16.04,Ryze,mid,1,0
16.04,Sion,top,1,0
16.04,Taliyah,mid,1,0
16.04,Varus,bot,1,0
16.04,Vi,jng,1,0
16.04,Viktor,mid,1,0
16.04,Xin Zhao,jng,1,0
16.04,Zaahen,jng,1,0
