patch,champ,role,picks_by,bans_vs
16.06,Wukong,jng,1,3
16.06,Azir,mid,1,2
16.06,Bard,sup,1,2
16.06,Orianna,mid,1,2
16.06,Ambessa,top,2,0
16.06,Corki,bot,1,1
16.06,Gwen,top,0,2
16.06,Karma,sup,0,2
16.06,Lulu,sup,2,0
16.06,Naafiri,jng,1,1
16.06,Pantheon,jng,1,1
16.06,Seraphine,sup,1,1
16.06,Yunara,bot,2,0
16.06,Ahri,mid,0,1
16.06,Alistar,sup,0,1
16.06,Aurora,mid,1,0
16.06,Dr. Mundo,jng,0,1
16.06,Ezreal,bot,1,0
16.06,Gnar,top,0,1
16.06,Jarvan IV,jng,0,1
16.06,Jayce,top,0,1
16.06,Malphite,jng,1,0
16.06,Miss Fortune,bot,1,0
16.06,Nautilus,sup,1,0
16.06,Rumble,top,1,0
16.06,Sion,top,0,1
16.06,Sylas,mid,1,0
16.06,Vi,jng,1,0
16.06,Viktor,mid,1,0
16.06,Yorick,top,1,0
16.06,Zaahen,top,1,0
16.07,Seraphine,sup,0,3
16.07,Varus,bot,0,3
16.07,Azir,mid,1,1
16.07,Jarvan IV,jng,1,1
16.07,Nautilus,sup,1,1
16.07,Orianna,mid,0,2
16.07,Pantheon,jng,0,2
16.07,Sivir,bot,2,0
16.07,Aatrox,top,1,0
16.07,Ambessa,top,1,0
16.07,Anivia,mid,0,1
16.07,Annie,mid,1,0
16.07,Aphelios,bot,1,0
16.07,Bard,sup,0,1
16.07,Caitlyn,bot,0,1
16.07,Dr. Mundo,jng,1,0
16.07,Gnar,top,1,0
16.07,Gwen,top,0,1
16.07,Jayce,top,0,1
16.07,K'Sante,top,1,0
16.07,Karma,sup,1,0
16.07,Lulu,sup,1,0
16.07,Mel,mid,1,0
16.07,Miss Fortune,bot,1,0
16.07,Neeko,sup,0,1
16.07,Nocturne,jng,1,0
16.07,Ryze,mid,1,0
16.07,Thresh,sup,1,0
16.07,Vi,jng,0,1
16.07,Xin Zhao,jng,1,0
16.08,Nocturne,jng,1,3
16.08,Ryze,mid,0,4
16.08,Ahri,mid,0,3
16.08,Ambessa,top,1,2
16.08,Caitlyn,bot,2,1
16.08,Mel,mid,1,2
16.08,Rumble,top,1,2
16.08,Seraphine,sup,0,3
16.08,Viktor,mid,1,2
16.08,Aurora,mid,2,0
16.08,Bard,sup,2,0
16.08,Corki,bot,2,0
16.08,Jarvan IV,jng,2,0
16.08,Nami,sup,2,0
16.08,Ornn,top,1,1
16.08,Rek'Sai,top,2,0
16.08,Varus,bot,0,2
16.08,Wukong,jng,2,0
16.08,Xin Zhao,jng,1,1
16.08,Anivia,sup,1,0
16.08,Annie,mid,0,1
16.08,Azir,mid,1,0
16.08,Ezreal,bot,1,0
16.08,Gwen,top,0,1
16.08,Jayce,top,1,0
16.08,Jhin,bot,0,1
16.08,K'Sante,top,1,0
16.08,Karma,sup,0,1
16.08,LeBlanc,mid,1,0
16.08,Lulu,sup,0,1
16.08,Miss Fortune,bot,1,0
16.08,Nautilus,sup,1,0
16.08,Neeko,sup,1,0
16.08,Orianna,mid,0,1
16.08,Pantheon,jng,1,0
16.08,Renekton,top,0,1
16.08,Sion,top,0,1
16.08,Sivir,bot,1,0
16.08,Vladimir,mid,1,0
16.08,Yorick,top,0,1
16.09,Aurora,mid,0,2
16.09,Caitlyn,bot,1,1
16.09,Orianna,mid,0,2
16.09,Seraphine,sup,0,2
16.09,Xin Zhao,jng,1,1
16.09,Akali,mid,0,1
16.09,Ambessa,top,1,0
16.09,Anivia,mid,1,0
16.09,Bard,sup,1,0
16.09,Jax,top,0,1
16.09,Jayce,top,1,0
16.09,Karma,sup,1,0
16.09,LeBlanc,mid,0,1
16.09,Lucian,bot,1,0
16.09,Mel,mid,0,1
16.09,Milio,sup,1,0
16.09,Pantheon,jng,1,0
16.09,Ryze,mid,1,0
16.09,Sejuani,jng,1,0
16.09,Sivir,bot,1,0
16.09,Smolder,bot,0,1
16.09,Sylas,mid,0,1
16.09,Vayne,top,1,0
16.09,Wukong,jng,0,1
16.09,Yone,mid,1,0
16.1,Rumble,top,1,3
16.1,Xin Zhao,jng,2,2
16.1,Caitlyn,bot,2,1
16.1,Nocturne,jng,0,3
16.1,Ambessa,top,0,2
16.1,Anivia,mid,1,1
16.1,Jarvan IV,jng,0,2
16.1,K'Sante,top,2,0
16.1,Karma,sup,2,0
16.1,Pantheon,jng,0,2
16.1,Ryze,mid,1,1
16.1,Skarner,jng,1,1
16.1,Smolder,bot,2,0
16.1,Twisted Fate,mid,2,0
16.1,Wukong,jng,1,1
16.1,Ahri,mid,0,1
16.1,Akali,mid,1,0
16.1,Anivia,sup,1,0
16.1,Bard,sup,1,0
16.1,Jax,top,1,0
16.1,Jayce,top,0,1
16.1,Jhin,bot,0,1
16.1,Lee Sin,jng,1,0
16.1,Lucian,bot,1,0
16.1,Mel,mid,0,1
16.1,Milio,sup,1,0
16.1,Miss Fortune,bot,0,1
16.1,Nautilus,sup,1,0
16.1,Neeko,sup,0,1
16.1,Orianna,mid,1,0
16.1,Renekton,top,0,1
16.1,Senna,bot,1,0
16.1,Seraphine,sup,0,1
16.1,Sivir,bot,0,1
16.1,Vayne,top,1,0
16.1,Vi,jng,1,0
16.1,Viktor,mid,0,1
16.1,Yorick,top,1,0
16.1,Ziggs,bot,0,1
