patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Azir,mid,2,4,3,1,2,3
16.01,Bard,sup,2,4,3,0,3,3
16.01,Orianna,mid,1,5,2,0,2,2
16.01,Aphelios,bot,4,1,4,1,1,2
16.01,Malphite,jng,0,5,2,0,2,2
16.01,Pantheon,jng,2,3,3,1,1,2
16.01,Yunara,bot,0,5,3,0,2,2
16.01,Ambessa,top,1,3,4,1,1,2
16.01,Ryze,mid,4,0,4,3,0,3
16.01,Gnar,top,2,1,3,1,0,1
16.01,Gwen,top,1,2,3,0,0,0
16.01,Jayce,top,1,2,3,1,0,1
16.01,Lulu,sup,2,1,3,0,1,1
16.01,Poppy,sup,0,3,2,0,1,1
16.01,Xin Zhao,jng,2,1,3,0,0,0
16.01,Ezreal,bot,1,1,2,1,0,1
16.01,Galio,mid,1,1,2,0,0,0
16.01,Jarvan IV,jng,1,1,1,0,0,0
16.01,K'Sante,top,2,0,2,0,0,0
16.01,Kai'Sa,bot,2,0,2,0,0,0
16.01,Neeko,sup,1,1,2,0,1,1
16.01,Nocturne,jng,2,0,2,1,0,1
16.01,Rumble,top,0,2,1,0,1,1
16.01,Sivir,bot,1,1,2,0,0,0
16.01,Sylas,mid,1,1,2,0,0,0
16.01,Thresh,sup,2,0,2,1,0,1
16.01,Vi,jng,2,0,2,2,0,2
16.01,Wukong,jng,0,2,1,0,0,0
16.01,Zaahen,top,2,0,2,1,0,1
16.01,Akali,top,1,0,1,0,0,0
16.01,Alistar,sup,0,1,1,0,1,1
16.01,Aurora,mid,1,0,1,0,0,0
16.01,Aurora,top,1,0,1,0,0,0
16.01,Corki,bot,1,0,1,1,0,1
16.01,Dr. Mundo,jng,1,0,1,0,0,0
16.01,Kalista,bot,1,0,1,0,0,0
16.01,Karma,sup,0,1,1,0,1,1
16.01,Lissandra,sup,1,0,1,1,0,1
16.01,Lucian,bot,1,0,1,1,0,1
16.01,Milio,sup,1,0,1,1,0,1
16.01,Nami,sup,1,0,1,1,0,1
16.01,Renata Glasc,sup,1,0,1,0,0,0
16.01,Sion,top,0,1,1,0,0,0
16.01,Sylas,jng,1,0,1,0,0,0
16.01,Xayah,bot,0,1,1,0,0,0
16.01,Yone,mid,1,0,1,0,0,0
16.01,Zeri,bot,0,1,1,0,0,0
16.02,Bard,sup,0,3,1,0,1,1
16.02,Jayce,top,0,3,1,0,1,1
16.02,Ashe,bot,0,2,1,0,0,0
16.02,Kai'Sa,bot,1,1,1,0,1,1
16.02,Nocturne,jng,1,1,1,0,1,1
16.02,Ambessa,top,1,0,1,1,0,1
16.02,Aphelios,bot,0,1,1,0,0,0
16.02,Aurora,mid,0,1,1,0,0,0
16.02,Azir,mid,1,0,1,1,0,1
16.02,Blitzcrank,sup,0,1,1,0,0,0
16.02,Galio,mid,1,0,1,0,0,0
16.02,Jarvan IV,jng,1,0,1,1,0,1
16.02,Jhin,bot,1,0,1,1,0,1
16.02,Kennen,top,1,0,1,0,0,0
16.02,Nautilus,sup,1,0,1,0,0,0
16.02,Neeko,sup,1,0,1,1,0,1
16.02,Rell,sup,1,0,1,0,0,0
16.02,Ryze,mid,1,0,1,0,0,0
16.02,Sion,top,1,0,1,0,0,0
16.02,Sivir,bot,0,1,1,0,1,1
16.02,Varus,bot,1,0,1,0,0,0
16.02,Vi,jng,1,0,1,0,0,0
16.02,Yunara,bot,0,1,1,0,0,0
16.03,Bard,sup,0,9,2,0,2,2
16.03,Nocturne,jng,0,7,2,0,1,1
16.03,Nautilus,sup,1,3,2,0,0,0
16.03,Anivia,mid,2,1,2,0,0,0
16.03,Aurora,mid,1,2,2,0,0,0
16.03,Karma,sup,1,2,2,0,0,0
16.03,Kennen,top,2,1,2,0,0,0
16.03,Varus,bot,2,1,2,0,1,1
16.03,Azir,mid,2,0,2,2,0,2
16.03,Jhin,bot,1,1,2,0,1,1
16.03,Kalista,bot,1,1,1,0,0,0
16.03,Lee Sin,jng,0,2,1,0,0,0
16.03,Rakan,sup,2,0,2,0,0,0
16.03,Renata Glasc,sup,1,1,1,0,0,0
16.03,Taliyah,mid,1,1,2,0,0,0
16.03,Vi,jng,0,2,1,0,1,1
16.03,Wukong,jng,1,1,2,0,0,0
16.03,Xin Zhao,jng,2,0,2,2,0,2
16.03,Yunara,bot,2,0,2,0,0,0
16.03,Aatrox,jng,1,0,1,0,0,0
16.03,Alistar,sup,1,0,1,0,0,0
16.03,Ambessa,top,0,1,1,0,1,1
16.03,Ambessa,jng,1,0,1,0,0,0
16.03,Aphelios,bot,1,0,1,0,0,0
16.03,Corki,bot,0,1,1,0,1,1
16.03,Galio,mid,1,0,1,0,0,0
16.03,Gnar,top,0,1,1,0,0,0
16.03,Jax,top,1,0,1,0,0,0
16.03,Jayce,top,1,0,1,0,0,0
16.03,Jinx,bot,1,0,1,1,0,1
16.03,Kha'Zix,jng,1,0,1,0,0,0
16.03,Lulu,sup,1,0,1,0,0,0
16.03,Malphite,jng,1,0,1,0,0,0
16.03,Miss Fortune,bot,0,1,1,0,1,1
16.03,Nami,sup,0,1,1,0,1,1
16.03,Neeko,sup,0,1,1,0,0,0
16.03,Ornn,top,1,0,1,1,0,1
16.03,Pantheon,jng,1,0,1,0,0,0
16.03,Rek'Sai,top,1,0,1,0,0,0
16.03,Renekton,top,1,0,1,0,0,0
16.03,Rumble,top,1,0,1,1,0,1
16.03,Ryze,mid,0,1,1,0,0,0
16.03,Sejuani,jng,0,1,1,0,0,0
16.03,Sylas,mid,1,0,1,0,0,0
16.03,Sylas,top,1,0,1,0,0,0
16.03,Thresh,sup,1,0,1,1,0,1
16.03,Trundle,jng,0,1,1,0,0,0
16.03,Twisted Fate,mid,1,0,1,0,0,0
16.03,Viktor,mid,0,1,1,0,0,0
16.03,Yuumi,sup,1,0,1,1,0,1
16.03,Zaahen,jng,1,0,1,0,0,0
16.03,Zeri,bot,1,0,1,1,0,1
16.06,Bard,sup,0,4,2,0,2,2
16.06,Orianna,mid,1,2,2,1,1,2
16.06,Azir,mid,1,1,2,1,0,1
16.06,Corki,bot,1,1,2,0,0,0
16.06,Ezreal,bot,1,1,2,1,1,2
16.06,Karma,sup,0,2,2,0,1,1
16.06,Nami,sup,2,0,2,0,0,0
16.06,Rumble,top,0,2,1,0,1,1
