patch,champ,role,picks_vs,bans_vs
16.01,Orianna,mid,0,6
16.01,Neeko,sup,0,5
16.01,Nocturne,jng,1,3
16.01,Akali,mid,0,3
16.01,Aphelios,bot,2,1
16.01,K'Sante,top,2,1
16.01,Kai'Sa,bot,0,3
16.01,Alistar,sup,1,1
16.01,Ambessa,top,1,1
16.01,Aurora,mid,1,1
16.01,Azir,mid,2,0
16.01,Corki,bot,1,1
16.01,Dr. Mundo,jng,1,1
16.01,Gwen,top,1,1
16.01,Jarvan IV,jng,1,1
16.01,Malphite,jng,0,2
16.01,Pantheon,jng,2,0
16.01,Rumble,top,2,0
16.01,Ryze,mid,2,0
16.01,Yunara,bot,2,0
16.01,Ahri,mid,0,1
16.01,Bard,sup,1,0
16.01,Braum,sup,0,1
16.01,Caitlyn,bot,1,0
16.01,Galio,mid,0,1
16.01,Gnar,top,1,0
16.01,Jayce,top,0,1
16.01,Kennen,top,0,1
16.01,LeBlanc,mid,0,1
16.01,Lee Sin,jng,1,0
16.01,Lulu,sup,1,0
16.01,Miss Fortune,bot,0,1
16.01,Nautilus,sup,1,0
16.01,Poppy,sup,1,0
16.01,Rakan,sup,1,0
16.01,Renata Glasc,sup,1,0
16.01,Sejuani,jng,1,0
16.01,Sion,top,1,0
16.01,Sylas,mid,0,1
16.01,Syndra,mid,1,0
16.01,Taliyah,mid,1,0
16.01,Thresh,sup,1,0
16.01,Varus,bot,1,0
16.01,Wukong,jng,1,0
16.01,Xayah,bot,1,0
16.01,Yone,mid,1,0
16.01,Zaahen,top,0,1
16.02,Akali,mid,0,5
16.02,Jarvan IV,jng,1,4
16.02,Orianna,mid,3,2
16.02,Ambessa,top,1,3
16.02,Neeko,sup,1,3
16.02,Aurora,mid,2,1
16.02,Corki,bot,3,0
16.02,Gnar,top,2,1
16.02,Jayce,top,0,3
16.02,Aatrox,jng,1,1
16.02,Aphelios,bot,2,0
16.02,Azir,mid,2,0
16.02,K'Sante,top,2,0
16.02,Leona,sup,1,1
16.02,Lulu,sup,0,2
16.02,Malphite,jng,0,2
16.02,Miss Fortune,bot,2,0
16.02,Nocturne,jng,1,1
16.02,Qiyana,jng,2,0
16.02,Rakan,sup,1,1
16.02,Renekton,top,1,1
16.02,Vi,jng,1,1
16.02,Wukong,jng,2,0
16.02,Alistar,sup,0,1
16.02,Bard,sup,0,1
16.02,Braum,sup,1,0
16.02,Ezreal,bot,0,1
16.02,Gwen,top,0,1
16.02,Janna,sup,1,0
