patch,champ,role,picks_vs,bans_vs
16.02,Jayce,top,0,6
16.02,Gwen,top,0,4
16.02,Varus,bot,0,4
16.02,Wukong,jng,4,0
16.02,Azir,mid,1,2
16.02,Jarvan IV,jng,1,2
16.02,Orianna,mid,2,1
16.02,Rumble,top,0,3
16.02,Syndra,mid,2,1
16.02,Aatrox,jng,0,2
16.02,Akali,mid,0,2
16.02,Braum,sup,0,2
16.02,Caitlyn,bot,2,0
16.02,Fiora,top,1,1
16.02,Nami,sup,2,0
16.02,Nautilus,sup,2,0
16.02,Neeko,sup,0,2
16.02,Pantheon,jng,0,2
16.02,Renekton,top,2,0
16.02,Ryze,mid,2,0
16.02,Vi,jng,1,1
16.02,Xayah,bot,2,0
16.02,Xin Zhao,jng,2,0
16.02,Yunara,bot,0,2
16.02,Aatrox,top,1,0
16.02,Ahri,mid,1,0
16.02,Alistar,sup,1,0
16.02,Ambessa,top,1,0
16.02,Bard,sup,1,0
16.02,Corki,bot,1,0
16.02,Dr. Mundo,jng,0,1
16.02,Galio,mid,1,0
16.02,Gnar,top,0,1
16.02,Jax,top,0,1
16.02,Jhin,bot,1,0
16.02,Kai'Sa,bot,1,0
16.02,Lucian,bot,1,0
16.02,Malphite,jng,0,1
16.02,Malphite,top,1,0
16.02,Morgana,sup,1,0
16.02,Nocturne,jng,0,1
16.02,Olaf,top,1,0
16.02,Ornn,top,0,1
16.02,Rakan,sup,1,0
16.02,Rell,sup,1,0
16.02,Sion,top,1,0
16.02,Smolder,bot,1,0
16.02,Trundle,top,1,0
16.02,Volibear,jng,1,0
16.02,Zaahen,top,0,1
16.03,Jarvan IV,jng,1,2
16.03,Malphite,jng,0,3
16.03,Ryze,mid,1,2
16.03,Galio,mid,0,2
16.03,Jayce,top,0,2
16.03,Nautilus,sup,1,1
16.03,Orianna,mid,1,1
16.03,Pantheon,jng,0,2
16.03,Rakan,sup,2,0
16.03,Sion,top,2,0
16.03,Taliyah,mid,1,1
16.03,Varus,bot,0,2
16.03,Yunara,bot,2,0
16.03,Alistar,sup,0,1
16.03,Ambessa,top,0,1
16.03,Ambessa,jng,1,0
16.03,Aphelios,bot,1,0
16.03,Azir,mid,1,0
16.03,Dr. Mundo,jng,1,0
16.03,Gnar,top,1,0
16.03,K'Sante,top,0,1
16.03,Lulu,sup,1,0
16.03,Maokai,top,1,0
16.03,Neeko,sup,0,1
16.03,Nocturne,jng,0,1
16.03,Rell,sup,1,0
16.03,Renekton,top,1,0
16.03,Smolder,bot,1,0
16.03,Swain,mid,1,0
16.03,Taliyah,jng,1,0
16.03,Trundle,jng,0,1
16.03,Viktor,mid,0,1
16.03,Xin Zhao,jng,1,0
16.03,Zeri,bot,1,0
16.04,Ambessa,top,1,2
16.04,Vi,jng,1,2
16.04,Dr. Mundo,jng,0,2
16.04,Jayce,top,0,2
16.04,Karma,sup,1,1
16.04,Renekton,top,0,2
16.04,Sylas,mid,1,1
16.04,Taliyah,mid,0,2
16.04,Varus,bot,1,1
16.04,Yunara,bot,2,0
16.04,Akali,mid,1,0
16.04,Ashe,bot,1,0
16.04,Aurora,mid,1,0
16.04,Bard,sup,0,1
16.04,Braum,sup,1,0
16.04,Cassiopeia,mid,0,1
16.04,Hecarim,jng,1,0
16.04,Jarvan IV,jng,1,0
16.04,Jax,top,1,0
16.04,LeBlanc,mid,0,1
16.04,Lulu,sup,1,0
16.04,Malzahar,mid,1,0
16.04,Olaf,top,0,1
16.04,Ornn,top,1,0
16.04,Ryze,mid,0,1
16.04,Taric,sup,1,0
16.04,Varus,top,1,0
16.04,Xin Zhao,jng,1,0
16.07,Bard,sup,1,1
16.07,Jarvan IV,jng,0,2
16.07,Rumble,top,0,2
16.07,Ambessa,top,0,1
16.07,Annie,mid,1,0
16.07,Aurora,top,1,0
16.07,Dr. Mundo,jng,1,0
16.07,Ezreal,bot,1,0
16.07,Jhin,bot,1,0
16.07,Karma,sup,1,0
16.07,LeBlanc,mid,0,1
16.07,Olaf,top,1,0
16.07,Orianna,mid,1,0
16.07,Ryze,mid,0,1
16.07,Varus,bot,0,1
16.07,Viktor,mid,0,1
16.07,Xin Zhao,jng,1,0
16.08,Orianna,mid,1,4
16.08,Seraphine,sup,1,4
16.08,Renekton,top,2,2
16.08,Akali,mid,1,2
16.08,Bard,sup,1,2
16.08,Jarvan IV,jng,1,2
16.08,LeBlanc,mid,0,3
16.08,Olaf,top,0,3
16.08,Rumble,top,1,2
16.08,Xin Zhao,jng,1,2
16.08,Ambessa,top,2,0
16.08,Anivia,mid,2,0
16.08,Ashe,bot,2,0
16.08,Azir,mid,1,1
16.08,Ezreal,bot,2,0
16.08,K'Sante,top,1,1
16.08,Nautilus,sup,2,0
16.08,Neeko,sup,1,1
16.08,Nocturne,jng,0,2
16.08,Ornn,top,0,2
16.08,Vi,jng,1,1
16.08,Viktor,mid,2,0
16.08,Wukong,jng,2,0
16.08,Ahri,mid,0,1
16.08,Ambessa,jng,1,0
16.08,Annie,mid,1,0
16.08,Braum,sup,1,0
16.08,Caitlyn,bot,1,0
16.08,Corki,bot,1,0
16.08,Dr. Mundo,jng,1,0
16.08,Gnar,top,1,0
16.08,Karma,sup,0,1
16.08,Lee Sin,jng,1,0
16.08,Lucian,bot,1,0
16.08,Lulu,sup,1,0
16.08,Nami,sup,1,0
16.08,Rakan,sup,0,1
16.08,Ryze,mid,0,1
16.08,Syndra,mid,0,1
16.08,Vayne,top,1,0
16.08,Yone,mid,0,1
16.08,Yunara,bot,1,0
16.09,Karma,sup,1,2
16.09,Orianna,mid,0,3
16.09,Seraphine,sup,0,3
16.09,Akali,mid,0,2
16.09,Ambessa,top,1,1
16.09,Xin Zhao,jng,2,0
16.09,Annie,mid,1,0
16.09,Ashe,bot,1,0
16.09,Aurora,mid,1,0
16.09,Corki,bot,1,0
16.09,Ezreal,bot,0,1
16.09,Hwei,mid,0,1
16.09,Jax,top,0,1
16.09,K'Sante,top,1,0
16.09,LeBlanc,mid,0,1
16.09,Lulu,sup,1,0
16.09,Nami,sup,1,0
16.09,Nautilus,sup,1,0
16.09,Nocturne,jng,0,1
16.09,Ornn,top,1,0
16.09,Renekton,top,0,1
16.09,Ryze,mid,0,1
16.09,Skarner,jng,1,0
16.09,Syndra,mid,1,0
16.09,Varus,bot,1,0
16.09,Vi,jng,0,1
16.09,Viktor,mid,1,0
16.09,Wukong,jng,1,0
16.09,Yone,mid,0,1
16.09,Yunara,bot,1,0
16.09,Zaahen,top,1,0
16.1,Rumble,top,1,2
16.1,Seraphine,sup,0,3
16.1,Akali,mid,0,2
16.1,Ambessa,top,0,2
16.1,Annie,mid,1,1
16.1,Hwei,mid,2,0
16.1,Jarvan IV,jng,1,1
16.1,K'Sante,top,0,2
16.1,Karma,sup,2,0
16.1,Nocturne,jng,0,2
16.1,Orianna,mid,0,2
16.1,Wukong,jng,0,2
16.1,Ahri,mid,0,1
16.1,Ashe,bot,1,0
16.1,Bard,sup,1,0
