patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.01,Alistar,sup,1,0,1,1,0,1
16.01,Jayce,top,0,1,1,0,1,1
16.01,Malphite,jng,0,1,1,0,1,1
16.01,Ornn,top,1,0,1,1,0,1
16.01,Qiyana,jng,1,0,1,1,0,1
16.01,Ryze,mid,0,1,1,0,1,1
16.01,Syndra,mid,1,0,1,1,0,1
16.01,Xin Zhao,jng,0,1,1,0,1,1
16.01,Yunara,bot,1,0,1,1,0,1
16.01,Ziggs,bot,0,1,1,0,1,1
16.02,Alistar,sup,3,1,4,3,1,4
16.02,Caitlyn,bot,2,2,4,2,2,4
16.02,Qiyana,jng,0,3,3,0,3,3
16.02,Rumble,top,1,2,3,1,2,3
16.02,Yunara,bot,0,3,3,0,3,3
16.02,Jayce,top,0,2,2,0,2,2
16.02,Orianna,mid,2,0,2,2,0,2
16.02,Aatrox,jng,1,0,1,1,0,1
16.02,Azir,mid,1,0,1,1,0,1
16.02,Bard,sup,0,1,1,0,1,1
16.02,Corki,bot,0,1,1,0,1,1
16.02,Dr. Mundo,jng,1,0,1,1,0,1
16.02,Draven,bot,0,1,1,0,1,1
16.02,Elise,sup,0,1,1,0,1,1
16.02,Ezreal,bot,1,0,1,1,0,1
16.02,Jarvan IV,jng,0,1,1,0,1,1
16.02,Jayce,jng,1,0,1,1,0,1
16.02,K'Sante,top,1,0,1,1,0,1
16.02,Malphite,jng,0,1,1,0,1,1
16.02,Ornn,top,1,0,1,1,0,1
16.02,Rakan,sup,1,0,1,1,0,1
16.02,Renekton,top,1,0,1,1,0,1
16.02,Sivir,bot,1,0,1,1,0,1
16.02,Syndra,mid,0,1,1,0,1,1
16.02,Taliyah,mid,1,0,1,1,0,1
16.02,Wukong,jng,1,0,1,1,0,1
16.03,Alistar,sup,2,4,6,2,4,6
16.03,Caitlyn,bot,1,4,5,1,4,5
16.03,Azir,mid,3,1,4,3,1,4
16.03,Rumble,top,2,2,4,2,2,4
16.03,Corki,bot,2,1,3,2,1,3
16.03,Sion,top,3,0,3,3,0,3
16.03,Taliyah,mid,2,1,3,2,1,3
16.03,Vi,jng,2,1,3,2,1,3
16.03,Jarvan IV,jng,1,1,2,1,1,2
16.03,Neeko,sup,1,1,2,1,1,2
16.03,Orianna,mid,0,2,2,0,2,2
16.03,Renekton,top,0,2,2,0,2,2
16.03,Syndra,mid,0,2,2,0,2,2
16.03,Varus,bot,1,1,2,1,1,2
16.03,Yunara,bot,2,0,2,2,0,2
16.03,Ambessa,top,0,1,1,0,1,1
16.03,Dr. Mundo,jng,0,1,1,0,1,1
16.03,Jayce,jng,1,0,1,1,0,1
16.03,K'Sante,top,1,0,1,1,0,1
16.03,Kai'Sa,bot,0,1,1,0,1,1
16.03,Leona,sup,1,0,1,1,0,1
16.03,Lulu,sup,1,0,1,1,0,1
16.03,Nami,sup,1,0,1,1,0,1
16.03,Nautilus,sup,0,1,1,0,1,1
16.03,Nocturne,jng,1,0,1,1,0,1
16.03,Ornn,top,0,1,1,0,1,1
16.03,Pantheon,jng,0,1,1,0,1,1
16.03,Wukong,jng,1,0,1,1,0,1
16.03,Xin Zhao,jng,0,1,1,0,1,1
16.03,Ziggs,mid,1,0,1,1,0,1
16.04,Rumble,top,0,8,2,0,1,1
16.04,Caitlyn,bot,1,4,2,1,1,2
16.04,Qiyana,jng,0,4,2,0,1,1
16.04,Sion,top,1,3,2,1,1,2
16.04,Azir,mid,0,3,1,0,1,1
16.04,Ezreal,bot,1,2,2,0,1,1
16.04,Nautilus,sup,0,3,2,0,1,1
16.04,Vi,jng,1,2,2,1,1,2
16.04,Alistar,sup,2,0,2,2,0,2
16.04,Jarvan IV,jng,0,2,1,0,1,1
16.04,K'Sante,top,2,0,2,1,0,1
16.04,Karma,sup,2,0,2,0,0,0
16.04,Lulu,sup,2,0,2,0,0,0
16.04,Mel,mid,1,1,2,0,0,0
16.04,Nocturne,jng,2,0,2,0,0,0
16.04,Orianna,mid,1,1,2,0,0,0
16.04,Sivir,bot,2,0,2,1,0,1
16.04,Taliyah,mid,1,1,2,1,1,2
16.04,Viktor,mid,2,0,2,0,0,0
16.04,Xin Zhao,jng,2,0,2,1,0,1
16.04,Yorick,top,1,1,2,0,0,0
16.04,Yunara,bot,2,0,2,0,0,0
16.04,Aatrox,jng,1,0,1,0,0,0
16.04,Akali,mid,1,0,1,1,0,1
16.04,Ambessa,top,1,0,1,0,0,0
16.04,Anivia,mid,1,0,1,0,0,0
