patch,champ,role,picks_by,bans_vs
16.03,Aurora,mid,0,2
16.03,Olaf,top,0,2
16.03,Orianna,mid,0,2
16.03,Akali,mid,1,0
16.03,Ashe,bot,0,1
16.03,Braum,sup,1,0
16.03,Ezreal,bot,0,1
16.03,Hecarim,jng,1,0
16.03,Irelia,mid,1,0
16.03,Jhin,bot,1,0
16.03,Karma,sup,1,0
16.03,Miss Fortune,bot,1,0
16.03,Neeko,sup,0,1
16.03,Nidalee,jng,1,0
16.03,Sylas,mid,0,1
16.03,Tryndamere,top,1,0
16.03,Vayne,top,1,0
16.04,Akali,mid,1,1
16.04,Irelia,top,0,2
16.04,Nidalee,jng,0,2
16.04,Olaf,top,0,2
16.04,Ashe,bot,1,0
16.04,Braum,sup,1,0
16.04,Hecarim,jng,1,0
16.04,Jax,top,1,0
16.04,Sivir,bot,0,1
16.04,Sylas,mid,1,0
16.04,Taric,sup,1,0
16.04,Varus,top,1,0
16.04,Vayne,top,0,1
16.04,Vi,jng,1,0
16.04,Xayah,bot,0,1
16.04,Yunara,bot,1,0
16.09,Anivia,mid,2,1
16.09,Aurora,mid,1,2
16.09,Orianna,mid,0,3
16.09,Ambessa,top,0,2
16.09,Corki,bot,0,2
16.09,Karma,sup,2,0
16.09,Naafiri,jng,0,2
16.09,Olaf,top,0,2
16.09,Sion,top,0,2
16.09,Syndra,mid,1,1
16.09,Wukong,jng,2,0
16.09,Ashe,bot,1,0
16.09,Braum,sup,1,0
16.09,Draven,bot,1,0
16.09,Ezreal,bot,1,0
16.09,Gnar,top,1,0
16.09,Gwen,top,0,1
16.09,Jinx,bot,1,0
16.09,K'Sante,top,1,0
16.09,Lucian,bot,0,1
16.09,Lulu,sup,1,0
16.09,Malphite,jng,0,1
16.09,Nami,sup,1,0
16.09,Nautilus,sup,0,1
16.09,Pantheon,jng,0,1
16.09,Poppy,top,1,0
16.09,Renekton,top,0,1
16.09,Sivir,bot,1,0
16.09,Viktor,mid,1,0
16.09,Vladimir,top,1,0
16.09,Vladimir,mid,0,1
16.09,Volibear,jng,1,0
16.09,Xayah,bot,0,1
16.09,Xin Zhao,jng,1,0
16.09,Zaahen,top,1,0
16.09,Zaahen,jng,1,0
16.1,Naafiri,jng,0,2
16.1,Olaf,top,0,2
16.1,Syndra,mid,1,1
16.1,Ashe,bot,1,0
16.1,Bard,sup,1,0
16.1,Ezreal,bot,1,0
16.1,Gwen,top,0,1
16.1,Hwei,mid,1,0
16.1,Karma,sup,1,0
16.1,Orianna,mid,0,1
16.1,Varus,top,1,0
16.1,Vayne,top,0,1
16.1,Viktor,mid,0,1
16.1,Volibear,jng,1,0
16.1,Wukong,jng,0,1
16.1,Yone,top,1,0
16.1,Zaahen,jng,1,0
