patch,champ,role,picks_vs,bans_vs
16.02,Varus,bot,2,4
16.02,K'Sante,top,1,4
16.02,Neeko,sup,2,3
16.02,Ambessa,top,1,3
16.02,Ryze,mid,2,2
16.02,Azir,mid,3,0
16.02,Ezreal,bot,2,1
16.02,Orianna,mid,1,2
16.02,Alistar,sup,1,1
16.02,Nautilus,sup,1,1
16.02,Qiyana,jng,2,0
16.02,Renekton,top,2,0
16.02,Sion,top,1,1
16.02,Skarner,jng,1,1
16.02,Yunara,bot,1,1
16.02,Aatrox,jng,1,0
16.02,Ahri,mid,1,0
16.02,Caitlyn,bot,0,1
16.02,Cassiopeia,mid,0,1
16.02,Corki,bot,0,1
16.02,Dr. Mundo,jng,1,0
16.02,Garen,top,0,1
16.02,Gnar,top,0,1
16.02,Gragas,top,0,1
16.02,Hwei,mid,1,0
16.02,Irelia,top,1,0
16.02,Ivern,jng,0,1
16.02,Jarvan IV,jng,1,0
16.02,Jax,top,1,0
16.02,Jhin,bot,1,0
16.02,Kai'Sa,bot,1,0
16.02,Karma,sup,1,0
16.02,LeBlanc,mid,0,1
16.02,Leona,sup,0,1
16.02,Lucian,bot,1,0
16.02,Lulu,sup,0,1
16.02,Mordekaiser,top,0,1
16.02,Nami,sup,1,0
16.02,Pantheon,jng,0,1
16.02,Poppy,sup,0,1
16.02,Rakan,sup,1,0
16.02,Rell,sup,1,0
16.02,Ryze,top,1,0
16.02,Seraphine,sup,0,1
16.02,Trundle,jng,1,0
16.02,Vi,jng,0,1
16.02,Xin Zhao,jng,1,0
16.02,Yorick,top,0,1
16.03,Orianna,mid,2,2
16.03,Ambessa,top,1,2
16.03,Ryze,mid,0,3
16.03,Varus,bot,1,2
16.03,Ezreal,bot,2,0
16.03,Galio,mid,2,0
16.03,Ivern,jng,0,2
16.03,K'Sante,top,1,1
16.03,Karma,sup,1,1
16.03,Neeko,sup,0,2
16.03,Poppy,sup,1,1
16.03,Skarner,jng,0,2
16.03,Vi,jng,2,0
16.03,Yorick,top,0,2
16.03,Alistar,sup,1,0
16.03,Ashe,bot,1,0
16.03,Bard,sup,0,1
16.03,Caitlyn,bot,1,0
16.03,Corki,bot,0,1
16.03,Elise,sup,1,0
16.03,Gnar,top,1,0
16.03,Gwen,jng,1,0
16.03,Jarvan IV,jng,1,0
16.03,Jayce,top,0,1
16.03,Lee Sin,jng,1,0
16.03,Lulu,sup,1,0
16.03,Malphite,jng,0,1
16.03,Nami,sup,0,1
16.03,Nautilus,sup,0,1
16.03,Rakan,sup,1,0
16.03,Renekton,top,1,0
16.03,Seraphine,sup,0,1
16.03,Sion,top,1,0
16.03,Syndra,mid,1,0
16.03,Taliyah,mid,1,0
16.03,Taliyah,jng,1,0
16.03,Xin Zhao,jng,0,1
16.03,Yasuo,top,1,0
16.03,Yone,mid,0,1
16.03,Yunara,bot,1,0
16.03,Zyra,jng,0,1
