patch,champ,role,picks_by,bans_vs,series_presence
16.01,Malphite,jng,1,3,2
16.01,Jayce,top,0,3,2
16.01,Orianna,mid,0,3,2
16.01,Ahri,mid,1,1,2
16.01,Akali,mid,0,2,2
16.01,Alistar,sup,1,1,1
16.01,Ryze,mid,1,1,1
16.01,Varus,bot,1,1,2
16.01,Ambessa,jng,1,0,1
16.01,Azir,mid,0,1,1
16.01,Braum,sup,1,0,1
16.01,Corki,bot,1,0,1
16.01,Jarvan IV,jng,1,0,1
16.01,K'Sante,top,1,0,1
16.01,LeBlanc,mid,0,1,1
16.01,Miss Fortune,bot,1,0,1
16.01,Neeko,sup,0,1,1
16.01,Nocturne,jng,1,0,1
16.01,Qiyana,jng,0,1,1
16.01,Rakan,sup,1,0,1
16.01,Rell,sup,1,0,1
16.01,Renekton,top,1,0,1
16.01,Rumble,top,1,0,1
16.01,Sion,top,1,0,1
16.01,Syndra,mid,1,0,1
16.01,Taliyah,mid,0,1,1
16.01,Yunara,bot,1,0,1
16.01,Zoe,mid,1,0,1
16.02,Akali,mid,1,4,4
16.02,Jayce,top,0,5,4
16.02,Orianna,mid,2,3,4
16.02,Jarvan IV,jng,2,2,2
16.02,Neeko,sup,1,3,3
16.02,Varus,bot,0,4,3
16.02,Vi,jng,2,2,3
16.02,Ashe,bot,2,1,2
16.02,K'Sante,top,3,0,3
16.02,Renekton,top,1,2,3
16.02,Ryze,mid,1,2,2
16.02,Yunara,bot,2,1,3
16.02,Alistar,sup,1,1,2
16.02,Aurora,mid,2,0,2
16.02,Gwen,top,0,2,2
16.02,Jax,top,1,1,2
16.02,Lulu,sup,0,2,2
16.02,Nautilus,sup,1,1,2
16.02,Rell,sup,2,0,2
16.02,Rumble,top,1,1,2
16.02,Seraphine,sup,2,0,2
16.02,Sion,top,2,0,2
16.02,Taliyah,mid,2,0,2
16.02,Trundle,jng,2,0,2
16.02,Xin Zhao,jng,1,1,2
16.02,Ambessa,top,0,1,1
16.02,Aphelios,bot,1,0,1
16.02,Braum,sup,0,1,1
16.02,Corki,bot,1,0,1
16.02,Ekko,mid,1,0,1
16.02,Gnar,top,1,0,1
16.02,Kai'Sa,bot,1,0,1
16.02,Karma,sup,0,1,1
16.02,Lucian,bot,1,0,1
16.02,Malphite,jng,0,1,1
16.02,Miss Fortune,bot,0,1,1
16.02,Nami,sup,1,0,1
16.02,Pantheon,jng,0,1,1
16.02,Poppy,sup,0,1,1
16.02,Sivir,bot,1,0,1
16.02,Thresh,sup,1,0,1
16.02,Viego,jng,1,0,1
16.02,Wukong,jng,1,0,1
16.07,Jax,top,1,1,1
16.07,Rumble,top,0,2,1
16.07,Varus,bot,0,2,1
16.07,Akali,mid,0,1,1
16.07,Alistar,sup,1,0,1
16.07,Ashe,bot,0,1,1
16.07,Aurora,mid,0,1,1
16.07,Cassiopeia,mid,1,0,1
16.07,Corki,bot,1,0,1
16.07,Ezreal,bot,1,0,1
16.07,Jarvan IV,jng,1,0,1
16.07,Karma,sup,0,1,1
16.07,Naafiri,jng,1,0,1
16.07,Nami,sup,1,0,1
16.07,Renekton,top,0,1,1
16.07,Twisted Fate,mid,1,0,1
16.07,Udyr,top,1,0,1
16.08,Karma,sup,0,5,2
16.08,Rumble,top,0,4,2
16.08,Ambessa,top,1,2,2
16.08,Nami,sup,1,2,2
16.08,Yorick,top,2,1,2
16.08,Ashe,bot,2,0,2
16.08,Corki,bot,2,0,2
16.08,Jarvan IV,jng,1,1,2
16.08,Orianna,mid,1,1,2
16.08,Pantheon,jng,2,0,2
16.08,Ryze,mid,1,1,1
16.08,Seraphine,sup,2,0,2
16.08,Vi,jng,1,1,2
16.08,Ahri,mid,1,0,1
16.08,Akali,mid,0,1,1
16.08,Anivia,sup,1,0,1
16.08,Aurora,mid,1,0,1
16.08,Ezreal,bot,1,0,1
16.08,K'Sante,top,1,0,1
16.08,Nautilus,sup,0,1,1
16.08,Neeko,sup,0,1,1
16.08,Rakan,sup,1,0,1
16.08,Renata Glasc,sup,0,1,1
16.08,Sylas,mid,1,0,1
16.08,Twisted Fate,mid,0,1,1
16.08,Varus,bot,0,1,1
16.08,Vayne,top,0,1,1
16.08,Wukong,top,1,0,1
16.08,Xin Zhao,jng,1,0,1
16.09,Nocturne,jng,1,3,2
16.09,Orianna,mid,0,4,2
16.09,Akali,mid,1,2,2
16.09,Karma,sup,1,2,2
16.09,Pantheon,jng,2,1,2
16.09,Rumble,top,0,3,1
16.09,Vi,jng,0,3,1
16.09,Caitlyn,bot,1,1,1
16.09,Jarvan IV,jng,2,0,2
16.09,K'Sante,top,2,0,2
16.09,Ryze,mid,2,0,2
16.09,Yorick,top,2,0,2
16.09,Ahri,mid,1,0,1
16.09,Ambessa,top,0,1,1
16.09,Ashe,bot,1,0,1
16.09,Aurora,mid,1,0,1
16.09,Bard,sup,1,0,1
16.09,Corki,bot,1,0,1
16.09,Ezreal,bot,1,0,1
16.09,Jax,top,0,1,1
16.09,Lucian,bot,0,1,1
16.09,Nami,sup,1,0,1
16.09,Seraphine,sup,1,0,1
16.09,Twisted Fate,mid,0,1,1
16.09,Udyr,top,1,0,1
16.09,Varus,bot,0,1,1
16.09,Vayne,top,0,1,1
16.09,Yuumi,sup,1,0,1
16.09,Zeri,bot,1,0,1
