patch,champ,role,picks_vs,bans_vs
16.01,Malphite,jng,0,4
16.01,Lulu,sup,1,2
16.01,Yunara,bot,0,3
16.01,Azir,mid,1,1
16.01,K'Sante,top,2,0
16.01,Rakan,sup,2,0
16.01,Rumble,top,2,0
16.01,Taliyah,mid,2,0
16.01,Xin Zhao,jng,2,0
16.01,Ambessa,top,0,1
16.01,Aphelios,bot,1,0
16.01,Bard,sup,1,0
16.01,Braum,sup,0,1
16.01,Caitlyn,bot,1,0
16.01,Cassiopeia,mid,0,1
16.01,Corki,bot,0,1
16.01,Ezreal,bot,0,1
16.01,Gwen,top,0,1
16.01,Kai'Sa,bot,1,0
16.01,Nautilus,sup,0,1
16.01,Neeko,sup,0,1
16.01,Orianna,mid,0,1
16.01,Pantheon,jng,1,0
16.01,Rell,sup,0,1
16.01,Ryze,mid,1,0
16.01,Vi,jng,1,0
16.01,Xayah,bot,1,0
16.02,Wukong,jng,0,3
16.02,Alistar,sup,0,2
16.02,Corki,bot,1,1
16.02,Jarvan IV,jng,1,1
16.02,Varus,bot,0,2
16.02,Aatrox,jng,1,0
16.02,Ambessa,top,0,1
16.02,Anivia,mid,1,0
16.02,Azir,mid,1,0
16.02,Bard,sup,1,0
16.02,Braum,sup,1,0
16.02,Caitlyn,bot,0,1
16.02,K'Sante,top,1,0
16.02,Kai'Sa,bot,0,1
16.02,Karma,sup,0,1
16.02,Kennen,top,1,0
16.02,Lucian,bot,1,0
16.02,Lulu,sup,0,1
16.02,Pantheon,jng,0,1
16.02,Qiyana,jng,1,0
16.02,Rakan,sup,1,0
16.02,Sion,mid,1,0
16.02,Volibear,top,1,0
16.02,Yunara,bot,1,0
16.03,Orianna,mid,2,2
16.03,Yunara,bot,1,3
16.03,Wukong,jng,2,1
16.03,K'Sante,top,2,0
16.03,Lulu,sup,0,2
16.03,Ryze,mid,1,1
16.03,Varus,bot,1,1
16.03,Vi,jng,0,2
16.03,Xin Zhao,jng,1,1
16.03,Aatrox,top,1,0
16.03,Ambessa,jng,1,0
16.03,Aphelios,bot,0,1
16.03,Braum,sup,0,1
16.03,Corki,bot,1,0
16.03,Ezreal,bot,1,0
16.03,Jinx,bot,0,1
16.03,Kai'Sa,bot,0,1
16.03,Nami,sup,1,0
16.03,Neeko,sup,1,0
16.03,Ornn,top,1,0
16.03,Poppy,sup,1,0
16.03,Pyke,sup,1,0
16.03,Sivir,bot,0,1
16.03,Sylas,mid,1,0
16.03,Taliyah,mid,0,1
16.03,Tristana,bot,0,1
