patch,champ,role,picks_by,bans_vs,series_presence,picks_by_g1,bans_vs_g1,series_presence_g1
16.02,Orianna,mid,4,3,7,4,3,7
16.02,Braum,sup,3,2,5,3,2,5
16.02,Ambessa,top,2,2,4,2,2,4
16.02,Syndra,mid,2,2,4,2,2,4
16.02,Jarvan IV,jng,1,2,3,1,2,3
16.02,Neeko,sup,0,3,3,0,3,3
16.02,Varus,bot,2,1,3,2,1,3
16.02,Wukong,jng,3,0,3,3,0,3
16.02,Aatrox,top,2,0,2,2,0,2
16.02,Aphelios,bot,2,0,2,2,0,2
16.02,Gwen,top,0,2,2,0,2,2
16.02,Jax,top,1,1,2,1,1,2
16.02,K'Sante,top,1,1,2,1,1,2
16.02,Kai'Sa,bot,1,1,2,1,1,2
16.02,Nocturne,jng,0,2,2,0,2,2
16.02,Vi,jng,2,0,2,2,0,2
16.02,Ahri,mid,0,1,1,0,1,1
16.02,Akali,top,1,0,1,1,0,1
16.02,Alistar,sup,1,0,1,1,0,1
16.02,Ashe,bot,1,0,1,1,0,1
16.02,Bard,sup,1,0,1,1,0,1
16.02,Diana,jng,0,1,1,0,1,1
16.02,Galio,mid,1,0,1,1,0,1
16.02,Gwen,jng,1,0,1,1,0,1
16.02,Lee Sin,jng,0,1,1,0,1,1
16.02,Leona,sup,0,1,1,0,1,1
16.02,Lucian,bot,1,0,1,1,0,1
16.02,Malphite,jng,0,1,1,0,1,1
16.02,Miss Fortune,bot,0,1,1,0,1,1
16.02,Nautilus,sup,1,0,1,1,0,1
16.02,Poppy,sup,1,0,1,1,0,1
16.02,Rakan,sup,0,1,1,0,1,1
16.02,Renekton,top,0,1,1,0,1,1
16.02,Rumble,top,0,1,1,0,1,1
16.02,Taliyah,mid,0,1,1,0,1,1
16.02,Thresh,sup,0,1,1,0,1,1
16.02,Yunara,bot,0,1,1,0,1,1
16.02,Zyra,jng,0,1,1,0,1,1
16.03,Orianna,mid,2,3,5,2,3,5
16.03,Neeko,sup,0,4,4,0,4,4
16.03,Syndra,mid,4,0,4,4,0,4
16.03,Varus,bot,2,2,4,2,2,4
16.03,Ambessa,top,1,2,3,1,2,3
