patch,champ,role,picks_vs,bans_vs
16.04,Orianna,mid,1,3
16.04,Ezreal,bot,3,0
16.04,Karma,sup,3,0
16.04,Neeko,sup,1,2
16.04,Ryze,mid,1,2
16.04,Ahri,mid,1,1
16.04,K'Sante,top,0,2
16.04,Lulu,sup,0,2
16.04,Varus,bot,1,1
16.04,Yunara,bot,0,2
16.04,Aatrox,jng,1,0
16.04,Akali,mid,1,0
16.04,Anivia,mid,1,0
16.04,Ashe,bot,0,1
16.04,Azir,mid,0,1
16.04,Dr. Mundo,jng,0,1
16.04,Gnar,top,1,0
16.04,Graves,jng,1,0
16.04,Jax,top,1,0
16.04,Jinx,bot,1,0
16.04,Naafiri,jng,0,1
16.04,Ornn,top,1,0
16.04,Qiyana,jng,1,0
16.04,Rek'Sai,top,0,1
16.04,Renekton,top,0,1
16.04,Sion,top,0,1
16.04,Sivir,bot,0,1
16.04,Taliyah,mid,0,1
16.04,Thresh,sup,1,0
16.04,Vi,jng,1,0
16.04,Wukong,jng,0,1
16.04,Yone,top,1,0
16.04,Zaahen,top,1,0
16.04,Zed,jng,1,0
16.05,Rumble,top,0,4
16.05,Ashe,bot,3,0
16.05,Jarvan IV,jng,1,2
16.05,Lulu,sup,1,2
16.05,Akali,mid,0,2
16.05,Aurora,mid,1,1
16.05,K'Sante,top,2,0
16.05,Karma,sup,0,2
16.05,Naafiri,jng,1,1
16.05,Nautilus,sup,1,1
16.05,Neeko,sup,0,2
16.05,Orianna,mid,0,2
16.05,Ryze,mid,2,0
16.05,Seraphine,sup,2,0
16.05,Sion,top,0,2
16.05,Sylas,mid,0,2
16.05,Aatrox,top,1,0
16.05,Alistar,sup,0,1
16.05,Ambessa,top,1,0
16.05,Anivia,mid,1,0
16.05,Annie,mid,1,0
16.05,Aphelios,bot,1,0
16.05,Corki,bot,1,0
16.05,Dr. Mundo,jng,0,1
16.05,Galio,mid,1,0
16.05,Gwen,top,1,0
16.05,Jayce,jng,1,0
16.05,Leona,sup,0,1
16.05,Nami,sup,0,1
16.05,Nocturne,jng,0,1
16.05,Poppy,sup,1,0
16.05,Qiyana,jng,1,0
16.05,Rell,sup,1,0
16.05,Renekton,top,0,1
16.05,Xin Zhao,jng,1,0
16.05,Yunara,bot,0,1
16.05,Zaahen,top,1,0
16.05,Zaahen,jng,1,0
16.05,Ziggs,bot,1,0
16.07,Neeko,sup,0,5
16.07,Bard,sup,3,1
16.07,Yunara,bot,3,1
16.07,Ashe,bot,0,3
16.07,Karma,sup,0,3
16.07,Viktor,mid,1,2
16.07,Ambessa,jng,2,0
16.07,Caitlyn,bot,1,1
16.07,Ezreal,bot,1,1
16.07,Jarvan IV,jng,1,1
16.07,K'Sante,top,1,1
16.07,Naafiri,jng,0,2
16.07,Pantheon,jng,0,2
16.07,Rumble,top,1,1
16.07,Sion,top,1,1
16.07,Xin Zhao,jng,1,1
16.07,Ambessa,top,1,0
16.07,Anivia,mid,1,0
16.07,Annie,mid,1,0
16.07,Cassiopeia,mid,1,0
16.07,Darius,jng,1,0
16.07,Elise,sup,1,0
16.07,Gnar,top,1,0
16.07,Hwei,mid,1,0
16.07,Lee Sin,jng,0,1
16.07,Lulu,sup,1,0
16.07,Nautilus,sup,1,0
16.07,Ornn,top,1,0
16.07,Sylas,mid,0,1
16.07,Syndra,mid,1,0
16.07,Taliyah,jng,1,0
16.07,Varus,bot,1,0
16.07,Vi,jng,0,1
16.07,Wukong,jng,0,1
16.08,Ezreal,bot,1,4
16.08,Nautilus,sup,3,2
16.08,Ryze,mid,2,3
16.08,Rumble,top,0,4
16.08,Corki,bot,0,3
16.08,Jarvan IV,jng,1,2
16.08,Karma,sup,2,1
16.08,Viktor,mid,2,1
16.08,Xin Zhao,jng,2,1
16.08,Ambessa,top,2,0
16.08,Bard,sup,1,1
16.08,Braum,sup,0,2
16.08,Caitlyn,bot,2,0
16.08,Jhin,bot,2,0
16.08,Lee Sin,jng,0,2
16.08,Naafiri,jng,0,2
16.08,Renekton,top,1,1
16.08,Seraphine,sup,1,1
16.08,Sion,top,1,1
16.08,Ambessa,jng,1,0
16.08,Annie,mid,0,1
16.08,Ashe,bot,0,1
16.08,Aurora,mid,1,0
16.08,Aurora,top,1,0
16.08,Galio,mid,1,0
16.08,Gnar,top,1,0
16.08,Jax,top,1,0
16.08,K'Sante,top,0,1
16.08,Kai'Sa,bot,1,0
16.08,Kalista,bot,1,0
16.08,Lucian,bot,0,1
16.08,Mel,mid,1,0
16.08,Nidalee,jng,1,0
16.08,Olaf,jng,1,0
16.08,Ornn,top,1,0
16.08,Pantheon,jng,0,1
16.08,Rell,sup,0,1
16.08,Sivir,bot,0,1
16.08,Soraka,sup,1,0
16.08,Syndra,mid,1,0
16.08,Vi,jng,1,0
16.08,Xayah,bot,0,1
16.08,Yone,mid,0,1
16.08,Yunara,bot,1,0
16.08,Zyra,jng,1,0
