patch,champ,role,picks_vs,bans_vs
16.02,Braum,sup,2,2
16.02,LeBlanc,mid,0,4
16.02,Varus,bot,0,4
16.02,Galio,mid,3,0
16.02,Jarvan IV,jng,2,1
16.02,Malphite,jng,0,3
16.02,Neeko,sup,0,3
16.02,Rakan,sup,2,1
16.02,Yunara,bot,3,0
16.02,Alistar,sup,2,0
16.02,Azir,mid,1,1
16.02,Illaoi,top,0,2
16.02,Jayce,top,0,2
16.02,K'Sante,top,2,0
16.02,Qiyana,jng,0,2
16.02,Renekton,top,2,0
16.02,Ryze,mid,1,1
16.02,Seraphine,sup,0,2
16.02,Sivir,bot,2,0
16.02,Yorick,top,0,2
16.02,Ahri,mid,0,1
16.02,Akali,top,1,0
16.02,Akali,mid,0,1
16.02,Ambessa,jng,1,0
16.02,Ambessa,top,0,1
16.02,Aphelios,bot,1,0
16.02,Corki,bot,1,0
16.02,Gwen,jng,1,0
16.02,Jayce,jng,1,0
16.02,Kennen,top,1,0
16.02,Lulu,sup,1,0
16.02,Nautilus,sup,0,1
16.02,Orianna,mid,0,1
16.02,Rumble,top,1,0
16.02,Veigar,mid,1,0
16.02,Vi,jng,1,0
16.02,Xin Zhao,jng,1,0
16.02,Yone,mid,1,0
16.03,Varus,bot,3,2
16.03,LeBlanc,mid,0,4
16.03,Orianna,mid,2,2
16.03,Gwen,top,0,3
16.03,Neeko,sup,2,1
16.03,Qiyana,jng,1,2
16.03,Ahri,mid,0,2
16.03,Aurora,mid,2,0
16.03,Illaoi,top,0,2
16.03,K'Sante,top,2,0
16.03,Nautilus,sup,2,0
16.03,Seraphine,sup,1,1
16.03,Sion,top,2,0
16.03,Zaahen,top,0,2
16.03,Aatrox,top,1,0
16.03,Ambessa,top,0,1
16.03,Anivia,mid,0,1
16.03,Ashe,bot,0,1
16.03,Azir,mid,1,0
16.03,Braum,sup,0,1
16.03,Ezreal,bot,1,0
16.03,Gangplank,top,0,1
16.03,Gnar,top,0,1
16.03,Jarvan IV,jng,1,0
16.03,Jayce,top,0,1
16.03,Jhin,bot,1,0
16.03,Karma,sup,0,1
16.03,Kayle,top,0,1
16.03,Kha'Zix,jng,1,0
16.03,Lee Sin,jng,1,0
16.03,Leona,sup,1,0
16.03,Lulu,sup,1,0
16.03,Malzahar,mid,0,1
16.03,Miss Fortune,bot,0,1
16.03,Naafiri,jng,1,0
16.03,Ornn,top,1,0
16.03,Poppy,sup,0,1
16.03,Rakan,sup,0,1
16.03,Rumble,top,1,0
16.03,Ryze,mid,1,0
16.03,Sivir,bot,1,0
16.03,Skarner,jng,1,0
16.03,Syndra,mid,1,0
16.03,Trundle,jng,1,0
16.03,Yorick,top,0,1
16.03,Yunara,bot,1,0
16.07,Bard,sup,0,5
16.07,Karma,sup,0,3
16.07,LeBlanc,mid,1,2
16.07,Sion,top,2,1
16.07,Syndra,mid,2,1
16.07,Xin Zhao,jng,3,0
16.07,Ambessa,top,0,2
16.07,Caitlyn,bot,2,0
16.07,Gwen,top,1,1
16.07,Nautilus,sup,1,1
16.07,Nocturne,jng,1,1
16.07,Pantheon,jng,2,0
16.07,Viktor,mid,2,0
16.07,Ahri,mid,0,1
16.07,Akali,mid,0,1
16.07,Annie,mid,0,1
16.07,Ashe,bot,1,0
16.07,Aurora,mid,0,1
16.07,Braum,sup,0,1
16.07,Ezreal,bot,0,1
16.07,Galio,mid,0,1
16.07,K'Sante,top,1,0
16.07,Leona,sup,1,0
16.07,Lucian,bot,1,0
16.07,Mel,bot,1,0
16.07,Nami,sup,1,0
16.07,Neeko,sup,1,0
16.07,Pyke,sup,1,0
16.07,Renekton,top,0,1
16.07,Rumble,top,0,1
16.07,Senna,bot,1,0
16.07,Seraphine,sup,0,1
16.07,Shen,top,1,0
16.07,Sivir,bot,0,1
16.07,Sylas,mid,0,1
16.07,Tahm Kench,sup,1,0
16.07,Wukong,jng,0,1
16.07,Zaahen,top,1,0
16.07,Ziggs,mid,1,0
16.08,Karma,sup,3,2
16.08,Rumble,top,3,1
16.08,Ashe,bot,0,3
16.08,Bard,sup,1,2
16.08,Ezreal,bot,2,1
16.08,LeBlanc,mid,0,3
16.08,Yunara,bot,1,2
16.08,Akali,mid,0,2
16.08,Jarvan IV,jng,1,1
16.08,K'Sante,top,0,2
16.08,Kai'Sa,bot,1,1
16.08,Lucian,bot,1,1
16.08,Orianna,mid,0,2
16.08,Sion,top,0,2
16.08,Viktor,mid,2,0
16.08,Ambessa,top,0,1
16.08,Ambessa,jng,1,0
16.08,Anivia,mid,0,1
16.08,Braum,sup,0,1
16.08,Gnar,top,1,0
16.08,Hwei,mid,1,0
16.08,Jax,top,1,0
16.08,Jhin,bot,1,0
16.08,Lulu,sup,0,1
16.08,Mel,mid,1,0
16.08,Naafiri,jng,1,0
16.08,Nami,sup,1,0
16.08,Pantheon,jng,1,0
16.08,Qiyana,jng,1,0
16.08,Rek'Sai,jng,1,0
16.08,Rell,sup,1,0
16.08,Ryze,mid,1,0
16.08,Syndra,mid,1,0
16.08,Warwick,top,1,0
16.08,Wukong,jng,0,1
