patch,champ,role,picks_vs,bans_vs
16.01,Jayce,top,0,3
16.01,Malphite,jng,0,3
16.01,Alistar,sup,1,1
16.01,Ambessa,top,1,1
16.01,Taliyah,mid,2,0
16.01,Wukong,jng,1,1
16.01,Aatrox,top,1,0
16.01,Bard,sup,0,1
16.01,Corki,bot,1,0
16.01,Jarvan IV,jng,0,1
16.01,K'Sante,top,1,0
16.01,Nami,sup,1,0
16.01,Neeko,sup,0,1
16.01,Pantheon,jng,1,0
16.01,Poppy,sup,0,1
16.01,Rell,sup,1,0
16.01,Rumble,top,0,1
16.01,Sivir,bot,1,0
16.01,Swain,mid,1,0
16.01,Varus,bot,0,1
16.01,Vi,jng,1,0
16.01,Yunara,bot,1,0
16.02,Orianna,mid,1,1
16.02,Ryze,mid,1,1
16.02,Varus,bot,0,2
16.02,Amumu,jng,1,0
16.02,Braum,sup,1,0
16.02,Dr. Mundo,top,1,0
16.02,Jayce,top,0,1
16.02,Jinx,bot,1,0
16.02,Miss Fortune,bot,1,0
16.02,Nautilus,sup,0,1
16.02,Neeko,sup,0,1
16.02,Rakan,sup,1,0
16.02,Rell,sup,0,1
16.02,Rumble,top,1,0
16.02,Sivir,bot,0,1
16.02,Sylas,mid,0,1
16.02,Vi,jng,1,0
16.03,Aatrox,jng,0,1
16.03,Ahri,mid,1,0
16.03,Ambessa,top,1,0
16.03,Corki,bot,0,1
16.03,Gnar,top,0,1
16.03,Jayce,top,0,1
16.03,Jinx,bot,1,0
16.03,K'Sante,top,1,0
16.03,Malphite,jng,1,0
16.03,Naafiri,jng,1,0
16.03,Nocturne,jng,0,1
16.03,Pantheon,jng,0,1
16.03,Renekton,top,0,1
16.03,Sylas,mid,0,1
16.03,Tahm Kench,sup,1,0
16.03,Taliyah,mid,1,0
16.03,Thresh,sup,1,0
16.03,Varus,bot,0,1
16.03,Xayah,bot,0,1
16.03,Yunara,bot,1,0
16.04,Rumble,top,1,5
16.04,Varus,bot,1,4
16.04,Jarvan IV,jng,3,1
16.04,Pantheon,jng,1,3
16.04,Taliyah,mid,1,3
16.04,Ahri,mid,3,0
16.04,Ashe,bot,3,0
16.04,Corki,bot,0,3
16.04,Dr. Mundo,jng,1,2
16.04,Galio,mid,2,1
16.04,Nautilus,sup,1,2
16.04,Neeko,sup,1,2
16.04,Orianna,mid,0,3
16.04,Ryze,mid,2,1
16.04,Seraphine,sup,3,0
16.04,Sion,top,3,0
16.04,Vi,jng,1,2
16.04,Akali,mid,0,2
16.04,Alistar,sup,1,1
16.04,Braum,sup,0,2
16.04,Ezreal,bot,1,1
16.04,Gangplank,top,0,2
16.04,Jax,top,2,0
16.04,Naafiri,jng,0,2
16.04,Rakan,sup,2,0
16.04,Xin Zhao,jng,2,0
16.04,Ambessa,top,0,1
16.04,Ambessa,jng,1,0
16.04,Aphelios,bot,1,0
16.04,Aurora,mid,0,1
16.04,Azir,mid,1,0
16.04,Bard,sup,0,1
16.04,Blitzcrank,sup,0,1
16.04,Caitlyn,bot,1,0
16.04,Elise,sup,1,0
16.04,Gragas,top,1,0
16.04,Jayce,top,0,1
16.04,Jhin,bot,1,0
16.04,Kai'Sa,bot,0,1
16.04,Karma,sup,0,1
16.04,LeBlanc,mid,0,1
16.04,Lulu,sup,0,1
16.04,Lux,sup,1,0
16.04,Malphite,top,1,0
16.04,Mel,mid,0,1
16.04,Olaf,top,1,0
16.04,Pyke,sup,0,1
16.04,Rell,sup,1,0
16.04,Shen,top,1,0
16.04,Sivir,bot,1,0
16.04,Viktor,mid,1,0
16.04,Wukong,jng,1,0
16.04,Xayah,bot,1,0
16.04,Yone,mid,1,0
16.04,Yorick,top,0,1
16.04,Yunara,bot,0,1
16.04,Zaahen,jng,1,0
16.04,Zaahen,top,1,0
16.04,Ziggs,bot,1,0
16.05,Dr. Mundo,jng,0,2
16.05,Ahri,mid,0,1
16.05,Ambessa,top,0,1
16.05,Ashe,bot,1,0
16.05,Bard,sup,1,0
16.05,Caitlyn,bot,0,1
16.05,Gwen,top,1,0
16.05,Jarvan IV,jng,1,0
16.05,Mel,mid,1,0
16.05,Orianna,mid,0,1
16.05,Renekton,top,1,0
16.05,Seraphine,sup,1,0
16.05,Swain,mid,0,1
16.05,Sylas,mid,0,1
16.05,Syndra,mid,0,1
16.05,Taliyah,mid,1,0
16.05,Varus,bot,1,0
16.05,Vi,jng,0,1
16.05,Xin Zhao,jng,1,0
16.06,Caitlyn,bot,0,4
16.06,Ahri,mid,0,3
16.06,Nocturne,jng,0,3
16.06,Pantheon,jng,1,2
16.06,Dr. Mundo,jng,0,2
16.06,Ezreal,bot,1,1
16.06,Gnar,top,1,1
16.06,Jarvan IV,jng,2,0
16.06,Lulu,sup,2,0
16.06,Nautilus,sup,0,2
16.06,Sivir,bot,2,0
16.06,Aatrox,top,1,0
16.06,Akali,mid,0,1
16.06,Ambessa,top,1,0
16.06,Anivia,mid,1,0
16.06,Annie,mid,1,0
16.06,Aurora,mid,1,0
16.06,Galio,mid,1,0
16.06,Gwen,top,1,0
16.06,Jhin,bot,1,0
16.06,Karma,sup,1,0
16.06,Neeko,sup,1,0
16.06,Orianna,mid,0,1
16.06,Poppy,sup,1,0
16.06,Pyke,sup,0,1
16.06,Renekton,top,0,1
16.06,Rumble,top,1,0
16.06,Ryze,mid,0,1
16.06,Sylas,mid,1,0
16.06,Varus,bot,0,1
16.06,Vi,jng,1,0
16.06,Xayah,bot,1,0
16.06,Xin Zhao,jng,1,0
16.06,Yunara,bot,0,1
