patch,champ,role,picks_vs,bans_vs
16.06,Ambessa,top,2,0
16.06,Annie,mid,2,0
16.06,Lulu,sup,1,1
16.06,Orianna,mid,0,2
16.06,Pantheon,jng,1,1
16.06,Varus,bot,0,2
16.06,Alistar,sup,1,0
16.06,Ashe,bot,0,1
16.06,Bard,sup,0,1
16.06,Corki,bot,1,0
16.06,Ezreal,bot,1,0
16.06,Gnar,top,0,1
16.06,Gwen,top,0,1
16.06,Jarvan IV,jng,0,1
16.06,Neeko,sup,0,1
16.06,Nocturne,jng,1,0
16.06,Ornn,top,1,0
16.06,Rakan,sup,1,0
16.06,Renekton,top,0,1
16.06,Ryze,mid,1,0
16.06,Vi,jng,0,1
16.06,Wukong,jng,1,0
16.06,Xin Zhao,jng,0,1
16.06,Yunara,bot,1,0
16.07,Jarvan IV,jng,1,2
16.07,Ryze,mid,2,1
16.07,Varus,bot,0,3
16.07,Ambessa,top,2,0
16.07,Miss Fortune,bot,2,0
16.07,Nautilus,sup,1,1
16.07,Xin Zhao,jng,1,1
16.07,Anivia,mid,0,1
16.07,Azir,mid,0,1
16.07,Cassiopeia,mid,0,1
16.07,Corki,bot,0,1
16.07,Galio,mid,1,0
16.07,K'Sante,top,1,0
16.07,Lucian,bot,1,0
16.07,Nami,sup,1,0
16.07,Orianna,mid,0,1
16.07,Pantheon,jng,0,1
16.07,Seraphine,sup,1,0
16.07,Wukong,jng,1,0
16.07,Yorick,top,0,1
16.08,Rumble,top,1,2
16.08,Varus,bot,0,3
16.08,Jarvan IV,jng,2,0
16.08,Nami,sup,2,0
16.08,Nautilus,sup,0,2
16.08,Nocturne,jng,0,2
16.08,Orianna,mid,0,2
16.08,Xin Zhao,jng,1,1
16.08,Anivia,mid,1,0
16.08,Corki,bot,1,0
16.08,Galio,mid,1,0
16.08,Gnar,top,1,0
16.08,K'Sante,top,1,0
16.08,Kog'Maw,bot,0,1
16.08,Lucian,bot,1,0
16.08,Lulu,sup,1,0
16.08,Ryze,mid,1,0
16.08,Tristana,bot,0,1
16.08,Yorick,top,0,1
16.08,Yunara,bot,1,0
16.09,Pantheon,jng,0,4
16.09,Aatrox,jng,1,2
16.09,Nocturne,jng,0,3
16.09,Rumble,top,1,2
16.09,Lulu,sup,2,0
16.09,Vi,jng,0,2
16.09,Xin Zhao,jng,0,2
16.09,Alistar,sup,0,1
16.09,Aurora,mid,1,0
16.09,Azir,mid,1,0
16.09,Bard,sup,0,1
16.09,Corki,bot,1,0
16.09,Gnar,top,0,1
16.09,Jarvan IV,jng,1,0
16.09,Lee Sin,jng,1,0
16.09,Lucian,bot,1,0
16.09,Milio,sup,1,0
16.09,Nami,sup,1,0
16.09,Nautilus,sup,0,1
16.09,Renekton,top,1,0
16.09,Ryze,mid,0,1
16.09,Sion,top,1,0
16.09,Taliyah,mid,1,0
16.09,Varus,bot,1,0
16.09,Vayne,top,1,0
16.09,Viktor,mid,1,0
16.09,Wukong,jng,1,0
16.09,Yunara,bot,1,0
16.1,Annie,mid,0,4
16.1,Orianna,mid,1,3
16.1,Nautilus,sup,1,2
16.1,Nocturne,jng,1,2
16.1,Ahri,mid,1,1
16.1,Vayne,top,0,2
16.1,Wukong,jng,1,1
16.1,Akali,mid,1,0
16.1,Ambessa,top,1,0
16.1,Jarvan IV,jng,1,0
16.1,Jax,top,0,1
16.1,Jayce,top,0,1
16.1,Jhin,bot,1,0
16.1,Jinx,bot,1,0
16.1,K'Sante,top,1,0
16.1,Kog'Maw,bot,0,1
16.1,Lee Sin,jng,0,1
16.1,Lucian,bot,1,0
16.1,Maokai,jng,0,1
16.1,Mel,mid,1,0
16.1,Milio,sup,1,0
16.1,Naafiri,jng,0,1
16.1,Neeko,sup,1,0
16.1,Olaf,top,1,0
16.1,Rek'Sai,jng,1,0
16.1,Ryze,mid,1,0
16.1,Sion,top,1,0
16.1,Sivir,bot,0,1
16.1,Skarner,jng,0,1
16.1,Smolder,bot,1,0
16.1,Sylas,mid,0,1
16.1,Thresh,sup,1,0
16.1,Twisted Fate,mid,0,1
16.1,Xin Zhao,jng,1,0
16.1,Yorick,top,1,0
16.1,Yuumi,sup,1,0
16.1,Zeri,bot,1,0
