patch,champ,role,picks_by,bans_vs
16.04,Ambessa,top,0,3
16.04,Aurora,mid,0,3
16.04,Anivia,mid,0,2
16.04,Yunara,bot,1,1
16.04,Akali,mid,0,1
16.04,Azir,mid,1,0
16.04,Corki,bot,1,0
16.04,Dr. Mundo,jng,1,0
16.04,Jax,top,1,0
16.04,Jhin,bot,1,0
16.04,Kai'Sa,bot,0,1
16.04,Lulu,sup,1,0
16.04,Nautilus,sup,1,0
16.04,Nocturne,jng,1,0
16.04,Orianna,mid,1,0
16.04,Ornn,top,1,0
16.04,Pantheon,jng,1,0
16.04,Rakan,sup,1,0
16.04,Seraphine,sup,0,1
16.04,Sion,top,1,0
16.04,Sylas,mid,1,0
16.04,Taliyah,mid,0,1
16.04,Varus,bot,0,1
16.04,Xayah,bot,0,1
16.05,Ambessa,top,0,4
16.05,Azir,mid,1,3
16.05,Renekton,top,1,2
16.05,Akali,mid,1,1
16.05,Corki,bot,1,1
16.05,Dr. Mundo,jng,1,1
16.05,Gwen,top,1,1
16.05,Pantheon,jng,1,1
16.05,Sion,top,1,1
16.05,Taliyah,mid,0,2
16.05,Xin Zhao,jng,2,0
16.05,Aatrox,top,1,0
16.05,Alistar,sup,1,0
16.05,Anivia,mid,1,0
16.05,Aphelios,bot,1,0
16.05,Ashe,bot,1,0
16.05,Ezreal,bot,1,0
16.05,Jarvan IV,jng,0,1
16.05,Kai'Sa,bot,0,1
16.05,Karma,sup,1,0
16.05,Nami,sup,1,0
16.05,Orianna,mid,0,1
16.05,Rell,sup,1,0
16.05,Rumble,top,1,0
16.05,Ryze,mid,1,0
16.05,Seraphine,sup,1,0
16.05,Sivir,bot,0,1
16.05,Sylas,mid,0,1
16.05,Syndra,mid,1,0
16.05,Xayah,bot,0,1
16.05,Yorick,top,0,1
16.05,Yunara,bot,1,0
16.05,Zaahen,jng,1,0
16.05,Zaahen,top,0,1
16.06,Karma,sup,2,1
16.06,Aatrox,jng,2,0
16.06,Ahri,mid,2,0
16.06,Dr. Mundo,jng,0,2
16.06,Naafiri,jng,0,2
16.06,Nocturne,jng,0,2
16.06,Seraphine,sup,1,1
16.06,Vi,jng,0,2
16.06,Xin Zhao,jng,0,2
16.06,Akali,mid,1,0
16.06,Ambessa,top,0,1
16.06,Anivia,mid,0,1
16.06,Ashe,bot,1,0
16.06,Ezreal,bot,1,0
16.06,Jax,top,0,1
16.06,Jayce,top,1,0
16.06,Lulu,sup,1,0
16.06,Ornn,top,1,0
16.06,Pantheon,jng,0,1
16.06,Qiyana,jng,0,1
16.06,Rumble,top,0,1
16.06,Sion,top,1,0
16.06,Sivir,bot,1,0
16.06,Sylas,mid,1,0
16.06,Taliyah,mid,0,1
16.06,Viego,jng,1,0
16.06,Yasuo,top,1,0
16.06,Yunara,bot,1,0
16.06,Zaahen,top,0,1
16.06,Zaahen,jng,1,0
16.07,Aatrox,jng,0,3
16.07,Aurora,mid,0,3
16.07,Karma,sup,0,3
16.07,Pantheon,jng,0,3
16.07,Varus,bot,0,3
16.07,Ahri,mid,2,0
16.07,Ashe,bot,2,0
16.07,Azir,mid,1,1
16.07,Corki,bot,2,0
16.07,Jarvan IV,jng,0,2
16.07,LeBlanc,mid,1,1
16.07,Lulu,sup,2,0
16.07,Nami,sup,2,0
16.07,Aatrox,top,1,0
16.07,Akali,mid,1,0
16.07,Ambessa,top,1,0
16.07,Aurora,top,1,0
16.07,Dr. Mundo,jng,0,1
16.07,K'Sante,top,0,1
16.07,Malphite,jng,0,1
16.07,Naafiri,jng,1,0
16.07,Nunu & Willump,jng,1,0
16.07,Olaf,jng,1,0
16.07,Ornn,top,1,0
16.07,Renekton,top,0,1
16.07,Seraphine,sup,1,0
16.07,Sion,top,1,0
16.07,Skarner,jng,1,0
16.07,Wukong,jng,1,0
16.07,Yorick,top,0,1
16.07,Yunara,bot,1,0
16.07,Zaahen,top,0,1
16.08,Aurora,mid,0,4
16.08,Jarvan IV,jng,0,4
16.08,Anivia,mid,0,2
16.08,Annie,mid,1,1
16.08,Gwen,top,0,2
16.08,Nautilus,sup,1,1
16.08,Pantheon,jng,0,2
16.08,Yorick,top,0,2
16.08,Akali,mid,1,0
16.08,Alistar,sup,0,1
16.08,Ashe,bot,0,1
16.08,Azir,mid,0,1
16.08,Ezreal,bot,1,0
16.08,Gnar,top,1,0
16.08,Gwen,jng,1,0
16.08,Jhin,bot,1,0
16.08,Jinx,bot,1,0
16.08,Karma,sup,0,1
16.08,Lucian,bot,1,0
16.08,Milio,sup,1,0
16.08,Naafiri,jng,1,0
16.08,Nami,sup,1,0
16.08,Olaf,top,0,1
16.08,Ornn,top,1,0
16.08,Rumble,top,1,0
16.08,Ryze,mid,1,0
16.08,Seraphine,sup,1,0
16.08,Skarner,jng,1,0
16.08,Sylas,mid,1,0
16.08,Syndra,mid,1,0
16.08,Tahm Kench,sup,1,0
16.08,Varus,bot,1,0
16.08,Vayne,top,1,0
16.08,Wukong,jng,1,0
16.08,Xin Zhao,jng,1,0
16.08,Yone,top,1,0
