patch,champ,role,picks_vs,bans_vs
16.04,Neeko,sup,0,2
16.04,Pantheon,jng,0,2
16.04,Yunara,bot,1,1
16.04,Bard,sup,0,1
16.04,Ezreal,bot,1,0
16.04,Gwen,top,1,0
16.04,Karma,sup,1,0
16.04,Lulu,sup,1,0
16.04,Malphite,jng,0,1
16.04,Nami,sup,0,1
16.04,Nautilus,sup,0,1
16.04,Renata Glasc,sup,0,1
16.04,Rumble,top,1,0
16.04,Sylas,mid,1,0
16.04,Taliyah,mid,1,0
16.04,Vi,jng,1,0
16.04,Xin Zhao,jng,1,0
16.05,Orianna,mid,1,3
16.05,Varus,bot,0,4
16.05,Sion,top,0,3
16.05,Xin Zhao,jng,1,2
16.05,Jarvan IV,jng,0,2
16.05,Nautilus,sup,2,0
16.05,Neeko,sup,1,1
16.05,Rumble,top,1,1
16.05,Vi,jng,0,2
16.05,Ahri,mid,0,1
16.05,Ambessa,top,1,0
16.05,Azir,mid,1,0
16.05,Bard,sup,1,0
16.05,Braum,sup,1,0
16.05,Caitlyn,bot,1,0
16.05,Camille,top,1,0
16.05,Dr. Mundo,jng,1,0
16.05,Ezreal,bot,1,0
16.05,Gnar,top,1,0
16.05,Gwen,top,0,1
16.05,Jhin,bot,1,0
16.05,Lee Sin,jng,0,1
16.05,Lulu,sup,0,1
16.05,Maokai,jng,1,0
16.05,Nocturne,jng,1,0
16.05,Ornn,top,0,1
16.05,Renekton,top,1,0
16.05,Ryze,mid,1,0
16.05,Seraphine,sup,0,1
16.05,Seraphine,bot,1,0
16.05,Viktor,mid,1,0
16.05,Vladimir,mid,1,0
16.05,Wukong,jng,1,0
16.05,Xayah,bot,1,0
16.05,Yunara,bot,0,1
16.06,Singed,top,0,5
16.06,Hwei,mid,1,3
16.06,Orianna,mid,0,3
16.06,Varus,bot,0,3
16.06,Yunara,bot,2,1
16.06,Corki,bot,0,2
16.06,Jarvan IV,jng,0,2
16.06,Lulu,sup,1,1
16.06,Mordekaiser,top,1,1
16.06,Nocturne,jng,2,0
16.06,Renekton,top,1,1
16.06,Seraphine,sup,0,2
16.06,Alistar,sup,1,0
16.06,Ambessa,top,1,0
16.06,Aurora,mid,0,1
16.06,Galio,mid,1,0
16.06,Gnar,top,1,0
16.06,Jhin,bot,1,0
16.06,Jinx,bot,1,0
16.06,K'Sante,top,1,0
16.06,Karma,sup,1,0
16.06,LeBlanc,mid,1,0
16.06,Maokai,sup,1,0
16.06,Mel,mid,0,1
16.06,Miss Fortune,bot,1,0
16.06,Neeko,sup,1,0
16.06,Ornn,top,0,1
16.06,Pantheon,jng,1,0
16.06,Rakan,sup,1,0
16.06,Rumble,top,1,0
16.06,Ryze,mid,1,0
16.06,Samira,bot,0,1
16.06,Sylas,mid,1,0
16.06,Taliyah,jng,1,0
16.06,Thresh,sup,0,1
16.06,Trundle,jng,1,0
16.06,Vi,jng,1,0
16.06,Xayah,bot,1,0
16.06,Xin Zhao,jng,0,1
16.06,Zed,mid,1,0
16.07,Bard,sup,0,4
16.07,Ashe,bot,1,2
16.07,Sion,top,0,3
16.07,Varus,bot,0,3
16.07,Jarvan IV,jng,2,0
16.07,Neeko,sup,1,1
16.07,Nocturne,jng,1,1
16.07,Orianna,mid,0,2
16.07,Rumble,top,1,1
16.07,Aatrox,top,1,0
16.07,Akali,mid,0,1
16.07,Ambessa,jng,1,0
16.07,Ambessa,top,0,1
16.07,Annie,mid,1,0
16.07,Aphelios,bot,1,0
16.07,Aurora,mid,1,0
16.07,Braum,sup,0,1
16.07,Ezreal,bot,1,0
16.07,Fiora,top,1,0
16.07,Gwen,top,1,0
16.07,Karma,sup,0,1
16.07,Lulu,sup,1,0
16.07,Ornn,top,1,0
16.07,Pantheon,jng,1,0
16.07,Rakan,sup,1,0
16.07,Ryze,mid,1,0
16.07,Seraphine,sup,1,0
16.07,Sivir,bot,1,0
16.07,Sylas,mid,1,0
16.07,Thresh,sup,1,0
16.07,Trundle,jng,0,1
16.07,Vi,jng,0,1
16.07,Viktor,mid,1,0
16.07,Wukong,jng,0,1
16.07,Yunara,bot,1,0
16.08,Jarvan IV,jng,0,2
16.08,Karma,sup,0,2
16.08,Neeko,sup,1,1
16.08,Nocturne,jng,0,2
16.08,Seraphine,sup,1,1
16.08,Varus,bot,0,2
16.08,Akali,mid,1,0
16.08,Anivia,mid,0,1
16.08,Annie,mid,1,0
16.08,Ashe,bot,1,0
16.08,Bard,sup,1,0
16.08,Caitlyn,bot,1,0
16.08,Cassiopeia,mid,0,1
16.08,K'Sante,top,1,0
16.08,Nautilus,sup,0,1
16.08,Pantheon,jng,1,0
16.08,Renekton,top,1,0
16.08,Ryze,mid,1,0
16.08,Shen,top,1,0
16.08,Vayne,bot,1,0
16.08,Vi,jng,1,0
16.08,Wukong,jng,1,0
16.09,Karma,sup,0,4
16.09,Orianna,mid,0,4
16.09,Varus,bot,0,4
16.09,Renekton,top,1,1
16.09,Ambessa,top,1,0
16.09,Annie,mid,1,0
16.09,Aurora,mid,1,0
16.09,Bard,sup,0,1
16.09,Ezreal,bot,1,0
16.09,Hwei,mid,1,0
16.09,Jarvan IV,jng,1,0
16.09,Lee Sin,jng,1,0
16.09,Lucian,bot,1,0
16.09,Lulu,sup,1,0
16.09,Mel,mid,1,0
16.09,Naafiri,jng,1,0
16.09,Nami,sup,1,0
16.09,Nautilus,sup,0,1
16.09,Neeko,sup,0,1
16.09,Olaf,top,1,0
16.09,Pyke,sup,0,1
16.09,Rakan,sup,0,1
16.09,Rell,sup,1,0
16.09,Rumble,top,1,0
16.09,Seraphine,sup,1,0
16.09,Sivir,bot,1,0
16.09,Syndra,mid,0,1
16.09,Vi,jng,1,0
16.09,Viktor,mid,0,1
16.09,Yunara,bot,1,0
16.1,Bard,sup,0,3
16.1,Seraphine,sup,0,3
16.1,Smolder,bot,0,3
16.1,Ahri,mid,0,1
16.1,Akali,mid,0,1
16.1,Ambessa,top,1,0
16.1,Aurora,mid,1,0
16.1,Ezreal,bot,1,0
16.1,Gnar,top,1,0
16.1,K'Sante,top,1,0
16.1,Lucian,bot,1,0
16.1,Lulu,sup,0,1
16.1,Nami,sup,1,0
16.1,Nautilus,sup,0,1
16.1,Nocturne,jng,1,0
16.1,Orianna,mid,1,0
16.1,Pantheon,jng,1,0
16.1,Rakan,sup,1,0
16.1,Rell,sup,1,0
16.1,Renekton,top,0,1
16.1,Twisted Fate,mid,1,0
16.1,Vayne,top,0,1
16.1,Vi,jng,1,0
16.1,Ziggs,bot,1,0
